 pair     momtrt      egg    eggtrt    order       cband      sex    bsf    eggmass    age      mass      tarsus
  77       LPS         3        T        1       M15D0129      M      5      1.080      5       4.37       8.02
  77       LPS         4        C        1       M15D0130      F      5      1.110      5       2.64       8.94
  77       LPS         5        T        1       SDBL0277      F      5      1.100      5       3.68       9.35
  77       LPS         6        .        1       M15D0144      F      5      1.120      5       2.94       8.01
  80        C          2        T        .       M15D0150      F      6      1.170      5       2.09       8.65
  80        C          3        C        .       M15D0149      M      6      1.130      5       2.58       8.90
  80        C          4        T        1       SDBL0278      M      6      1.130      5       1.24       6.24
  80        C          5        C        1       M15D0135      F      6      1.220      5       4.36       9.00
  80        C          6        C        1       M15D0147      M      6      1.160      5       5.86       10.97
  80        C          7        T        1       M15D0148      M      6      1.210      5       4.51       10.08
  85       LPS         3        T        1       SDBL0272      M      3      0.958      5       3.64       8.45
  85       LPS         4        C        1       M15D0134      F      3      0.913      5       3.28       9.18
  85       LPS         5        T        1       SDBL0274      F      3      1.000      5       3.36       8.68
  1         C          3        C        1       M15D0088      M      3      0.885     10        4.9       10.41
  1         C          5        C        1       SDBL0266      F      3      0.917     10        5.6       11.62
  1         C          6        T        1       M15D0091      M      3      0.882     10        4.4       12.31
  2        LPS         2        T        1       SDBL0269      F      2      0.922     10        5.7       10.91
  2        LPS         3        C        1       M15D0046      M      2      0.885     10        8.3       12.33
  4        LPS         1        T        1       SDBL0242      M      4      1.028     10       10.0       15.26
  4        LPS         4        C        1       M15D0047      M      4      1.026     10       10.0       15.78
  4        LPS         5        T        1       M15D0051      F      4      1.151     10       10.2       15.68
  4        LPS         7        T        1       M15D0065      F      4      1.220     10        8.3       13.02
  12       LPS         1        T        1       M15D0052      M      4      1.206     10        7.0       13.28
  12       LPS         3        T        1       M15D0060      M      4      1.217     10        9.6       15.62
  12       LPS         4        C        1       SDBL0224      F      4      1.763     10       11.0       17.21
  12       LPS         5        T        1       M15D0061      F      4      1.258     10        9.0       14.05
  15        C          1        C        1       M15D0042      M      5      1.211     10       10.4       15.65
  15        C          2        T        1       M15D0043      M      5      1.231     10       10.2       15.95
  15        C          3        C        1       M15D0044      M      5      1.137     10        9.2       16.04
  15        C          4        T        1       M15D0049      M      5      1.125     10        9.9       15.51
  15        C          5        C        1       M15D0048      M      5      1.204     10       10.5       16.06
  19        C          4        T        1       M15D0053      M      3      1.127     10        9.5       15.22
  19        C          5        C        1       M15D0066      M      3      1.188     10       10.5       14.22
  19        C          6        T        1       M15D0067      M      3      1.123     10        9.9       14.79
  21       LPS         4        T        1       M15D0063      M      3      1.146     10        9.2       13.22
  21       LPS         6        C        1       M15D0064      M      3      1.175     10       11.3       15.82
  21       LPS         7        T        1       SDBL0225      F      3      1.508     10       11.0       16.61
  22        C          6        C        1       M15D0095      M      2      1.135     10        8.7       12.34
  22        C          8        C        1       M15D0094      F      2      1.209     10        8.6       13.71
  30        C          4        T        1       M15D0062      F      5      1.215     10       10.6       15.77
  30        C          5        C        1       M15D0068      F      5      1.196     10        9.1       14.97
  30        C          6        T        1       M15D0092      F      5      1.195     10        9.1       13.98
  31       LPS         1        T        1       M15D0055      M      1      1.159     10       10.1       14.57
  32        C          4        T        1       M15D0100      F      4      1.000     10        9.2       14.38
  32        C          5        C        1       M15D0099      M      4      1.001     10        9.7       15.49
  32        C          6        T        1       M15D0103      F      4      1.052     10        9.9       15.13
  32        C          7        C        1       M15D0107      M      4      0.990     10        9.6       14.80
  34        C          2        T        1       SDBL0247      M      6      1.284     10        7.2       11.29
  34        C          3        C        1       SDBL0248      M      6      1.247     10        8.3       12.28
  34        C          6        T        1       M15D0116      M      6      1.234     10        7.6       13.57
  34        C          7        C        1       SDBL0250      M      6      1.261     10        8.3       13.61
  41       LPS         1        T        1       M15D0085      M      5      1.182     10        7.8       14.67
  41       LPS         2        C        1       M15D0086      F      5      1.246     10       10.7       15.82
  41       LPS         3        T        1       M15D0089      M      5      1.388     10       11.7       16.93
  41       LPS         5        T        1       M15D0102      F      5      1.331     10        9.2       14.82
  41       LPS         6        C        1       M15D0093      F      5      1.245     10        9.1       15.30
  42        C          3        C        1       M15D0069      F      3      1.035     10       10.7       15.82
  42        C          4        C        1       M15D0076      F      3      1.029     10        9.1       14.78
  43       LPS         5        C        1       SDBL0270      F      4      1.076     10        8.0       14.32
  43       LPS         6        T        1       M15D0105      F      4      1.036     10        8.5       15.01
  43       LPS         7        C        1       M15D0106      M      4      1.048     10       10.3       14.90
  43       LPS         8        T        1        M15D108      F      4      1.142     10        9.0       14.24
  45        C          1        T        1       M15D0059      F      5      1.075     10       10.6       16.47
  45        C          2        C        1       M15D0070      F      5      1.087     10       11.0       16.34
  45        C          3        T        1       M15D0071      F      5      1.106     10        9.3       16.00
  45        C          4        C        1       M15D0077      M      5      1.108     10        9.0       15.08
  45        C          5        T        1       M15D0079      F      5      1.235     10       10.9       16.28
  46       LPS         1        T        1       M15D0072      F      5      0.976     10       10.9       16.60
  46       LPS         2        C        1       M15D0073      M      5      1.070     10       11.0       16.87
  46       LPS         3        T        1       M15D0078      F      5      1.126     10        9.9       16.20
  46       LPS         4        C        1       SDBL0226      F      5      1.150     10       12.1       17.76
  46       LPS         5        T        1       SDBL0232      M      5      1.192     10        7.8       14.75
  47        C          1        C        1       M15D0109      F      5      1.067     10        8.2       14.76
  47        C          3        C        1       SDBL0246      M      5      1.189     10       12.4       16.84
  47        C          4        T        1       M15D0110      F      5      1.164     10       10.6       16.67
  47        C          5        .        1       M15D0111      M      5      1.226     10       10.9       16.74
  48       LPS         3        C        1       M15D0056      F      7      1.035     10        9.1       15.85
  48       LPS         4        T        .       M15D0074      M      7      1.035     10        9.3       14.37
  48       LPS         5        C        .       SDBL0267      M      7      1.003     10        8.3       12.89
  48       LPS         6        T        .       M15D0080      M      7      1.038     10        8.8       13.78
  48       LPS         7        C        .       M15D0081      M      7      1.110     10        7.9       13.42
  50       LPS         2        T        1       M15D0082      F      5      0.917     10        9.1       15.85
  50       LPS         3        C        1       M15D0083      M      5      0.989     10        9.3       15.26
  50       LPS         4        T        1       M15D0084      F      5      1.095     10        9.9       15.81
  50       LPS         6        T        1       M15D0087      M      5      1.128     10        8.6       15.66
  50       LPS         7        C        1       M15D0090      M      5      1.179     10       10.1       15.26
  52       LPS         4        T        1       M15D0104      F      4      1.035     10        7.7       14.53
  52       LPS         5        C        1       M15D0096      M      4      1.068     10        7.1       12.28
  52       LPS         6        T        .       M15D0097      F      4      1.109     10        9.1       15.17
  52       LPS         7        C        .       M15D0098      M      4      1.159     10        7.9       14.71
  61        C          2        T        1       M15D0112      F      3      1.037     10        8.1       15.27
  61        C          3        C        1       M15D0113      M      3      1.102     10        7.4       14.33
  61        C          4        T        1       M15D0119      M      3      1.280     10        8.2       14.82
  63        C          1        T        .       M15D0114      M      3      1.186     10       10.4       15.94
  63        C          2        C        .       M15D0115      M      3      1.088     10       10.1       15.48
  63        C          4        C        1       M15D0118      M      3      1.174     10        8.9       14.92
  66        C          3        C        1       M15D0122      F      3      1.013     10        8.5       13.75
  66        C          4        T        1       M15D0123      F      3      1.047     10        8.3       14.65
  66        C          5        C        1       SDBL0281      M      3      1.079     10        8.6       14.91
  68        C          2        T        1       M15D0117      F      3      1.312     10       11.0       15.69
  68        C          5        C        1       M15D0120      M      3      1.387     10       10.1       14.62
  72       LPS         3        C        1       SDBL0294      M      1      1.118     10        9.7       15.28
  73       LPS         2        C        1       SDBL0275      M      4      1.120     10        9.9       14.36
  73       LPS         3        T        1       SDBL0276      M      4      1.080     10        8.4       14.30
  75       LPS         1        C        1       M15D0132      M      4      1.030     10        5.4       11.96
  75       LPS         2        T        1       SDBL0273      F      4      0.954     10        5.9       12.54
  75       LPS         3        C        1       M15D0146      F      4      1.020     10        7.1       13.51
  76       LPS         1        T        1       M15D0126      F      5      1.100     10        8.6       14.49
  76       LPS         2        C        .       M15D0124      M      5      1.144     10       10.6       15.91
  76       LPS         3        T        .       M15D0125      F      5      1.150     10       10.1       16.33
  76       LPS         4        C        1       M15D0128      M      5      1.120     10       10.2       14.59
  76       LPS         5        T        1       M15D0127      F      5      1.220     10       10.1       15.14
  77       LPS         2        C        1       M15D0131      F      5      1.080     10        9.3       15.29
  77       LPS         3        T        1       M15D0129      M      5      1.080     10       10.7       16.09
  77       LPS         4        C        1       M15D0130      F      5      1.110     10       10.2       16.18
  77       LPS         5        T        1       SDBL0277      F      5      1.100     10        9.4       15.98
  77       LPS         6        .        1       M15D0144      F      5      1.120     10        8.2       14.89
  80        C          2        T        .       M15D0150      F      6      1.170     10        7.7       14.98
  80        C          3        C        .       M15D0149      M      6      1.130     10        9.7       15.14
  80        C          4        T        1       SDBL0278      M      6      1.130     10        5.5       11.74
  80        C          5        C        1       M15D0135      F      6      1.220     10       10.7       16.68
  80        C          6        C        1       M15D0147      M      6      1.160     10        9.3       15.95
  80        C          7        T        1       M15D0148      M      6      1.210     10        9.6       16.18
  85       LPS         3        T        1       SDBL0272      M      3      0.958     10        9.5       15.04
  85       LPS         4        C        1       M15D0134      F      3      0.913     10        8.4       15.17
  85       LPS         5        T        1       SDBL0274      F      3      1.000     10        9.4       15.51
  1         C          3        C        1       M15D0088      M      3      0.885     15        9.2       15.09
  1         C          5        C        1       SDBL0266      F      3      0.917     15       10.7       16.39
  1         C          6        T        1       M15D0091      M      3      0.882     15        9.7       16.84
  2        LPS         2        T        1       SDBL0269      F      2      0.922     15        8.9       14.49
  2        LPS         3        C        1       M15D0046      M      2      0.885     15       11.0       16.10
  4        LPS         1        T        1       SDBL0242      M      4      1.028     15       11.5       16.92
  4        LPS         4        C        1       M15D0047      M      4      1.026     15       11.9       17.07
  4        LPS         5        T        1       M15D0051      F      4      1.151     15       11.7       17.00
  4        LPS         7        T        1       M15D0065      F      4      1.220     15       12.3       17.42
  12       LPS         1        T        1       M15D0052      M      4      1.206     15       10.6       16.51
  12       LPS         3        T        1       M15D0060      M      4      1.217     15       10.7       17.01
  12       LPS         4        C        1       SDBL0224      F      4      1.763     15       12.8       17.46
  12       LPS         5        T        1       M15D0061      F      4      1.258     15       11.1       15.93
  15        C          1        C        1       M15D0042      M      5      1.211     15       12.1       16.18
  15        C          2        T        1       M15D0043      M      5      1.231     15       11.2       17.02
  15        C          3        C        1       M15D0044      M      5      1.137     15       10.4       16.55
  15        C          4        T        1       M15D0049      M      5      1.125     15       10.9       16.91
  15        C          5        C        1       M15D0048      M      5      1.204     15       11.2       16.51
  19        C          4        T        1       M15D0053      M      3      1.127     15       11.3       16.94
  19        C          5        C        1       M15D0066      M      3      1.188     15       12.5       16.16
  19        C          6        T        1       M15D0067      M      3      1.123     15       11.0       16.82
  21       LPS         4        T        1       M15D0063      M      3      1.146     15       12.1       17.06
  21       LPS         6        C        1       M15D0064      M      3      1.175     15       13.2       16.82
  21       LPS         7        T        1       SDBL0225      F      3      1.508     15       11.8       16.97
  22        C          6        C        1       M15D0095      M      2      1.135     15       11.2       15.18
  22        C          8        C        1       M15D0094      F      2      1.209     15       10.9       15.18
  30        C          4        T        1       M15D0062      F      5      1.215     15       12.2       16.77
  30        C          5        C        1       M15D0068      F      5      1.196     15       12.1       17.80
  30        C          6        T        1       M15D0092      F      5      1.195     15       10.9       16.01
  31       LPS         1        T        1       M15D0055      M      1      1.159     15       12.4       16.82
  32        C          4        T        1       M15D0100      F      4      1.000     15       11.8       15.98
  32        C          5        C        1       M15D0099      M      4      1.001     15       10.6       16.42
  32        C          6        T        1       M15D0103      F      4      1.052     15       11.7       16.65
  32        C          7        C        1       M15D0107      M      4      0.990     15       10.7       15.95
  34        C          2        T        1       SDBL0247      M      6      1.284     15       12.1       15.45
  34        C          3        C        1       SDBL0248      M      6      1.247     15       10.6       14.25
  34        C          6        T        1       M15D0116      M      6      1.234     15       12.2       16.87
  34        C          7        C        1       SDBL0250      M      6      1.261     15       11.9       17.17
  41       LPS         1        T        1       M15D0085      M      5      1.182     15       12.5       17.25
  41       LPS         2        C        1       M15D0086      F      5      1.246     15       11.7       16.37
  41       LPS         3        T        1       M15D0089      M      5      1.388     15       12.4       18.01
  41       LPS         5        T        1       M15D0102      F      5      1.331     15       10.4       16.64
