year,brood,box,sex,tarsus,d21mass,d21wing,wingarea,d21hct,d21hb,takeoff angle,flight velocity,total energy gain,d21time,handlingmin
2014,1,65,M,29.86,67.18,102,59.5,46.2,11.79,11.31,1.91,1.87,9:17,2
2014,1,169,M,35.66,75.89,105,58.53,46.7,12.55,11.31,1.91,2.22,12:21,2
2013,1,160,M,34.61,71.96,103,60.72,46.3,15.09,11.31,1.92,3,9:59,7
2014,1,53,M,31.87,77.89,102,51.91,56.3,12.84,11.31,1.92,3.27,10:15,1
2014,1,159,M,34.4,69.06,102,51.68,47.6,11.75,11.31,1.92,1.85,11:17,1
2014,1,3,M,29.66,64.77,96,55.72,51.7,13.23,34.99,1.93,0.65,9:00,2
2013,1,12,NA,33.16,69.29,99,43.57,42.3,NA,34.99,1.93,4.5,10:34,2
2014,1,13,F,30.42,74.52,103,55.6,51.7,14.77,30.96,1.94,1.83,9:35,1
2013,1,65,F,34.87,72.72,101,43.33,43.9,13.47,30.96,1.94,2.66,8:51,2
2014,1,172,NA,35.23,NA,NA,NA,NA,NA,30.96,1.94,3.14,NA,NA
2014,1,196,F,32.47,60.89,104,51.96,45.9,12.41,16.7,1.96,-0.88,10:26,1
2014,1,134,F,34.85,73.3,104,53.5,48.1,12.56,16.7,1.96,4.18,12:45,3
2013,1,13,F,35.96,77.69,107,47.67,42.4,13.22,16.7,1.96,5.67,10:10,3
2014,1,47,F,28.12,68.87,103,57.47,52.9,14.08,16.7,1.96,5.11,12:07,1
2014,1,169,M,33.89,69.71,102,64,47.4,12.03,16.7,1.96,2.13,12:22,2
2014,1,75,M,30.19,75.13,101,58.27,49.3,13.81,16.7,1.96,2.13,10:36,1
2013,1,172,M,34,69.52,103,52.3,44.8,11.93,26.57,1.98,4.79,10:14,11
2014,1,27,F,32.29,69.98,101,48.56,51.3,14.31,5.71,2.01,4.58,9:52,1
2014,1,172,F,33.75,71.82,107,60.51,42.2,15.74,5.71,2.02,1.23,11:57,1
2014,1,88,F,34.65,78.71,100,51.52,49.4,12.42,21.8,2.02,2.46,11:17,1
2013,1,174,F,34.17,77.91,102,45.48,41.8,12.04,21.8,2.02,2.46,10:06,3
2014,1,20,M,32.21,71.75,102,58.78,51.1,15.55,5.71,2.02,1.66,9:25,1
2014,1,45,M,29.45,62.12,95,48.66,38.8,9.68,21.8,2.02,1.12,10:04,1
2013,1,184,M,33.84,64.41,98,41.18,44,12.99,21.8,2.02,4.56,10:03,3
2014,1,15,M,31.81,76.65,105,62.34,52.7,13.32,21.8,2.02,4.56,9:03,1
2014,2,77,F,34.09,71.87,97,58.33,45.1,9.65,21.8,2.03,2.44,10:22,1
2013,1,3,M,34.03,65.95,102,51.54,45.2,15.75,21.8,2.03,7.11,11:07,2
2014,1,47,F,30.36,71.34,102,55.67,55.1,14.99,11.31,2.04,1.97,12:09,NA
2014,1,15,F,30.22,72.02,101,69.36,46.5,12.37,11.31,2.04,1.35,9:06,2
2013,1,173,M,35.37,68.98,107,58.71,48,16.7,52.43,2.05,5.57,10:36,3
2014,1,134,M,35.31,68.66,107,61.67,45.2,12.55,30.96,2.06,3.43,12:47,3
2014,1,143,M,36.37,73.71,106,73.4,49.6,14.57,30.96,2.06,4.62,12:34,1
2014,1,14,F,33.62,74.7,110,63.37,54,12.73,16.7,2.09,3.37,9:17,1
2014,1,147,F,35.4,72.55,109,72.61,45.7,NA,26.57,2.09,3.9,12:36,2
2013,1,106,M,35.33,80.04,101,57.59,46.1,14.47,16.7,2.09,4.4,10:04,2
2013,1,31,M,34.79,74.34,106,63.08,42.3,NA,26.57,2.09,3.46,9:08,5
