Age (years),Sex,Tarsus (mm x 100),Year
1,Female,1118,2001
1,Female,1149,2001
1,Female,1153,2001
1,Female,1036,2002
1,Female,1051,2002
1,Female,1077,2002
1,Female,1005,2002
1,Female,1229,2002
1,Female,1061,2002
1,Female,1030,2002
1,Female,1008,2002
1,Female,1064,2002
1,Female,1153,2002
1,Female,1094,2002
1,Female,1006,2002
1,Female,1183,2002
1,Female,1027,2002
1,Female,1127,2002
1,Female,1061,2002
1,Female,1027,2002
1,Female,1059,2002
1,Female,1093,2002
1,Female,1076,2002
1,Female,1099,2002
1,Female,1171,2002
1,Female,1177,2002
1,Female,1172,2002
1,Female,1014,2002
1,Female,1161,2002
1,Female,1239,2002
1,Female,1225,2002
1,Female,1189,2002
1,Female,1171,2002
1,Female,1108,2002
1,Female,1098,2002
1,Female,1157,2002
1,Female,1121,2002
1,Female,1049,2002
1,Female,1125,2002
1,Female,1129,2002
1,Female,1173,2002
1,Female,1069,2002
1,Female,1092,2002
1,Female,1048,2002
1,Female,1098,2002
1,Female,1008,2002
1,Female,1010,2002
1,Female,1132,2002
1,Female,1132,2002
1,Female,1115,2002
1,Female,1068,2002
1,Female,1079,2002
1,Female,1072,2002
1,Female,1040,2002
1,Female,1166,2002
1,Female,1026,2002
1,Female,1098,2002
1,Female,1058,2002
1,Female,1065,2002
1,Female,1050,2002
1,Female,1081,2002
1,Female,1015,2002
1,Female,1126,2002
1,Female,1066,2002
1,Female,1102,2003
1,Female,1129,2003
1,Female,1134,2003
1,Female,1098,2003
1,Female,1090,2003
1,Female,1045,2003
1,Female,1029,2003
1,Female,1072,2003
1,Female,1049,2003
1,Female,1183,2003
1,Female,1156,2003
1,Female,1031,2003
1,Female,1028,2003
1,Female,1159,2003
1,Female,1054,2003
1,Female,1039,2003
1,Female,1010,2003
1,Female,1090,2003
1,Female,1109,2003
1,Female,1088,2003
1,Female,1091,2003
1,Female,1151,2003
1,Female,1076,2003
1,Female,1038,2003
1,Female,1086,2003
1,Female,1082,2003
1,Female,1136,2003
1,Female,1065,2003
1,Female,1093,2003
1,Female,1071,2003
1,Female,1013,2003
1,Female,1110,2003
1,Female,1057,2003
1,Female,1233,2003
1,Female,1058,2003
1,Female,1006,2003
1,Female,1098,2003
1,Female,1092,2003
1,Female,1100,2003
1,Female,1027,2003
1,Female,1206,2003
1,Female,1069,2003
1,Female,1064,2003
1,Female,1137,2003
1,Female,1081,2003
1,Female,1148,2003
1,Female,1004,2003
1,Female,1108,2003
1,Female,1151,2003
1,Female,1170,2003
1,Female,1048,2003
1,Female,1049,2003
1,Female,1076,2003
1,Female,1082,2003
1,Female,1212,2003
1,Female,1074,2003
1,Female,1120,2003
1,Female,1039,2003
1,Female,1021,2003
1,Female,1038,2003
1,Female,1111,2003
1,Female,1033,2003
1,Female,1124,2003
1,Female,1062,2003
1,Female,1043,2003
1,Female,1091,2003
1,Female,1166,2003
1,Female,1114,2003
1,Female,1199,2003
1,Female,1034,2003
1,Female,1040,2003
1,Female,1070,2003
1,Female,1098,2003
1,Female,1089,2003
1,Female,1130,2003
1,Female,1098,2003
1,Female,1141,2003
1,Female,1032,2003
1,Female,1017,2003
1,Female,1082,2003
1,Female,1173,2003
1,Female,1141,2003
1,Female,1133,2003
1,Female,1114,2003
1,Female,1139,2003
1,Female,1175,2003
1,Female,1054,2003
1,Female,1120,2003
1,Female,1129,2003
1,Female,962,2003
1,Female,1035,2003
1,Female,1143,2003
1,Female,1034,2003
1,Female,1109,2003
1,Female,1067,2004
1,Female,1060,2004
1,Female,1098,2004
1,Female,1084,2004
1,Female,1141,2004
1,Female,1042,2004
1,Female,1031,2004
1,Female,1123,2004
1,Female,1161,2004
1,Female,1088,2004
1,Female,1134,2004
1,Female,1093,2004
1,Female,1030,2004
1,Female,1167,2004
1,Female,1198,2004
1,Female,1040,2004
1,Female,1013,2004
1,Female,1014,2004
1,Female,1122,2004
1,Female,1040,2004
1,Female,1029,2004
1,Female,1041,2004
1,Female,1158,2004
1,Female,1136,2004
1,Female,975,2004
