OffspringID,NestAge,BroodSize,ClutchSizeKnown,TarsusChick,BodyMass,CatchTime,CatchMonth,Food,FP,TQ,HelpBinary,Sex,ChickTypeCondition,Comparison,RTL,Condition,CondType,SurvivalToBreedAge
161,30,1,0,25.6,15.5,Mid,8,12.05050505,87,1606.449196,0,Male,Single,Worst,0.70135847,-1.126994099,SB,NO
162,30,1,0,21.8,13,Late,8,31.96410256,92,19370.87661,1,Female,Single,Worst,2.364316248,-0.765961507,SB,YES
163,30,1,0,25,15,Early,8,24.06875,104,16742.51064,0,Female,Single,Worst,0.844025771,-0.670603229,SB,NO
164,30,1,0,24.8,14.9,Early,8,24.06875,104,58547.20537,1,Female,Single,Worst,1.036345587,-0.642363199,SB,NO
165,30,1,0,23,14,Early,8,11.00826446,82,40076.25229,1,Female,Single,Worst,1.149180071,-0.388202929,SB,NO
166,30,1,0,24.2,14.9,Early,9,19.49450549,75,10962.89893,1,Female,Single,Worst,1.369487077,-0.359359404,SB,YES
167,30,1,1,23.9,14.5,Early,9,14.7122807,34,26060.02223,,Female,Single,Worst,,-0.566999358,SB,YES
168,30,1,1,23.8,14.5,Mid,8,19.07006369,37,,0,Female,Single,Worst,1.20134979,-0.560249253,SB,NO
169,30,1,1,23.7,14.4,Early,2,43.47777778,23,11302.37729,0,Female,Single,Worst,1.053376227,0.17325473,SB,NO
170,30,1,2,23.6,14.5,Mid,8,27.96,30,18871.79864,1,Female,Single,Worst,,-0.432009223,SB,YES
171,30,2,0,23.2,14.2,Mid,9,19.49450549,75,2647.296482,1,Female,Sibling 1,Best,0.953161957,-0.577245457,A,YES
172,30,2,0,25.5,15.9,Early,9,19.07006369,37,,1,Male,Sibling 1,Best,,-0.428591419,A,NO
173,30,2,0,26.7,17.1,Early,9,19.49450549,75,10732.59094,1,Male,Sibling 1,Best,1.177997771,-0.157029729,A,YES
174,30,2,0,25.7,16.9,Mid,9,19.49450549,75,2647.296482,1,Male,Sibling 1,Best,1.236136983,0.017042395,A,YES
175,30,2,0,24.2,16,Late,9,19.49450549,75,10139.42894,0,Female,Sibling 1,Best,0.907834722,0.593441839,A,NO
176,30,2,2,24.8,14.5,Early,8,27.96,30,9841.073814,0,Female,Sibling 1,Best,0.923857673,-1.042363199,A,YES
177,30,2,2,25,15.3,Early,9,40.77777778,28,31606.99358,1,Female,Sibling 1,Best,0.629153321,-0.472319524,A,NO
178,30,2,2,22.2,14,Mid,8,,41,,,Female,Sibling 1,Best,0.970478672,-0.034329013,A,YES
179,30,2,2,23.9,15.4,Early,8,19.49450549,75,8923.077161,1,Male,Sibling 1,Best,1.114046771,0.487919975,A,YES
180,30,2,0,23.3,12.2,Early,9,19.49450549,75,10732.59094,1,Male,Sibling 2,Worst,1.262201727,-2.426454518,B,YES
181,30,2,0,23.1,13.5,Mid,9,19.49450549,75,2647.296482,1,Male,Sibling 2,Worst,1.375786337,-1.371341268,B,NO
182,30,2,0,26.8,16.8,Mid,9,19.49450549,75,10139.42894,0,Male,Sibling 2,Worst,0.533079352,-0.934026056,B,NO
183,30,2,0,23.3,14.2,Early,9,19.07006369,37,,1,Female,Sibling 2,Worst,0.965315179,-0.482279268,B,NO
184,30,2,0,23,14.8,Early,9,19.07006369,37,,1,Female,Sibling 2,Worst,0.861853062,0.310080777,B,YES
185,30,2,2,23.2,12.3,Early,8,27.96,30,9841.073814,0,Female,Sibling 2,Worst,,-2.216442959,B,NO
186,30,2,2,25.8,15.3,Early,9,40.77777778,28,31606.99358,1,Male,Sibling 2,Worst,0.837101578,-1.260700996,B,NO
187,30,2,2,23.1,14.5,Mid,8,,41,,,Male,Sibling 2,Worst,,-0.19274762,B,NO
188,30,2,2,25.3,16.3,Early,8,19.49450549,75,8923.077161,1,Male,Sibling 2,Worst,0.807047388,0.304741947,B,YES
189,31,1,0,24.1,15.4,Early,8,19.49450549,75,8522.734136,1,Female,Single,Best,0.989485774,0.306476906,SA,YES
190,31,1,0,24.4,15.9,Mid,8,19.49450549,75,33880.01417,1,Female,Single,Best,1.635360755,0.455030657,SA,YES
191,31,1,0,24.2,16,Early,8,19.49450549,75,13312.46927,,Female,Single,Best,0.82766729,0.842356891,SA,YES
192,31,1,0,23.2,16.5,Early,8,19.49450549,75,12291.48055,0,Female,Single,Best,1.213986509,1.983557041,SA,NO
193,31,1,1,26.3,17.9,Mid,8,27.96,30,36561.02848,1,Male,Single,Best,,0.731416887,SA,NO
194,31,1,1,24.3,16.4,Late,8,19.07006369,37,,1,Female,Single,Best,0.833582699,1.031038118,SA,NO
195,31,1,1,24.9,15,Early,9,19.07006369,37,,0,Male,Single,Worst,,-0.864372264,SB,YES
196,31,1,1,24.7,15,Early,8,14.7122807,34,9043.718593,0,Female,Single,Worst,1.022412017,-0.478243184,SB,NO
197,31,1,1,25.4,17,Late,8,19.07006369,37,,0,Male,Single,Worst,0.932628735,0.054895032,SB,YES
198,31,1,0,,14.4,Mid,8,21.59259259,25,33911.97136,0,Female,Single,,1.131860545,,,NO
199,31,2,0,21.2,13.5,Early,8,31.96410256,92,11263.62414,0,Male,Sibling 1,Best,2.135965987,0.676906171,A,NO
200,31,2,2,23.8,14,Early,9,19.07006369,37,,0,Female,Sibling 1,Best,1.848218287,-1.002879343,A,NO
201,31,2,2,24.3,14.5,Mid,8,27.96,30,9564.880463,0,Female,Sibling 1,Best,,-0.880849328,A,YES
202,31,2,2,24.1,14.9,Mid,8,40.4,22,49779.17188,1,Female,Sibling 1,Best,0.913209425,-0.352609298,A,NO
203,31,2,0,21.8,13.3,Early,8,31.96410256,92,11263.62414,0,Male,Sibling 2,Worst,2.365777482,0.012687017,B,NO
204,31,2,2,23.1,12,Early,9,19.07006369,37,,0,Female,Sibling 2,Worst,1.406912835,-2.554039238,B,NO
205,31,2,2,22.7,13,Mid,8,27.96,30,9564.880463,0,Female,Sibling 2,Worst,1.064623132,-1.354929088,B,NO
206,31,2,2,25.9,15.6,Mid,8,40.4,22,49779.17188,1,Male,Sibling 2,Worst,,-1.259103676,B,YES
207,31,2,0,,12.5,Mid,8,24.06875,104,18406.19649,0,Male,,,0.659181598,,,NO
208,31,2,0,,11.8,Mid,8,24.06875,104,18406.19649,0,Male,,,0.825232178,,,NO
209,32,1,0,24.8,16.1,Early,8,24.06875,104,15983.71978,0,Male,Single,Best,0.814848852,0.491591243,SA,NO
210,32,1,0,23.6,13.5,Early,8,71.10493827,105,108250.4439,1,Male,Single,Worst,0.708477421,-1.179970448,SB,YES
211,32,1,0,24.7,16,Mid,9,19.07006369,37,,,Male,Single,Worst,,-0.109259014,SB,YES
212,32,1,1,26.3,16.9,Mid,8,27.96,30,17132.19887,0,Male,Single,Worst,,-0.268583113,SB,YES
213,32,2,2,24.5,16,Mid,8,40.77777778,28,60028.90976,0,Female,Sibling 1,Best,1.514477771,0.490910642,A,YES
214,32,2,2,26.3,18.5,Late,9,19.49450549,75,15258.16198,1,Male,Sibling 1,Best,0.714208326,0.679972652,A,YES
215,32,2,2,25.4,16.6,Mid,8,40.77777778,28,60028.90976,0,Male,Sibling 2,Worst,1.231824883,0.12774562,B,YES
216,32,2,2,25.7,17.3,Mid,9,19.49450549,75,15258.16198,1,Male,Sibling 2,Worst,0.277261201,0.417042395,B,YES
217,33,1,0,24.6,16,Early,9,19.49450549,75,12713.69281,0,Female,Single,Best,1.399565443,0.484160536,SA,YES
218,33,1,0,23.4,15.5,Early,7,19.49450549,75,23837.08093,0,Female,Single,Best,,0.957033305,SA,YES
219,33,1,0,23.7,16.9,Early,8,21.59259259,25,23592.91093,1,Female,Single,Best,0.686473639,2.062956966,SA,YES
220,33,1,1,24.5,17.2,Mid,9,19.07006369,37,,0,Male,Single,Best,0.755594794,1.245480704,SA,NO
221,33,1,0,24.7,14.5,Early,8,21.59259259,25,22203.40632,1,Female,Single,Worst,0.669304201,-0.978243184,SB,YES
222,33,1,0,22.8,14.5,Late,8,27.96,30,32309.75357,0,Female,Single,Worst,,0.092838343,SB,YES
223,33,1,1,24.9,16,Late,8,27.96,30,16804.53943,,Male,Single,Worst,1.068958492,-0.558255672,SB,NO
224,33,1,1,,,Early,12,43.47777778,23,61591.53894,0,Male,Single,,1.23127732,,,NO
225,33,2,0,24.4,14.5,Mid,9,19.49450549,75,14882.63117,0,Female,Sibling 1,Best,0.884861311,-1.046685637,A,YES
226,33,2,0,25.5,17.3,Early,8,31.96410256,92,21205.7907,0,Male,Sibling 1,Best,1.365053665,1.150002229,A,YES
