"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"L970864",NA,"L","L970864","2013-06-02","8:23","2013-06-03","09:15:00.00","13_171",NA,NA,"F"
"L970861",NA,"R","L970861","2013-06-02","8:23","2013-06-03","09:15:00.00","13_171",NA,NA,"M"
"L970867",NA,"B","L970867","2013-06-02","8:23","2013-06-03","09:15:00.00","13_171",NA,NA,"F"
"L970862",NA,"LB","L970862","2013-06-02","8:23","2013-06-03","09:15:00.00","13_171","2013-06-28",NA,"M"
"13_171RB",NA,"RB",NA,"2013-06-02","8:23","2013-06-03","09:15:00.00","13_171","2013-06-12","13:27:00.00",NA
"L970865",NA,"LR","L970865","2013-06-02","8:23","2013-06-03","09:15:00.00","13_171",NA,NA,"M"
"L970866",NA,"A","L970866","2013-06-02","8:23","2013-06-03","09:15:00.00","13_171",NA,NA,"M"
"L970863",NA,"LT","L970863","2013-06-02","8:23","2013-06-03","09:15:00.00","13_171",NA,NA,"M"
"L970924",NA,"L","L970924","2013-06-03","11:06","2013-06-04","11:03:00.00","13_A4","2013-06-15","15:00:00.00","F"
"13_A4R",NA,"R",NA,"2013-06-03","11:06","2013-06-04","11:03:00.00","13_A4","2013-06-13","12:00:00.00","F"
"L970925",NA,"B","L970925","2013-06-03","11:06","2013-06-04","11:03:00.00","13_A4","2013-06-15","15:00:00.00","M"
"13_A4LB",NA,"LB",NA,"2013-06-04","11:03:00.00","2013-06-05","10:58:00.00","13_A4","2013-06-10","13:16:00.00","M"
"13_A4RB",NA,"RB",NA,"2013-06-04","11:03:00.00","2013-06-05","10:58:00.00","13_A4","2013-06-07","11:03:00.00","F"
"L970926",NA,"LR","L970926","2013-06-04","11:03:00.00","2013-06-05","10:58:00.00","13_A4","2013-06-15","15:00:00.00","F"
"13_A4A",NA,"A",NA,"2013-06-04","11:03:00.00","2013-06-05","10:58:00.00","13_A4","2013-06-07","11:03:00.00",NA
"13_A4LT",NA,"LT",NA,"2013-06-04","11:03:00.00","2013-06-05","10:58:00.00","13_A4","2013-06-07","11:03:00.00",NA
"13_A4N",NA,"N",NA,"2013-06-04","11:03:00.00","2013-06-05","10:58:00.00","13_A4","2013-06-07","11:03:00.00",NA
"13_A5L",NA,"L",NA,"2013-06-03","11:08","2013-06-04","11:07:00.00","13_A5","2013-06-13","12:07:00.00","F"
