"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"Z650286",NA,"LT","Z650286","2017-05-08","11:17:00.00","2017-05-09","13:33:00.00","17_A36",NA,NA,"F"
"Z650289",NA,"RT","Z650289","2017-05-08","11:17:00.00","2017-05-09","13:33:00.00","17_A36",NA,NA,"F"
"Z650293",NA,"N","Z650293","2017-05-08","11:17:00.00","2017-05-09","13:33:00.00","17_A36",NA,NA,"F"
"Z650295",NA,"L","Z650295","2017-05-07","11:38","2017-05-08","10:44:00.00","17_A17",NA,NA,"M"
"Z650297",NA,"R","Z650297","2017-05-07","11:38","2017-05-08","10:44:00.00","17_A17",NA,NA,"F"
"Z650299",NA,"B","Z650299","2017-05-08","10:44:00.00","2017-05-09","12:40:00.00","17_A17",NA,NA,"F"
"Z650296",NA,"LB","Z650296","2017-05-08","10:44:00.00","2017-05-09","12:40:00.00","17_A17",NA,NA,"F"
"Z650300",NA,"RB","Z650300","2017-05-08","10:44:00.00","2017-05-09","12:40:00.00","17_A17",NA,NA,"F"
"Z650298",NA,"N","Z650298","2017-05-09","12:40:00.00","2017-05-11","13:03:00.00","17_A17",NA,NA,"M"
"Z650314",NA,"LR","Z650314","2017-05-08","11:25","2017-05-09","13:44:00.00","17_A39",NA,NA,"M"
"Z650317",NA,"R","Z650317","2017-05-08","11:25","2017-05-09","13:44:00.00","17_A39",NA,NA,"F"
"Z650316",NA,"B","Z650316","2017-05-08","11:25","2017-05-09","13:44:00.00","17_A39",NA,NA,"M"
"Z650318",NA,"LB","Z650318","2017-05-08","11:25","2017-05-09","13:44:00.00","17_A39",NA,NA,"F"
"Z650319",NA,"RB","Z650319","2017-05-09","13:44:00.00","2017-05-10","11:55:00.00","17_A39",NA,NA,"M"
"Z650313",NA,"L","Z650313","2017-05-09","13:44:00.00","2017-05-10","11:55:00.00","17_A39",NA,NA,"F"
"Z650312",NA,"A","Z650312","2017-05-09","13:44:00.00","2017-05-10","11:55:00.00","17_A39",NA,NA,"F"
"Z650315",NA,"LT","Z650315","2017-05-09","13:44:00.00","2017-05-10","11:55:00.00","17_A39",NA,NA,"M"
"Z650320",NA,"N","Z650320","2017-05-09","13:44:00.00","2017-05-10","11:55:00.00","17_A39","2017-05-21","09:05:00.00","F"
"Z650308",NA,"L","Z650308","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"Z650304",NA,"R","Z650304","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"Z650303",NA,"B","Z650303","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"Z650306",NA,"LB","Z650306","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"Z650301",NA,"RB","Z650301","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"Z650310",NA,"LR","Z650310","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"Z650311",NA,"A","Z650311","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"Z650302",NA,"LT","Z650302","2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52",NA,NA,"M"
"17_A52RT",NA,"RT",NA,"2017-05-08","12:07","2017-05-09","13:56:00.00","17_A52","2017-05-15","07:26:00.00",NA
"Z650305",NA,"BT","Z650305","2017-05-09","13:56:00.00","2017-05-10","11:32:00.00","17_A52",NA,NA,"M"
"Z650309",NA,"LBT","Z650309","2017-05-09","13:56:00.00","2017-05-10","11:32:00.00","17_A52",NA,NA,"F"
"Z650307",NA,"N","Z650307","2017-05-09","13:56:00.00","2017-05-10","11:32:00.00","17_A52",NA,NA,"M"
"17_A9L",NA,"L",NA,"2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-19","09:40:00.00","F"
"Z650322",NA,"R","Z650322","2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-22","09:31:00.00","M"
"Z650328",NA,"B","Z650328","2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-22","09:31:00.00","F"
"Z650323",NA,"LB","Z650323","2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-22","09:31:00.00","M"
"Z650327",NA,"RB","Z650327","2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-22","09:31:00.00","F"
"Z650324",NA,"LR","Z650324","2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-22","09:31:00.00","F"
"Z650321",NA,"A","Z650321","2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-22","09:31:00.00","M"
"Z650325",NA,"LBT","Z650325","2017-05-09","11:08","2017-05-10","12:22:00.00","17_A9","2017-05-22","09:31:00.00","M"
"Z650326",NA,"RT","Z650326","2017-05-10","12:22:00.00","2017-05-11","09:21:00.00","17_A9","2017-05-22","09:31:00.00","F"
"Z650329",NA,"N","Z650329","2017-05-11","09:21:00.00","2017-05-13","09:10:00.00","17_A9","2017-05-22","09:31:00.00","F"
"Z650340",NA,"L","Z650340","2017-05-09","9:28","2017-05-10","08:49:00.00","17_3",NA,NA,"F"
"Z650344",NA,"R","Z650344","2017-05-10","08:49:00.00","2017-05-11","11:17:00.00","17_3",NA,NA,"F"
"Z650342",NA,"B","Z650342","2017-05-10","08:49:00.00","2017-05-11","11:17:00.00","17_3",NA,NA,"M"
"Z650345",NA,"LB","Z650345","2017-05-10","08:49:00.00","2017-05-11","11:17:00.00","17_3",NA,NA,"F"
"Z650339",NA,"RB","Z650339","2017-05-10","08:49:00.00","2017-05-11","11:17:00.00","17_3",NA,NA,"M"
"17_3LR",NA,"LR",NA,"2017-05-11","11:17:00.00","2017-05-13","15:21:00.00","17_3","2017-05-16","14:10:00.00","M"
"Z650341",NA,"A","Z650341","2017-05-11","11:17:00.00","2017-05-13","15:21:00.00","17_3",NA,NA,"F"
"Z650343",NA,"N","Z650343","2017-05-11","11:17:00.00","2017-05-13","15:21:00.00","17_3",NA,NA,"F"
"Z650333",NA,"L","Z650333","2017-05-09","9:43","2017-05-10","09:40:00.00","17_172",NA,NA,"M"
"Z650337",NA,"R","Z650337","2017-05-09","9:43","2017-05-10","09:40:00.00","17_172",NA,NA,"M"
"Z650334",NA,"B","Z650334","2017-05-09","9:43","2017-05-10","09:40:00.00","17_172",NA,NA,"M"
"Z650332",NA,"LB","Z650332","2017-05-09","9:43","2017-05-10","09:40:00.00","17_172",NA,NA,"F"
"Z650331",NA,"RB","Z650331","2017-05-09","9:43","2017-05-10","09:40:00.00","17_172",NA,NA,"F"
"Z650338",NA,"LR","Z650338","2017-05-09","9:43","2017-05-10","09:40:00.00","17_172",NA,NA,"F"
"Z650335",NA,"A","Z650335","2017-05-10","09:40:00.00","2017-05-11","09:10:00.00","17_172",NA,NA,"M"
"Z650336",NA,"LT","Z650336","2017-05-10","09:40:00.00","2017-05-11","09:10:00.00","17_172",NA,NA,"F"
"Z650330",NA,"N","Z650330","2017-05-11","09:10:00.00","2017-05-13","10:10:00.00","17_172",NA,NA,"M"
"Z650361",NA,"L","Z650361","2017-05-10","12:19","2017-05-11","09:14:00.00","17_A12",NA,NA,"M"
"Z650359",NA,"R","Z650359","2017-05-10","12:19","2017-05-11","09:14:00.00","17_A12",NA,NA,"F"
"Z650358",NA,"B","Z650358","2017-05-10","12:19","2017-05-11","09:14:00.00","17_A12",NA,NA,"F"
"Z650355",NA,"LB","Z650355","2017-05-10","12:19","2017-05-11","09:14:00.00","17_A12",NA,NA,"M"
"Z650357",NA,"RB","Z650357","2017-05-10","12:19","2017-05-11","09:14:00.00","17_A12",NA,NA,"F"
"Z650360",NA,"LR","Z650360","2017-05-10","12:19","2017-05-11","09:14:00.00","17_A12",NA,NA,"F"
"Z650356",NA,"A","Z650356","2017-05-11","09:14:00.00","2017-05-12","09:15:00.00","17_A12",NA,NA,"F"
"17_A12N",NA,"N",NA,"2017-05-12","09:15:00.00","2017-05-14","09:20:00.00","17_A12","2017-05-14","09:20:00.00","M"
"Z650351",NA,"L","Z650351","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"M"
"Z650348",NA,"R","Z650348","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"M"
"Z650354",NA,"B","Z650354","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"M"
"Z650346",NA,"LB","Z650346","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"M"
"Z650349",NA,"RB","Z650349","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"M"
"Z650347",NA,"LR","Z650347","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"M"
"Z650353",NA,"A","Z650353","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"F"
"Z650352",NA,"LT","Z650352","2017-05-10","12:05","2017-05-11","08:38:00.00","17_A31",NA,NA,"M"
"17_A31RT",NA,"RT",NA,"2017-05-11","08:38:00.00","2017-05-12","08:57:00.00","17_A31","2017-05-17","08:30:00.00","F"
"Z650350",NA,"N","Z650350","2017-05-11","08:38:00.00","2017-05-12","08:57:00.00","17_A31",NA,NA,"F"
"Z650380",NA,"L","Z650380","2017-05-10","8:18","2017-05-11","10:43:00.00","17_51",NA,NA,"F"
"Z650378",NA,"R","Z650378","2017-05-10","8:18","2017-05-11","10:43:00.00","17_51",NA,NA,"M"
"Z650377",NA,"B","Z650377","2017-05-10","8:18","2017-05-11","10:43:00.00","17_51",NA,NA,"F"
"Z650381",NA,"LB","Z650381","2017-05-10","8:18","2017-05-11","10:43:00.00","17_51",NA,NA,"M"
"Z650379",NA,"RB","Z650379","2017-05-10","8:18","2017-05-11","10:43:00.00","17_51",NA,NA,"F"
"Z650375",NA,"LR","Z650375","2017-05-11","10:43:00.00","2017-05-12","11:32:00.00","17_51",NA,NA,"F"
"Z650376",NA,"N","Z650376","2017-05-11","10:43:00.00","2017-05-12","11:32:00.00","17_51",NA,NA,"M"
"Z650374",NA,"L","Z650374","2017-05-03","7:45","2017-05-11","10:40:00.00","17_54",NA,NA,"M"
"Z650372",NA,"R","Z650372","2017-05-11","10:40:00.00","2017-05-12","11:22:00.00","17_54",NA,NA,"F"
"Z650371",NA,"B","Z650371","2017-05-11","10:40:00.00","2017-05-12","11:22:00.00","17_54",NA,NA,"F"
"Z650373",NA,"N","Z650373","2017-05-11","10:40:00.00","2017-05-12","11:22:00.00","17_54",NA,NA,"M"
"Z650364",NA,"L","Z650364","2017-05-10","8:20","2017-05-11","10:54:00.00","17_56",NA,NA,"M"
"Z650368",NA,"R","Z650368","2017-05-10","8:20","2017-05-11","10:54:00.00","17_56",NA,NA,"M"
"Z650367",NA,"B","Z650367","2017-05-10","8:20","2017-05-11","10:54:00.00","17_56",NA,NA,"M"
"Z650366",NA,"LB","Z650366","2017-05-10","8:20","2017-05-11","10:54:00.00","17_56",NA,NA,"M"
"Z650370",NA,"RB","Z650370","2017-05-10","8:20","2017-05-11","10:54:00.00","17_56",NA,NA,"M"
"Z650363",NA,"LR","Z650363","2017-05-11","10:54:00.00","2017-05-12","11:27:00.00","17_56",NA,NA,"M"
"Z650365",NA,"A","Z650365","2017-05-11","10:54:00.00","2017-05-12","11:27:00.00","17_56",NA,NA,"M"
"Z650362",NA,"LT","Z650362","2017-05-11","10:54:00.00","2017-05-12","11:27:00.00","17_56",NA,NA,"M"
"Z650369",NA,"N","Z650369","2017-05-11","10:54:00.00","2017-05-12","11:27:00.00","17_56",NA,NA,"M"
"Z650393",NA,"L","Z650393","2017-05-11","9:30","2017-05-12","09:25:00.00","17_A6",NA,NA,"M"
"Z650395",NA,"R","Z650395","2017-05-11","9:30","2017-05-12","09:25:00.00","17_A6",NA,NA,"M"
"Z650392",NA,"B","Z650392","2017-05-11","9:30","2017-05-12","09:25:00.00","17_A6",NA,NA,"M"
"Z650390",NA,"LB","Z650390","2017-05-12","09:25:00.00","2017-05-13","09:25:00.00","17_A6",NA,NA,"M"
"Z650389",NA,"RB","Z650389","2017-05-12","09:25:00.00","2017-05-13","09:25:00.00","17_A6",NA,NA,"F"
"Z650396",NA,"LR","Z650396","2017-05-12","09:25:00.00","2017-05-13","09:25:00.00","17_A6",NA,NA,"F"
"Z650391",NA,"A","Z650391","2017-05-12","09:25:00.00","2017-05-13","09:25:00.00","17_A6",NA,NA,"F"
"Z650394",NA,"N","Z650394","2017-05-13","09:25:00.00","2017-05-15","09:26:00.00","17_A6",NA,NA,"M"
"Z650384",NA,"A","Z650384","2017-05-11","8:11","2017-05-12","08:30:00.00","17_A43",NA,NA,"M"
"Z650383",NA,"R","Z650383","2017-05-11","8:11","2017-05-12","08:30:00.00","17_A43",NA,NA,"F"
"Z650382",NA,"B","Z650382","2017-05-11","8:11","2017-05-12","08:30:00.00","17_A43",NA,NA,"M"
"Z650385",NA,"LB","Z650385","2017-05-11","8:11","2017-05-12","08:30:00.00","17_A43",NA,NA,"F"
"Z650387",NA,"RB","Z650387","2017-05-11","8:11","2017-05-12","08:30:00.00","17_A43",NA,NA,"F"
"Z650386",NA,"LR","Z650386","2017-05-12","08:30:00.00","2017-05-13","07:45:00.00","17_A43",NA,NA,"M"
"Z650388",NA,"L","Z650388","2017-05-12","08:30:00.00","2017-05-13","07:45:00.00","17_A43",NA,NA,"M"
"Z650432",NA,"L","Z650432","2017-05-11","11:09","2017-05-12","12:01:00.00","17_13",NA,NA,"F"
"Z650428",NA,"R","Z650428","2017-05-11","11:09","2017-05-12","12:01:00.00","17_13",NA,NA,"M"
"Z650429",NA,"B","Z650429","2017-05-11","11:09","2017-05-12","12:01:00.00","17_13",NA,NA,"F"
"Z650433",NA,"LB","Z650433","2017-05-11","11:09","2017-05-12","12:01:00.00","17_13",NA,NA,"F"
"Z650430",NA,"RB","Z650430","2017-05-12","12:01:00.00","2017-05-13","14:03:00.00","17_13",NA,NA,"F"
"Z650431",NA,"N","Z650431","2017-05-13","14:03:00.00","2017-05-15","15:06:00.00","17_13",NA,NA,"F"
"Z650419",NA,"L","Z650419","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,"M"
"Z650425",NA,"R","Z650425","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,"F"
"Z650420",NA,"B","Z650420","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,"F"
"Z650427",NA,"LB","Z650427","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,"F"
"Z650426",NA,"RB","Z650426","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,NA
"Z650417",NA,"LR","Z650417","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,"M"
"Z650423",NA,"A","Z650423","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,"F"
"Z650424",NA,"LT","Z650424","2017-05-11","11:07","2017-05-12","11:52:00.00","17_22",NA,NA,"F"
"Z650422",NA,"RT","Z650422","2017-05-12","11:52:00.00","2017-05-13","13:44:00.00","17_22",NA,NA,"M"
"Z650421",NA,"BT","Z650421","2017-05-12","11:52:00.00","2017-05-13","13:44:00.00","17_22",NA,NA,"M"
"Z650418",NA,"N","Z650418","2017-05-12","11:52:00.00","2017-05-13","13:44:00.00","17_22",NA,NA,"M"
"Z650414",NA,"L","Z650414","2017-05-11","10:28","2017-05-12","11:06:00.00","17_93",NA,NA,"M"
"Z650410",NA,"R","Z650410","2017-05-11","10:28","2017-05-12","11:06:00.00","17_93",NA,NA,"M"
"Z650411",NA,"B","Z650411","2017-05-11","10:28","2017-05-12","11:06:00.00","17_93",NA,NA,"M"
"Z650413",NA,"LB","Z650413","2017-05-11","10:28","2017-05-12","11:06:00.00","17_93",NA,NA,"M"
"Z650415",NA,"RB","Z650415","2017-05-12","11:06:00.00","2017-05-13","13:11:00.00","17_93",NA,NA,"F"
"Z650416",NA,"LR","Z650416","2017-05-12","11:06:00.00","2017-05-13","13:11:00.00","17_93",NA,NA,"M"
"Z650412",NA,"A","Z650412","2017-05-12","11:06:00.00","2017-05-13","13:11:00.00","17_93",NA,NA,"M"
"Z650401",NA,"L","Z650401","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"M"
"Z650402",NA,"R","Z650402","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"M"
"Z650409",NA,"B","Z650409","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"F"
"Z650400",NA,"LB","Z650400","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"F"
"Z650397",NA,"RB","Z650397","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"F"
"Z650406",NA,"LR","Z650406","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"F"
"Z650403",NA,"A","Z650403","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"M"
"Z650407",NA,"LT","Z650407","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"M"
"Z650398",NA,"RT","Z650398","2017-05-11","10:25","2017-05-12","10:40:00.00","17_101",NA,NA,"M"
"Z650404",NA,"BT","Z650404","2017-05-12","10:40:00.00","2017-05-13","11:19:00.00","17_101",NA,NA,"F"
"Z650399",NA,"LBT","Z650399","2017-05-12","10:40:00.00","2017-05-13","11:19:00.00","17_101",NA,NA,"M"
"Z650408",NA,"N","Z650408","2017-05-12","10:40:00.00","2017-05-13","11:19:00.00","17_101",NA,NA,"F"
"17_170L",NA,"L",NA,"2017-05-11","10:12","2017-05-12","10:23:00.00","17_170","2017-05-18",NA,"M"
"17_170R",NA,"R",NA,"2017-05-11","10:12","2017-05-12","10:23:00.00","17_170","2017-05-18",NA,"F"
"17_170B",NA,"B",NA,"2017-05-11","10:12","2017-05-12","10:23:00.00","17_170","2017-05-18",NA,"M"
"17_170A",NA,"A",NA,"2017-05-12","10:23:00.00","2017-05-13","10:42:00.00","17_170","2017-05-18",NA,"F"
"17_170RB",NA,"RB",NA,"2017-05-12","10:23:00.00","2017-05-13","10:42:00.00","17_170","2017-05-18",NA,"F"
"17_170N",NA,"N",NA,"2017-05-12","10:23:00.00","2017-05-13","10:42:00.00","17_170","2017-05-18",NA,"F"
"17_A24L",NA,"L",NA,"2017-05-12","9:04","2017-05-13","08:21:00.00","17_A24","2017-05-19",NA,"F"
"17_A24R",NA,"R",NA,"2017-05-12","9:04","2017-05-13","08:21:00.00","17_A24","2017-05-19",NA,"M"
"17_A24B",NA,"B",NA,"2017-05-13","08:21:00.00","2017-05-14","09:03:00.00","17_A24","2017-05-19",NA,"M"
"17_A24LB",NA,"LB",NA,"2017-05-13","08:21:00.00","2017-05-14","09:03:00.00","17_A24","2017-05-19",NA,"M"
"17_A24RB",NA,"RB",NA,"2017-05-13","08:21:00.00","2017-05-14","09:03:00.00","17_A24","2017-05-19",NA,"F"
"17_A24N",NA,"N",NA,"2017-05-13","08:21:00.00","2017-05-14","09:03:00.00","17_A24","2017-05-19",NA,NA
"Z650441",NA,"L","Z650441","2017-05-12","8:55","2017-05-13","07:58:00.00","17_A33",NA,NA,"F"
"Z650434",NA,"R","Z650434","2017-05-12","8:55","2017-05-13","07:58:00.00","17_A33",NA,NA,"F"
"Z650435",NA,"B","Z650435","2017-05-12","8:55","2017-05-13","07:58:00.00","17_A33",NA,NA,"F"
"Z650439",NA,"LB","Z650439","2017-05-12","8:55","2017-05-13","07:58:00.00","17_A33",NA,NA,"F"
"Z650438",NA,"RB","Z650438","2017-05-12","8:55","2017-05-13","07:58:00.00","17_A33",NA,NA,"M"
"Z650436",NA,"LR","Z650436","2017-05-12","8:55","2017-05-13","07:58:00.00","17_A33",NA,NA,"M"
"Z650440",NA,"A","Z650440","2017-05-13","07:58:00.00","2017-05-14","08:32:00.00","17_A33",NA,NA,"M"
"Z650437",NA,"LT","Z650437","2017-05-13","07:58:00.00","2017-05-14","08:32:00.00","17_A33",NA,NA,"F"
"Z650463",NA,"L","Z650463","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"M"
"Z650467",NA,"B","Z650467","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"F"
"Z650469",NA,"R","Z650469","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"F"
"Z650462",NA,"LB","Z650462","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"F"
"Z650465",NA,"RB","Z650465","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"M"
"Z650468",NA,"LR","Z650468","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"F"
"Z650466",NA,"A","Z650466","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"F"
"Z650470",NA,"LT","Z650470","2017-05-12","11:58","2017-05-13","13:43:00.00","17_19",NA,NA,"F"
"17_19RT",NA,"RT",NA,"2017-05-12","11:58","2017-05-13","13:43:00.00","17_19","2017-05-13","13:43:00.00","M"
"Z650461",NA,"BT","Z650461","2017-05-13","13:43:00.00","2017-05-14","14:33:00.00","17_19",NA,NA,"M"
"Z650464",NA,"N","Z650464","2017-05-13","13:43:00.00","2017-05-14","14:33:00.00","17_19",NA,NA,"F"
"17_86L",NA,"L",NA,"2017-05-12","11:14","2017-05-13","12:57:00.00","17_86","2017-05-19",NA,"M"
"17_86R",NA,"R",NA,"2017-05-12","11:14","2017-05-13","12:57:00.00","17_86","2017-05-19",NA,"M"
"17_86B",NA,"B",NA,"2017-05-13","12:57:00.00","2017-05-14","13:02:00.00","17_86","2017-05-16","12:27:00.00",NA
"17_86LB",NA,"LB",NA,"2017-05-13","12:57:00.00","2017-05-14","13:02:00.00","17_86","2017-05-19",NA,"M"
"17_86RB",NA,"RB",NA,"2017-05-13","12:57:00.00","2017-05-14","13:02:00.00","17_86","2017-05-19",NA,"M"
"17_86LR",NA,"LR",NA,"2017-05-14","13:02:00.00","2017-05-16","12:27:00.00","17_86","2017-05-19",NA,"F"
"17_86N",NA,"N",NA,"2017-05-14","13:02:00.00","2017-05-16","12:27:00.00","17_86","2017-05-19",NA,"M"
"Z650459",NA,"L","Z650459","2017-05-12","10:57","2017-05-13","11:32:00.00","17_91",NA,NA,"M"
"Z650460",NA,"R","Z650460","2017-05-13","11:32:00.00","2017-05-14","11:46:00.00","17_91",NA,NA,"F"
"Z650457",NA,"B","Z650457","2017-05-13","11:32:00.00","2017-05-14","11:46:00.00","17_91",NA,NA,"M"
"Z650456",NA,"LB","Z650456","2017-05-13","11:32:00.00","2017-05-14","11:46:00.00","17_91",NA,NA,"M"
"Z650454",NA,"RB","Z650454","2017-05-13","11:32:00.00","2017-05-14","11:46:00.00","17_91",NA,NA,"F"
"Z650455",NA,"LR","Z650455","2017-05-13","11:32:00.00","2017-05-14","11:46:00.00","17_91",NA,NA,"F"
"Z650458",NA,"N","Z650458","2017-05-14","11:46:00.00","2017-05-16","11:18:00.00","17_91",NA,NA,"M"
"Z650452",NA,"L","Z650452","2017-05-12","10:39","2017-05-13","11:22:00.00","17_100",NA,NA,"F"
"Z650450",NA,"R","Z650450","2017-05-12","10:39","2017-05-13","11:22:00.00","17_100",NA,NA,"F"
"Z650449",NA,"B","Z650449","2017-05-12","10:39","2017-05-13","11:22:00.00","17_100",NA,NA,"M"
"Z650451",NA,"LB","Z650451","2017-05-12","10:39","2017-05-13","11:22:00.00","17_100",NA,NA,"M"
"Z650447",NA,"RB","Z650447","2017-05-12","10:39","2017-05-13","11:22:00.00","17_100",NA,NA,"M"
"Z650453",NA,"LR","Z650453","2017-05-12","10:39","2017-05-13","11:22:00.00","17_100",NA,NA,"M"
"Z650448",NA,"A","Z650448","2017-05-12","10:39","2017-05-13","11:22:00.00","17_100",NA,NA,"M"
"Z650443",NA,"L","Z650443","2017-05-12","10:15","2017-05-13","10:33:00.00","17_175",NA,NA,"F"
"Z650446",NA,"R","Z650446","2017-05-12","10:15","2017-05-13","10:33:00.00","17_175",NA,NA,"M"
"Z650444",NA,"B","Z650444","2017-05-12","10:15","2017-05-13","10:33:00.00","17_175",NA,NA,"M"
"Z650445",NA,"LB","Z650445","2017-05-12","10:15","2017-05-13","10:33:00.00","17_175",NA,NA,"M"
"Z650442",NA,"RB","Z650442","2017-05-12","10:15","2017-05-13","10:33:00.00","17_175",NA,NA,"M"
"17_175N",NA,"N",NA,"2017-05-13","10:33:00.00","2017-05-14","10:49:00.00","17_175","2017-05-19","10:32:00.00","M"
"17_6L",NA,"L",NA,"2017-05-13","14:05","2017-05-14","14:49:00.00","17_6","2017-05-20","15:30:00.00","F"
"17_6R",NA,"R",NA,"2017-05-13","14:05","2017-05-14","14:49:00.00","17_6","2017-05-20","15:30:00.00","M"
"17_6B",NA,"B",NA,"2017-05-14","14:49:00.00","2017-05-15","15:34:00.00","17_6","2017-05-20","15:30:00.00","M"
"S955535",NA,"L","S955535","2017-05-13","13:27","2017-05-14","14:26:00.00","17_31",NA,NA,"F"
"S955540",NA,"R","S955540","2017-05-13","13:27","2017-05-14","14:26:00.00","17_31",NA,NA,"F"
"S955539",NA,"B","S955539","2017-05-14","14:26:00.00","2017-05-15","14:38:00.00","17_31",NA,NA,"F"
"S955541",NA,"LB","S955541","2017-05-14","14:26:00.00","2017-05-15","14:38:00.00","17_31",NA,NA,"M"
"S955534",NA,"RB","S955534","2017-05-14","14:26:00.00","2017-05-15","14:38:00.00","17_31",NA,NA,"F"
"S955538",NA,"LR","S955538","2017-05-14","14:26:00.00","2017-05-15","14:38:00.00","17_31",NA,NA,"M"
"S955537",NA,"A","S955537","2017-05-14","14:26:00.00","2017-05-15","14:38:00.00","17_31",NA,NA,"M"
"S955536",NA,"N","S955536","2017-05-15","14:38:00.00","2017-05-17","14:21:00.00","17_31",NA,NA,"M"
"S955532",NA,"L","S955532","2017-05-13","13:24","2017-05-14","13:35:00.00","17_40",NA,NA,"F"
"S955529",NA,"R","S955529","2017-05-13","13:24","2017-05-14","13:35:00.00","17_40",NA,NA,"M"
"S955527",NA,"B","S955527","2017-05-14","13:35:00.00","2017-05-15","13:22:00.00","17_40",NA,NA,"M"
"S955526",NA,"LB","S955526","2017-05-14","13:35:00.00","2017-05-15","13:22:00.00","17_40",NA,NA,"F"
"S955530",NA,"RB","S955530","2017-05-14","13:35:00.00","2017-05-15","13:22:00.00","17_40",NA,NA,"F"
"S955533",NA,"LR","S955533","2017-05-14","13:35:00.00","2017-05-15","13:22:00.00","17_40",NA,NA,"M"
"S955524",NA,"A","S955524","2017-05-14","13:35:00.00","2017-05-15","13:22:00.00","17_40",NA,NA,"M"
"S955525",NA,"LT","S955525","2017-05-14","13:35:00.00","2017-05-15","13:22:00.00","17_40","2017-06-08",NA,"F"
"S955531",NA,"RT","S955531","2017-05-15","13:22:00.00","2017-05-17","14:05:00.00","17_40","2017-06-08",NA,"F"
"S955528",NA,"N","S955528","2017-05-15","13:22:00.00","2017-05-17","14:05:00.00","17_40","2017-06-08",NA,"M"
"S955523",NA,"L","S955523","2017-05-13","13:19","2017-05-14","13:22:00.00","17_63",NA,NA,NA
"S955522",NA,"R","S955522","2017-05-13","13:19","2017-05-14","13:22:00.00","17_63",NA,NA,"M"
"S955516",NA,"B","S955516","2017-05-13","13:19","2017-05-14","13:22:00.00","17_63",NA,NA,"F"
"S955519",NA,"LB","S955519","2017-05-14","13:22:00.00","2017-05-15","13:45:00.00","17_63",NA,NA,"M"
"S955520",NA,"RB","S955520","2017-05-14","13:22:00.00","2017-05-15","13:45:00.00","17_63",NA,NA,"M"
