"nestbox","lat","long","population","yr_setup"
"129",55.97597,-3.35376,"craigie_hill","2008-12"
"130",55.97614,-3.35418,"craigie_hill","2008-12"
"131",55.97644,-3.35459,"craigie_hill","2008-12"
"132",55.97623,-3.35525,"craigie_hill","2008-12"
"133",55.97646,-3.35594,"craigie_hill","2008-12"
"134",55.97675,-3.35563,"craigie_hill","2008-12"
"135",55.97714,-3.35477,"craigie_hill","2008-12"
"136",55.97688,-3.35433,"craigie_hill","2008-12"
"137",55.97655,-3.3539,"craigie_hill","2008-12"
"138",55.97624,-3.35332,"craigie_hill","2008-12"
"139",55.97652,-3.35267,"craigie_hill","2008-12"
"140",55.97671,-3.35313,"craigie_hill","2008-12"
"141",55.97695,-3.3535,"craigie_hill","2008-12"
"142",55.9772,-3.35391,"craigie_hill","2008-12"
"143",55.97742,-3.35428,"craigie_hill","2008-12"
"144",55.9777,-3.3537,"craigie_hill","2008-12"
"145",55.9775,-3.35342,"craigie_hill","2008-12"
"146",55.97723,-3.35311,"craigie_hill","2008-12"
"147",55.97701,-3.35272,"craigie_hill","2008-12"
"148",55.97678,-3.35193,"craigie_hill","2008-12"
"149",55.97713,-3.3523,"craigie_hill","2008-12"
"150",55.97741,-3.35261,"craigie_hill","2008-12"
"151",55.97763,-3.35291,"craigie_hill","2008-12"
"152",55.97788,-3.35308,"craigie_hill","2008-12"
"153",55.97802,-3.35233,"craigie_hill","2008-12"
"154",55.97774,-3.35209,"craigie_hill","2008-12"
"155",55.97743,-3.35188,"craigie_hill","2008-12"
"156",55.97715,-3.35161,"craigie_hill","2008-12"
"157",55.97743,-3.35121,"craigie_hill","2008-12"
"158",55.97783,-3.35151,"craigie_hill","2008-12"
"159",55.9781,-3.35169,"craigie_hill","2008-12"
"160",55.97815,-3.35059,"craigie_hill","2008-12"
"161",55.97783,-3.35076,"craigie_hill","2008-12"
"162",55.97762,-3.35067,"craigie_hill","2008-12"
"163",55.97808,-3.34997,"craigie_hill","2008-12"
"164",55.9786,-3.34906,"craigie_hill","2008-12"
"165",55.97815,-3.34888,"craigie_hill","2008-12"
"166",55.97776,-3.34954,"craigie_hill","2008-12"
"167",55.97722,-3.34985,"craigie_hill","2008-12"
"168",55.9766,-3.35046,"craigie_hill","2008-12"
"169",55.97618,-3.35089,"craigie_hill","2008-12"
"170",55.97565,-3.35139,"craigie_hill","2008-12"
"171",55.97514,-3.35192,"craigie_hill","2008-12"
"172",55.9747,-3.35233,"craigie_hill","2008-12"
"173",55.97497,-3.35265,"craigie_hill","2008-12"
"174",55.97519,-3.35278,"craigie_hill","2008-12"
"175",55.97449,-3.3535,"craigie_hill","2008-12"
"176",55.97443,-3.35311,"craigie_hill","2008-12"
"177",55.97429,-3.35261,"craigie_hill","2008-12"
"178",55.97392,-3.35279,"craigie_hill","2008-12"
"179",55.97393,-3.3534,"craigie_hill","2008-12"
"180",55.97384,-3.35393,"craigie_hill","2008-12"
"181",55.9735,-3.35314,"craigie_hill","2016-07"
"182",55.97307,-3.35305,"craigie_hill","2016-07"
"183",55.97284,-3.3534,"craigie_hill","2016-07"
"184",55.97246,-3.35351,"craigie_hill","2016-07"
