YEAR,BOXR,BOXOR,FID,GS,PAIR ID,RING,EXP,EPP,SEX,MASS11,MASS12,MASS14,RTARS14,PHA
2010,BJ6,BJ6,NA,NA,100016,1ER02314,experimental nests,NA,NA,10.1,10.6,11,15.3,3.1666667
2010,BJ6,BJ6,NA,NA,100016,1ER02321,experimental nests,NA,NA,9.2,10,10.4,15.7,3.6
2010,BJ6,BJ6,NA,NA,100016,1ER02318,experimental nests,NA,NA,10.4,11,11.2,16.3,3.6666667
2010,OJ133,BJ6,NA,NA,100016,1ER02329,control nest,NA,NA,10.8,11.1,11.5,14.4,3.7333333
2010,BJ6,BJ6,NA,NA,100016,1ER02309,experimental nests,NA,NA,10.3,10.8,11.2,16.3,3.7666667
2010,OJ133,BJ6,NA,NA,100016,1ER02328,control nest,NA,NA,11.3,12.3,12.2,16.4,5
2010,BJ6,BJ6,NA,NA,100016,1ER02308,experimental nests,NA,NA,10.6,11,12.4,16.2,5.8333333
2010,OJ133,BJ6,NA,NA,100016,1ER02326,control nest,NA,NA,10.8,11.2,11.5,14,7.7666667
2009,BO1-,BO1-,1EP47419,-0.0353992,90006,1EP47540,control nest,0,F,10.4,10.7,11,16.3,0.5333333
2009,BS85,BO1-,1EP47419,-0.0353992,90006,1EP47522,experimental nests,0,M,10.3,11.3,12.2,16.3,0.8333333
2009,BS85,BO1-,1EP47419,-0.0353992,90006,1EP47530,experimental nests,0,F,10.6,11.1,11.2,15.8,5.3666667
2009,BO1-,BO1-,1EP47419,-0.0353992,90006,1EP47536,control nest,0,F,11.1,11.7,12,16.4,6.6333333
2009,BS85,BO1-,1EP47419,-0.0353992,90006,1EP47529,experimental nests,0,M,10.6,11.4,11.6,16.2,6.7
2009,BO1-,BO1-,1EP47419,,90006,1EP47533,control nest,0,F,10.7,11.1,11.3,16,7.2666667
2009,BO1-,BO1-,1EP47419,-0.0353992,90006,1EP47535,control nest,0,F,10.6,11,11.2,16.5,7.4333333
2009,BS85,BO1-,1EP47419,-0.0353992,90006,1EP47521,experimental nests,0,F,10.8,11.1,11,16.5,9.7333333
2009,BO1-,BO1-,1EP47419,-0.0353992,90006,1EP47538,control nest,0,M,10.4,11.3,11.8,15.4,10.1333333
2009,BO10,BO10,1EP48362,0.007003169,90013,1EP48432,experimental nests,0,M,10.4,10.9,12.4,16.7,2.9666667
2009,BO3-,BO10,1EP48362,0.007003169,90013,1EP48418,control nest,0,M,10.2,11.3,12.6,17,3.5
2009,BO3-,BO10,1EP48362,0.007003169,90013,1EP48411,control nest,0,F,9.3,9.8,10.7,16,4.3
2009,BO10,BO10,1EP48362,0.007003169,90013,1EP48426,experimental nests,0,M,10,10.9,12.6,16.3,5.2666667
2009,BO10,BO10,1EP48362,0.007003169,90013,1EP48421,experimental nests,0,M,8.5,9.8,11,17,5.6666667
2009,BO10,BO10,1EP48362,0.007003169,90013,1EP48431,experimental nests,0,F,9.3,10.1,11.3,16,5.7
2009,BO3-,BO10,1EP48362,0.007003169,90013,1EP48412,control nest,0,M,9.5,9.7,11.5,16.5,5.9333333
2009,BO3-,BO10,1EP48362,0.007003169,90013,1EP48414,control nest,0,M,9.7,9.9,12.1,17.2,6.1333333
2009,BO10,BO10,1EP48362,0.007003169,90013,1EP48420,experimental nests,0,M,9.8,10.2,11.5,17,6.1333333
2009,BO3-,BO10,1EP48362,0.007003169,90013,1EP48419,control nest,0,M,10.3,10.4,12.1,16.7,7.9666667
2011,BO2-,BO2-,NA,NA,111018,1ER02066,experimental nests,NA,F,10.6,11.5,11.9,17.1,2.5666667
2011,RO20,BO2-,NA,NA,111018,1ER02060,control nest,NA,NA,11.2,11.4,11.6,15.7,4.6
2011,RO20,BO2-,NA,NA,111018,1ER02056,control nest,NA,F,11.3,11.7,11.9,16.8,5.2
2011,BO2-,BO2-,NA,NA,111018,1ER02074,experimental nests,NA,NA,10.6,11.2,11.7,15,5.2333333
2011,BO2-,BO2-,NA,NA,111018,1ER02076,experimental nests,NA,F,10.8,11.5,11.4,16,5.8
2011,BO2-,BO2-,NA,NA,111018,1ER02069,experimental nests,NA,F,9.9,10.7,11.3,15.7,6.2
2011,BO2-,BO2-,NA,NA,111018,1ER02073,experimental nests,NA,M,11,12.1,11.8,17.1,7.5333333
2011,RO20,BO2-,NA,NA,111018,1ER02062,control nest,NA,NA,12,12.5,12.7,17.5,8.6666667
2011,RO20,BO2-,NA,NA,111018,1ER02057,control nest,NA,NA,11.5,11.6,12.2,17,9.5
2011,BO2-,BO2-,NA,NA,111018,1ER02068,experimental nests,NA,F,10.7,11.4,11.5,15.6,10.2666667
2011,RO20,BO2-,NA,NA,111018,1ER02059,control nest,NA,NA,11.4,11.7,11.9,17.1,10.7
2011,RO20,BO2-,NA,NA,111018,NO110131,control nest,NA,NA,NA,NA,NA,NA,NA
2011,RO20,BO2-,NA,NA,111018,NO110130,control nest,NA,NA,NA,NA,NA,NA,NA
2009,BO3-,BO3-,NA,NA,90013,1EP48413,control nest,NA,NA,9.5,9.7,11.2,17.1,3.1
2009,BO3-,BO3-,NA,NA,90013,1EP48417,control nest,NA,NA,9.7,10.2,11.5,16.8,3.6
2009,BO10,BO3-,NA,NA,90013,1EP48428,experimental nests,NA,F,9.9,10.9,12.5,15.9,4.0666667
2009,BO10,BO3-,NA,NA,90013,1EP48427,experimental nests,NA,NA,11.1,12,11.7,17,5.1333333
2009,BO3-,BO3-,NA,NA,90013,1EP48416,control nest,NA,NA,10.4,11.1,11.5,16.4,5.2333333
2009,BO3-,BO3-,NA,NA,90013,1EP48415,control nest,NA,F,10.1,9.9,11.8,16.6,5.4333333
2009,BO10,BO3-,NA,NA,90013,1EP48429,experimental nests,NA,NA,10.4,11.1,11.3,16.2,5.6333333
2009,BO10,BO3-,NA,NA,90013,1EP48423,experimental nests,NA,M,9.5,9.9,10.3,16.1,5.6666667
2009,BO10,BO3-,NA,NA,90013,1EP48424,experimental nests,NA,NA,10.3,11.6,13.4,15.8,6.3333333
2011,BO3B,BO3B,1ER03627,NA,110011,1ER03140,experimental nests,0,M,11.3,NA,11.6,16.4,3.3
2011,BO3B,BO3B,1ER03627,NA,110011,1ER03144,experimental nests,0,NA,10.7,NA,10.6,16.6,4.6333333
2011,BO3B,BO3B,1ER03627,NA,110011,1ER03137,experimental nests,0,M,10.6,NA,11.8,16.6,7.7666667
2011,BO3B,BO3B,1ER03627,NA,110011,1ER03136,experimental nests,0,M,12.7,NA,11.8,16.6,7.7666667
2010,TU58B,BO5,1EP48126,0.011565842,100003,1EP48630,experimental nests,0,NA,10.7,11.3,11.5,16.8,4.8333333
2010,TU58B,BO5,1EP48126,0.011565842,100003,1EP48628,experimental nests,0,NA,8.6,11.4,11.7,16.7,5.1333333
2010,BO5,BO5,1EP48126,0.011565842,100003,1EP48636,control nest,0,NA,11.4,10.6,12.8,17.5,6.7333333
2010,TU58B,BO5,1EP48126,0.011565842,100003,1EP48632,experimental nests,0,NA,11.7,12.2,12.4,16.7,7.3333333
2010,BO5,BO5,1EP48126,0.011565842,100003,1EP48639,control nest,0,NA,10,11.5,11.4,16.8,9.6333333
2010,TU58B,BO5,1EP48126,0.011565842,100003,NONE0112,experimental nests,0,NA,NA,NA,NA,NA,NA
2010,BO5,BO5,1EP48126,0.011565842,100003,1EP48664,control nest,0,NA,NA,NA,11.6,16.8,NA
2010,BO5,BO5,1EP48126,0.011565842,100003,1EP48638,control nest,0,NA,11.4,12,11.6,17.4,NA
2010,BJ5B,BO6,1EP46450,-0.143953366,100009,1EP48038,experimental nests,0,NA,10,10.8,11.4,15.5,3.3333333
2010,BO6,BO6,1EP46450,-0.143953366,100009,1EP48046,control nest,0,NA,11.7,11.7,12.8,16.8,3.7333333
2010,BO6,BO6,1EP46450,-0.143953366,100009,1EP48050,control nest,0,NA,11.21,12.1,12.9,16,4.2333333
2010,BJ5B,BO6,1EP46450,-0.143953366,100009,1EP48043,experimental nests,0,NA,9.4,9.9,10.5,15.5,5.8
2010,BJ5B,BO6,1EP46450,-0.143953366,100009,1EP48033,experimental nests,0,NA,10.4,11,11.4,15.6,6.1333333
2010,BJ5B,BO6,1EP46450,-0.143953366,100009,1EP48036,experimental nests,0,NA,10.4,11,11,16.4,6.9666667
2010,BO6,BO6,1EP46450,-0.143953366,100009,1EP48049,control nest,0,NA,11,11.5,12.4,15.9,9.4
