LOCATION,DATE,SPECIES,RING,AGE,SEX,TARS
CAN CALOPA,14/11/96,Erithacus rubecula,L103334,3,,26.05
CAN CALOPA,19/10/96,Erithacus rubecula,L103078,3,,26.07
CAN CALOPA,29/10/96,Erithacus rubecula,L103229,3,,26.09
CAN CALOPA,18/10/96,Erithacus rubecula,L103011,3,,26.12
CAN CALOPA,18/10/96,Erithacus rubecula,L092687,3,,26.14
CAN CALOPA,25/10/96,Erithacus rubecula,L103166,3,,26.14
CAN CALOPA,8/11/96,Erithacus rubecula,L103311,3,,26.18
CAN CALOPA,8/11/96,Erithacus rubecula,L103315,3,,26.2
CAN CALOPA,18/10/96,Erithacus rubecula,L092698,3,,26.21
CAN CALOPA,9/10/96,Erithacus rubecula,L092644,3,,26.31
CAN CALOPA,20/10/96,Erithacus rubecula,L103094,3,,26.32
CAN CALOPA,8/10/96,Erithacus rubecula,L092599,3,,26.37
CAN CALOPA,26/12/96,Erithacus rubecula,L103345,3,,26.37
CAN CALOPA,29/10/96,Erithacus rubecula,L103230,3,,26.38
CAN CALOPA,18/11/96,Erithacus rubecula,L103335,3,,26.42
CAN CALOPA,20/10/96,Erithacus rubecula,L103102,3,,26.51
CAN CALOPA,16/10/96,Erithacus rubecula,L092683,3,,26.52
CAN CALOPA,19/10/96,Erithacus rubecula,L103046,3,,26.54
CAN CALOPA,20/10/96,Erithacus rubecula,L103087,3,,26.55
CAN CALOPA,9/11/96,Erithacus rubecula,L103320,3,,26.58
CAN CALOPA,3/10/96,Erithacus rubecula,L092451,3,,26.65
CAN CALOPA,8/10/96,Erithacus rubecula,L092590,3,,26.69
CAN CALOPA,3/10/96,Erithacus rubecula,L092459,3,,26.81
CAN CALOPA,4/10/96,Erithacus rubecula,L092491,3,,27
CAN CALOPA,25/10/96,Erithacus rubecula,L103157,4,,14.94
CAN CALOPA,16/10/96,Erithacus rubecula,L092665,4,,23.91
CAN CALOPA,18/10/96,Erithacus rubecula,L092691,4,,23.97
