"RearingBrood","ChickID","NatalBrood","CrossFosteredYN","AvgOfMass","AvgOfTarsus","AvgOfAge","nMeasures","dam","sire","NbRinged","MeanA","MeanAdev","MeanAsim","MeanTotalProRate","MeanS","MeanSdev","MeanSsim","SocialMumID","SocialDadID","PairID","BreedingYear","HatchingDayAfter0401","PairBroodNb","NbHatched","XPriorResidence","GenPairID","ResMassTarsus_perChick","MeanLogAdev","MeanLogSdev","MeanLogAdevAgeCat6","MeanLogSdevAgeCat6","MeanLogAdevAgeCat10","MeanLogSdevAgeCat10","MeanTotalProRateAgeCat6","MeanTotalProRateAgeCat10"
844,3423,844,0,24.8999996185303,19.2000007629395,12,1,2004,823,3,12,-0.949999999999999,12.95,17.2746016387071,8.5,2.365,6.135,2004,823,"8232004",2006,101,6,4,TRUE,"8232004",-0.48422066620869,-0.0945718667923272,0.360092507976574,-0.210004985542371,0.518547669859901,0.020861251957717,0.201637346093246,11.2676060373944,23.2815972400199
844,3424,844,0,22.6000003814697,18.8999996185303,12,1,2004,823,3,12,-0.949999999999999,12.95,17.2746016387071,8.5,2.365,6.135,2004,823,"8232004",2006,101,6,4,TRUE,"8232004",-2.08867846601227,-0.0945718667923272,0.360092507976574,-0.210004985542371,0.518547669859901,0.020861251957717,0.201637346093246,11.2676060373944,23.2815972400199
844,3425,844,0,23.7999992370605,18.2000007629395,12,1,2004,823,3,12,-0.949999999999999,12.95,17.2746016387071,8.5,2.365,6.135,2004,823,"8232004",2006,101,6,4,TRUE,"8232004",0.734241565611762,-0.0945718667923272,0.360092507976574,-0.210004985542371,0.518547669859901,0.020861251957717,0.201637346093246,11.2676060373944,23.2815972400199
845,3431,845,0,26.5,17.6000003814697,12,1,929,984,2,2,0,2,13.7704920329192,1,0.18,0.82,929,984,"984929",2006,102,1,4,FALSE,"984929",4.82532078094887,0,0.127833371509885,0,0.127833371509885,NA,NA,13.7704920329192,NA
845,3432,845,0,24.5,17,12,1,929,984,2,2,0,2,13.7704920329192,1,0.18,0.82,929,984,"984929",2006,102,1,4,FALSE,"984929",4.21639923334627,0,0.127833371509885,0,0.127833371509885,NA,NA,13.7704920329192,NA
846,3436,846,0,25.2000007629395,18.2999992370605,12,1,980,23,2,16,1.04,14.96,20.95123239672,7,-0.085,7.085,980,23,"23980",2006,103,1,3,FALSE,"23980",1.90240036785515,0.0633656698369536,-0.0476724884685223,0.0169164736667006,-0.28995222098632,0.109814866007207,0.194607244049275,22.4175820416866,19.4848827517533
846,3437,846,0,24,17.8999996185303,12,1,980,23,2,16,1.04,14.96,20.95123239672,7,-0.085,7.085,980,23,"23980",2006,103,1,3,FALSE,"23980",1.62978376580828,0.0633656698369536,-0.0476724884685223,0.0169164736667006,-0.28995222098632,0.109814866007207,0.194607244049275,22.4175820416866,19.4848827517533
847,3445,848,1,25.2000007629395,19,12,1,542,4435,3,14.5,-0.780000000000001,15.28,16.2829769406702,6.5,0.0549999999999997,6.445,4380,4378,"43784380",2006,105,1,3,FALSE,"4435542",0.279474769705267,-0.0491555161149051,0.0109623771694441,-0.147230236982685,-0.166817370257989,0.0489192047528745,0.188742124596877,17.3410398506283,15.2249140307122
847,3446,848,1,24.7999992370605,19.3999996185303,12,1,542,4435,3,14.5,-0.780000000000001,15.28,16.2829769406702,6.5,0.0549999999999997,6.445,4380,4378,"43784380",2006,105,1,3,FALSE,"4435542",-1.04791091706659,-0.0491555161149051,0.0109623771694441,-0.147230236982685,-0.166817370257989,0.0489192047528745,0.188742124596877,17.3410398506283,15.2249140307122
847,3447,848,1,25,18.7999992370605,12,1,542,4435,3,14.5,-0.780000000000001,15.28,16.2829769406702,6.5,0.0549999999999997,6.445,4380,4378,"43784380",2006,105,1,3,FALSE,"4435542",0.543168298270523,-0.0491555161149051,0.0109623771694441,-0.147230236982685,-0.166817370257989,0.0489192047528745,0.188742124596877,17.3410398506283,15.2249140307122
849,3450,849,0,26.5,18.7999992370605,12,1,622,2187,1,16,1.38,14.62,15.1376152086736,5,-1.28,6.28,622,2187,"2187622",2006,106,1,1,TRUE,"2187622",2.04316829827052,0.0873420101551481,-0.209229009713879,0.0873420101551481,-0.209229009713879,NA,NA,15.1376152086736,NA
852,3459,852,0,25.6000003814697,19.6000003814697,12,1,256,650,4,21,1.97,19.03,21.5568350926513,13,1.605,11.395,256,650,"650256",2006,114,4,4,TRUE,"650256",-0.711604064161923,0.124154552427588,0.197712129006969,0.240435048424271,0.385662480811985,0.00787405643090587,0.00976177720195383,15.9292032709509,27.1844669143518
852,3460,852,0,25.6000003814697,18.6000003814697,12,1,256,650,4,21,1.97,19.03,21.5568350926513,13,1.605,11.395,256,650,"650256",2006,114,4,4,TRUE,"650256",1.60685854912833,0.124154552427588,0.197712129006969,0.240435048424271,0.385662480811985,0.00787405643090587,0.00976177720195383,15.9292032709509,27.1844669143518
852,3461,852,0,25,18.7999992370605,12,1,256,650,4,21,1.97,19.03,21.5568350926513,13,1.605,11.395,256,650,"650256",2006,114,4,4,TRUE,"650256",0.543168298270523,0.124154552427588,0.197712129006969,0.240435048424271,0.385662480811985,0.00787405643090587,0.00976177720195383,15.9292032709509,27.1844669143518
852,3462,852,0,15.6999998092651,17,12,1,256,650,4,21,1.97,19.03,21.5568350926513,13,1.605,11.395,256,650,"650256",2006,114,4,4,TRUE,"650256",-4.58360095738863,0.124154552427588,0.197712129006969,0.240435048424271,0.385662480811985,0.00787405643090587,0.00976177720195383,15.9292032709509,27.1844669143518
854,3466,854,0,20.2999992370605,15.8999996185303,12,1,2691,23,2,8.5,0.94,7.56,14.1245954034764,4.5,1.69,2.81,2691,23,"232691",2006,115,2,4,FALSE,"232691",2.56670822944928,0.0814948142472314,0.4325707239278,0,0.471604910612709,0.162989628494463,0.393536537242891,10.5017499177503,17.7474408892024
854,3469,854,0,16.3999996185303,14.8000001907349,12,1,2691,23,2,8.5,0.94,7.56,14.1245954034764,4.5,1.69,2.81,2691,23,"232691",2006,115,2,4,FALSE,"232691",1.21701615890338,0.0814948142472314,0.4325707239278,0,0.471604910612709,0.162989628494463,0.393536537242891,10.5017499177503,17.7474408892024
856,3470,855,1,20,17.6000003814697,12,1,586,2651,5,34.5,0.839999999999996,33.66,34.8291429595308,25.5,1.135,24.365,784,417,"417784",2006,116,2,5,FALSE,"2651586",-1.67467921905112,0.000791165154041387,-0.0543434520330754,-0.0596485358433795,-0.212261021392589,0.0612308661514622,0.103574117326438,22.4299061422276,47.228379776834
856,3475,856,0,25,17.8999996185303,12,1,784,417,5,34.5,0.839999999999996,33.66,34.8291429595308,25.5,1.135,24.365,784,417,"417784",2006,116,2,5,FALSE,"417784",2.62978376580828,0.000791165154041387,-0.0543434520330754,-0.0596485358433795,-0.212261021392589,0.0612308661514622,0.103574117326438,22.4299061422276,47.228379776834
856,3476,856,0,20.8999996185303,16.7999992370605,12,1,784,417,5,34.5,0.839999999999996,33.66,34.8291429595308,25.5,1.135,24.365,784,417,"417784",2006,116,2,5,FALSE,"417784",1.08009314338132,0.000791165154041387,-0.0543434520330754,-0.0596485358433795,-0.212261021392589,0.0612308661514622,0.103574117326438,22.4299061422276,47.228379776834
856,3477,856,0,25.1000003814697,18.7999992370605,12,1,784,417,5,34.5,0.839999999999996,33.66,34.8291429595308,25.5,1.135,24.365,784,417,"417784",2006,116,2,5,FALSE,"417784",0.643168679740225,0.000791165154041387,-0.0543434520330754,-0.0596485358433795,-0.212261021392589,0.0612308661514622,0.103574117326438,22.4299061422276,47.228379776834
856,3478,856,0,22.6000003814697,18,12,1,784,417,5,34.5,0.839999999999996,33.66,34.8291429595308,25.5,1.135,24.365,784,417,"417784",2006,116,2,5,FALSE,"417784",-0.00206299847428121,0.000791165154041387,-0.0543434520330754,-0.0596485358433795,-0.212261021392589,0.0612308661514622,0.103574117326438,22.4299061422276,47.228379776834
857,3483,857,0,25.5,17.7000007629395,12,1,2865,1954,2,15,0.68,14.32,22.0573217811853,6,-1.815,7.815,2865,1954,"19542865",2006,117,1,3,FALSE,"19542865",3.59347363519639,0.0531146738223048,-0.252009253916507,-0.0263173083173735,-0.208638865111328,0.132546655961983,-0.295379642721685,23.401949388764,20.7126941736066
857,3484,857,0,25.5,18.7999992370605,12,1,2865,962,2,15,0.68,14.32,22.0573217811853,6,-1.815,7.815,2865,1954,"19542865",2006,117,1,3,FALSE,"9622865",1.04316829827052,0.0531146738223048,-0.252009253916507,-0.0263173083173735,-0.208638865111328,0.132546655961983,-0.295379642721685,23.401949388764,20.7126941736066
859,3491,859,0,28.2999992370605,19.8999996185303,12,1,1100,1956,2,16,0.720000000000001,15.28,17.3817546704825,10,2.91,7.09,1100,959,"9591100",2006,118,5,3,TRUE,"19561100",1.29285777628828,0.0330699012522725,0.307950806907025,0.066139802504545,0.343854255509671,0,0.272047358304379,20.3056775324019,14.457831808563
859,3492,859,0,28.6000003814697,19,12,1,1100,500,2,16,0.720000000000001,15.28,17.3817546704825,10,2.91,7.09,1100,959,"9591100",2006,118,5,3,TRUE,"5001100",3.67947438823547,0.0330699012522725,0.307950806907025,0.066139802504545,0.343854255509671,0,0.272047358304379,20.3056775324019,14.457831808563
860,3495,860,0,24.7999992370605,18.8999996185303,12,1,2658,1956,4,40,4.62,35.38,39.7985332451457,32,3.3,28.7,2658,2053,"20532658",2006,119,3,4,FALSE,"19562658",0.111320389578535,0.119908733872509,0.107457089722986,0.0665839015459285,0.0352160441423141,0.173233566199089,0.179698135303659,43.8053082557169,35.7917582345746
860,3496,860,0,28.6000003814697,19,12,1,2658,2053,4,40,4.62,35.38,39.7985332451457,32,3.3,28.7,2658,2053,"20532658",2006,119,3,4,FALSE,"20532658",3.67947438823547,0.119908733872509,0.107457089722986,0.0665839015459285,0.0352160441423141,0.173233566199089,0.179698135303659,43.8053082557169,35.7917582345746
860,3497,860,0,27.5,19.1000003814697,12,1,2658,1956,4,40,4.62,35.38,39.7985332451457,32,3.3,28.7,2658,2053,"20532658",2006,119,3,4,FALSE,"19562658",2.3476268610135,0.119908733872509,0.107457089722986,0.0665839015459285,0.0352160441423141,0.173233566199089,0.179698135303659,43.8053082557169,35.7917582345746
860,3498,860,0,23.5,18.7999992370605,12,1,2658,2053,4,40,4.62,35.38,39.7985332451457,32,3.3,28.7,2658,2053,"20532658",2006,119,3,4,FALSE,"20532658",-0.956831701729477,0.119908733872509,0.107457089722986,0.0665839015459285,0.0352160441423141,0.173233566199089,0.179698135303659,43.8053082557169,35.7917582345746
862,3511,864,1,28,19.2999992370605,12,1,1827,2462,4,26,4.1,21.9,23.8687425024562,14,2.3,11.7,843,2904,"2904843",2006,120,2,4,TRUE,"24621827",2.3839369916254,0.166392683382837,0.163912604210869,0.150328207557788,0.116045415757843,0.182457159207885,0.211779792663895,20.7567560719503,26.980728932962
862,3512,864,1,26.8999996185303,19.1000003814697,12,1,1827,2462,4,26,4.1,21.9,23.8687425024562,14,2.3,11.7,843,2904,"2904843",2006,120,2,4,TRUE,"24621827",1.7476264795438,0.166392683382837,0.163912604210869,0.150328207557788,0.116045415757843,0.182457159207885,0.211779792663895,20.7567560719503,26.980728932962
862,3513,864,1,29.2000007629395,19.1000003814697,12,1,1827,2462,4,26,4.1,21.9,23.8687425024562,14,2.3,11.7,843,2904,"2904843",2006,120,2,4,TRUE,"24621827",4.047627623953,0.166392683382837,0.163912604210869,0.150328207557788,0.116045415757843,0.182457159207885,0.211779792663895,20.7567560719503,26.980728932962
862,3514,864,1,27.7999992370605,18.8999996185303,12,1,1827,2462,4,26,4.1,21.9,23.8687425024562,14,2.3,11.7,843,2904,"2904843",2006,120,2,4,TRUE,"24621827",3.11132038957853,0.166392683382837,0.163912604210869,0.150328207557788,0.116045415757843,0.182457159207885,0.211779792663895,20.7567560719503,26.980728932962
863,3499,861,1,25.5,18.5,12,1,338,2906,4,33,3.1,29.9,35.9384059897374,23.5,1.58,21.92,45,166,"16645",2006,120,13,5,TRUE,"2906338",1.73870531341089,0.0979046759169771,0.0658908884982307,0.106454009479198,0.0537253993561631,0.0893553423547566,0.0780563776402984,29.8056145684717,42.0711974110032
863,3507,863,0,26,18.5,12,1,45,166,4,33,3.1,29.9,35.9384059897374,23.5,1.58,21.92,45,166,"16645",2006,120,13,5,TRUE,"16645",2.23870531341089,0.0979046759169771,0.0658908884982307,0.106454009479198,0.0537253993561631,0.0893553423547566,0.0780563776402984,29.8056145684717,42.0711974110032
863,3508,863,0,26.7000007629395,17.6000003814697,12,1,45,166,4,33,3.1,29.9,35.9384059897374,23.5,1.58,21.92,45,166,"16645",2006,120,13,5,TRUE,"16645",5.02532154388837,0.0979046759169771,0.0658908884982307,0.106454009479198,0.0537253993561631,0.0893553423547566,0.0780563776402984,29.8056145684717,42.0711974110032
863,3509,863,0,24.2999992370605,17.3999996185303,12,1,45,166,4,33,3.1,29.9,35.9384059897374,23.5,1.58,21.92,45,166,"16645",2006,120,13,5,TRUE,"16645",3.08901430951391,0.0979046759169771,0.0658908884982307,0.106454009479198,0.0537253993561631,0.0893553423547566,0.0780563776402984,29.8056145684717,42.0711974110032
865,3520,866,1,25.2999992370605,18.5,12,1,927,115,2,11.5,1.87,9.63,12.0777257307989,3,0.375,2.625,2405,1464,"14642405",2006,121,1,2,TRUE,"115927",1.53870455047139,0.161613504935596,0.0834551283115382,0.048790164169432,-0.0506931143155181,0.27443684570176,0.217603370938594,11.1964877515803,12.9589637100175
865,3521,866,1,17.3999996185303,17.2999992370605,12,1,927,494,2,11.5,1.87,9.63,12.0777257307989,3,0.375,2.625,2405,1464,"14642405",2006,121,1,2,TRUE,"494927",-3.57913816326381,0.161613504935596,0.0834551283115382,0.048790164169432,-0.0506931143155181,0.27443684570176,0.217603370938594,11.1964877515803,12.9589637100175
866,3515,865,1,27,19.1000003814697,12,1,2405,1464,2,16,2.64,13.36,15.9146101492123,6,0.125,5.875,927,494,"494927",2006,121,2,2,TRUE,"14642405",1.8476268610135,0.176282145525401,0.0197725162028759,0.114153267605805,0.0220597180647323,0.238411023444998,0.0174853143410196,14.5534724981954,17.2757478002292
866,3516,865,1,25.2999992370605,18.8999996185303,12,1,2405,1464,2,16,2.64,13.36,15.9146101492123,6,0.125,5.875,927,494,"494927",2006,121,2,2,TRUE,"14642405",0.611320389578535,0.176282145525401,0.0197725162028759,0.114153267605805,0.0220597180647323,0.238411023444998,0.0174853143410196,14.5534724981954,17.2757478002292
870,3537,870,0,25,18,12,1,592,650,4,15,2.19,12.81,26.6042452912769,9,1.17,7.83,592,418,"418592",2006,123,9,4,FALSE,"650592",2.39793662005602,0.116990110711871,0.0940716350647942,-0.0188684843043827,-0.0582689081239758,0.252848705728126,0.246412178253564,26.8348633244668,26.3736272580871
870,3540,871,1,26.2999992370605,19.2000007629395,12,1,860,114,4,15,2.19,12.81,26.6042452912769,9,1.17,7.83,592,418,"418592",2006,123,9,4,FALSE,"114860",0.915778952321513,0.116990110711871,0.0940716350647942,-0.0188684843043827,-0.0582689081239758,0.252848705728126,0.246412178253564,26.8348633244668,26.3736272580871
870,3541,871,1,24.1000003814697,18.8999996185303,12,1,860,114,4,15,2.19,12.81,26.6042452912769,9,1.17,7.83,592,418,"418592",2006,123,9,4,FALSE,"114860",-0.588678466012265,0.116990110711871,0.0940716350647942,-0.0188684843043827,-0.0582689081239758,0.252848705728126,0.246412178253564,26.8348633244668,26.3736272580871
870,3543,871,1,20.2000007629395,17.2000007629395,12,1,860,114,4,15,2.19,12.81,26.6042452912769,9,1.17,7.83,592,418,"418592",2006,123,9,4,FALSE,"114860",-0.547294295218989,0.116990110711871,0.0940716350647942,-0.0188684843043827,-0.0582689081239758,0.252848705728126,0.246412178253564,26.8348633244668,26.3736272580871
871,3536,870,1,24.7000007629395,18.2000007629395,12,1,592,418,2,12.5,0.24,12.26,14.9748502525054,5,0.52,4.48,860,114,"114860",2006,123,6,4,FALSE,"418592",1.63424309149076,0.00550484681156641,0.0837715465485961,0.0932477918601049,-0.150333881300558,-0.0822380982369721,0.31787697439775,14.9837138515382,14.9659866534726
871,3538,870,1,26.7000007629395,18.2999992370605,12,1,592,418,2,12.5,0.24,12.26,14.9748502525054,5,0.52,4.48,860,114,"114860",2006,123,6,4,FALSE,"418592",3.40240036785515,0.00550484681156641,0.0837715465485961,0.0932477918601049,-0.150333881300558,-0.0822380982369721,0.31787697439775,14.9837138515382,14.9659866534726
898,3630,898,0,22.7999992370605,17.2999992370605,12,1,927,2202,3,5,0,5,9.38417707648475,0.5,-0.455,0.955,927,2202,"2202927",2007,53,1,5,FALSE,"2202927",1.8208614552664,0,-0.509784540663828,0,-0.924258901523332,0,-0.0953101798043248,7.40740740740741,11.3609467455621
898,3631,898,0,16.3999996185303,15.3000001907349,12,1,927,46,3,5,0,5,9.38417707648475,0.5,-0.455,0.955,927,2202,"2202927",2007,53,1,5,FALSE,"46927",0.057784852258254,0,-0.509784540663828,0,-0.924258901523332,0,-0.0953101798043248,7.40740740740741,11.3609467455621
898,3634,898,0,11,14.1999998092651,12,1,927,2202,3,5,0,5,9.38417707648475,0.5,-0.455,0.955,927,2202,"2202927",2007,53,1,5,FALSE,"2202927",-2.7919050072293,0,-0.509784540663828,0,-0.924258901523332,0,-0.0953101798043248,7.40740740740741,11.3609467455621
901,3648,901,0,25.3999996185303,17,12,1,860,3394,2,26.5,4.29,22.21,23.983940778607,12,-0.574999999999999,12.575,860,2693,"2693860",2007,54,1,4,FALSE,"3394860",5.11639885187657,0.17430579835666,-0.116440857685121,0.181788365632296,-0.256754151576724,0.166823231081025,0.023872436206482,16.6089965397924,31.3588850174216
901,3649,902,1,26.5,18.2999992370605,12,1,3050,2768,2,26.5,4.29,22.21,23.983940778607,12,-0.574999999999999,12.575,860,2693,"2693860",2007,54,1,4,FALSE,"27683050",3.20239960491565,0.17430579835666,-0.116440857685121,0.181788365632296,-0.256754151576724,0.166823231081025,0.023872436206482,16.6089965397924,31.3588850174216
909,3675,909,0,24.6000003814697,18.2999992370605,12,1,2492,2944,3,31,2.62,28.38,33.4470989761092,26,1.57,24.43,2492,2944,"29442492",2007,60,1,4,FALSE,"29442492",1.30239998638535,0.086838231806962,0.06107283545671,NA,NA,0.086838231806962,0.06107283545671,NA,33.4470989761092
909,3676,909,0,27.2999992370605,18.1000003814697,12,1,2492,417,3,31,2.62,28.38,33.4470989761092,26,1.57,24.43,2492,2944,"29442492",2007,60,1,4,FALSE,"4172492",4.46608871136425,0.086838231806962,0.06107283545671,NA,NA,0.086838231806962,0.06107283545671,NA,33.4470989761092
909,3677,909,0,23.5,17.5,12,1,2492,2944,3,31,2.62,28.38,33.4470989761092,26,1.57,24.43,2492,2944,"29442492",2007,60,1,4,FALSE,"29442492",2.05716792670114,0.086838231806962,0.06107283545671,NA,NA,0.086838231806962,0.06107283545671,NA,33.4470989761092
912,3686,912,0,26.1000003814697,18.7000007629395,12,1,3340,4304,3,24,1.21,22.79,28.4081076698557,18.5,1.65,16.85,3340,4304,"43043340",2007,66,1,4,FALSE,"43043340",1.87501140337584,-0.0200730187085338,-0.00598059296956732,-0.169192265352162,-0.149986176151018,0.129046227935094,0.138024990211884,14.3019296254257,42.5142857142857
912,3687,912,0,25,18.6000003814697,12,1,3340,4304,3,24,1.21,22.79,28.4081076698557,18.5,1.65,16.85,3340,4304,"43043340",2007,66,1,4,FALSE,"43043340",1.00685816765863,-0.0200730187085338,-0.00598059296956732,-0.169192265352162,-0.149986176151018,0.129046227935094,0.138024990211884,14.3019296254257,42.5142857142857
912,3688,912,0,21.5,17.7999992370605,12,1,3340,4304,3,24,1.21,22.79,28.4081076698557,18.5,1.65,16.85,3340,4304,"43043340",2007,66,1,4,FALSE,"43043340",-0.638369088439228,-0.0200730187085338,-0.00598059296956732,-0.169192265352162,-0.149986176151018,0.129046227935094,0.138024990211884,14.3019296254257,42.5142857142857
918,3708,918,0,25.3999996185303,17.8999996185303,12,1,3350,3430,3,23.5,2.95,20.55,27.020067507341,13.5,2.065,11.435,3350,3430,"34303350",2007,72,2,5,FALSE,"34303350",3.02978338433858,0.129491549036025,0.152689114380071,0.112101531591471,0.123513710365369,0.146881566480579,0.181864518394774,23.9717978848414,30.0683371298406
918,3710,917,1,22.7999992370605,18,12,1,2489,2605,3,23.5,2.95,20.55,27.020067507341,13.5,2.065,11.435,3350,3430,"34303350",2007,72,2,5,FALSE,"26052489",0.197935857116518,0.129491549036025,0.152689114380071,0.112101531591471,0.123513710365369,0.146881566480579,0.181864518394774,23.9717978848414,30.0683371298406
918,3715,917,1,26.5,18.8999996185303,12,1,2489,2605,3,23.5,2.95,20.55,27.020067507341,13.5,2.065,11.435,3350,3430,"34303350",2007,72,2,5,FALSE,"26052489",1.81132115251803,0.129491549036025,0.152689114380071,0.112101531591471,0.123513710365369,0.146881566480579,0.181864518394774,23.9717978848414,30.0683371298406
919,3717,919,0,22,17.5,12,1,4425,1697,2,12.5,2.74,9.76,15.6134992971099,6,1.765,4.235,4425,1697,"16974425",2007,76,2,3,TRUE,"16974425",0.557167926701142,0.237051878312597,0.130620542972449,0.151753555227537,-0.262364264467491,0.322350201397658,0.52360535041239,12.5326365764155,18.6943620178042
919,3719,919,0,24.7000007629395,17.8999996185303,12,1,4425,1697,2,12.5,2.74,9.76,15.6134992971099,6,1.765,4.235,4425,1697,"16974425",2007,76,2,3,TRUE,"16974425",2.32978452874778,0.237051878312597,0.130620542972449,0.151753555227537,-0.262364264467491,0.322350201397658,0.52360535041239,12.5326365764155,18.6943620178042
920,3722,920,0,22.1000003814697,19.1000003814697,12,1,4380,3285,4,29.5,0.280000000000001,29.22,43.2769250951069,25.5,0.57,24.93,4380,3285,"32854380",2007,78,2,4,TRUE,"32854380",-3.0523727575168,0.00416349904343064,0.0118944613402354,0.0641008060035457,0.0873094840122578,-0.0557738079166844,-0.0635205613317871,48.1700118063754,38.3838383838384
920,3723,920,0,24.7000007629395,18.5,12,1,4380,3285,4,29.5,0.280000000000001,29.22,43.2769250951069,25.5,0.57,24.93,4380,3285,"32854380",2007,78,2,4,TRUE,"32854380",0.938706076350392,0.00416349904343064,0.0118944613402354,0.0641008060035457,0.0873094840122578,-0.0557738079166844,-0.0635205613317871,48.1700118063754,38.3838383838384
920,3724,920,0,23.2000007629395,17.7999992370605,12,1,4380,661,4,29.5,0.280000000000001,29.22,43.2769250951069,25.5,0.57,24.93,4380,3285,"32854380",2007,78,2,4,TRUE,"6614380",1.06163167450027,0.00416349904343064,0.0118944613402354,0.0641008060035457,0.0873094840122578,-0.0557738079166844,-0.0635205613317871,48.1700118063754,38.3838383838384
920,3725,920,0,21,18.5,12,1,4380,3285,4,29.5,0.280000000000001,29.22,43.2769250951069,25.5,0.57,24.93,4380,3285,"32854380",2007,78,2,4,TRUE,"32854380",-2.76129468658911,0.00416349904343064,0.0118944613402354,0.0641008060035457,0.0873094840122578,-0.0557738079166844,-0.0635205613317871,48.1700118063754,38.3838383838384
921,3727,921,0,14.8999996185303,16.1000003814697,12,1,3507,3442,4,24,4.27,19.73,26.8287870945922,16,3.105,12.895,3507,3442,"34423507",2007,79,2,5,FALSE,"34423507",-3.29698568058545,0.2097328590029,0.23047659824411,0.143605384519187,0.180960780941858,0.275860333486614,0.279992415546362,33.2955832389581,20.3619909502262
921,3728,921,0,22.6000003814697,17.1000003814697,12,1,3507,3442,4,24,4.27,19.73,26.8287870945922,16,3.105,12.895,3507,3442,"34423507",2007,79,2,5,FALSE,"34423507",2.0845524690637,0.2097328590029,0.23047659824411,0.143605384519187,0.180960780941858,0.275860333486614,0.279992415546362,33.2955832389581,20.3619909502262
921,3729,921,0,13.1999998092651,14.6000003814697,12,1,3507,3442,4,24,4.27,19.73,26.8287870945922,16,3.105,12.895,3507,3442,"34423507",2007,79,2,5,FALSE,"34423507",-1.51929156991527,0.2097328590029,0.23047659824411,0.143605384519187,0.180960780941858,0.275860333486614,0.279992415546362,33.2955832389581,20.3619909502262
921,3730,921,0,21.5,16.8999996185303,12,1,3507,3442,4,24,4.27,19.73,26.8287870945922,16,3.105,12.895,3507,3442,"34423507",2007,79,2,5,FALSE,"34423507",1.44824637909853,0.2097328590029,0.23047659824411,0.143605384519187,0.180960780941858,0.275860333486614,0.279992415546362,33.2955832389581,20.3619909502262
923,3737,923,0,27.7000007629395,19.1000003814697,12,1,2004,417,2,11.5,0.52,10.98,20.9092191467352,8,1.59,6.41,2004,417,"4172004",2007,80,2,2,FALSE,"4172004",2.547627623953,-0.0629735746331073,0.264193160810336,-0.2537805207761,0.356674943938732,0.127833371509885,0.171711377681939,16.4759725400458,25.3424657534247
923,3738,923,0,25,18.3999996185303,12,1,2004,417,2,11.5,0.52,10.98,20.9092191467352,8,1.59,6.41,2004,417,"4172004",2007,80,2,2,FALSE,"4172004",1.47055245916316,-0.0629735746331073,0.264193160810336,-0.2537805207761,0.356674943938732,0.127833371509885,0.171711377681939,16.4759725400458,25.3424657534247
925,3743,925,0,24.2999992370605,17.7000007629395,12,1,3427,2453,3,38,2.38,35.62,42.0952380952381,27.5,0.104999999999997,27.395,3427,2453,"24533427",2007,81,1,4,FALSE,"24533427",2.39347287225689,0.0628877521610033,-0.00159744544825968,0.0535842461341063,-0.0392207131532814,0.0721912581879004,0.036025822256762,41.3333333333333,42.8571428571429
925,3745,925,0,24,18.6000003814697,12,1,3427,2651,3,38,2.38,35.62,42.0952380952381,27.5,0.104999999999997,27.395,3427,2453,"24533427",2007,81,1,4,FALSE,"26513427",0.00685816765862547,0.0628877521610033,-0.00159744544825968,0.0535842461341063,-0.0392207131532814,0.0721912581879004,0.036025822256762,41.3333333333333,42.8571428571429
925,3746,925,0,22.2999992370605,17.2999992370605,12,1,3427,2453,3,38,2.38,35.62,42.0952380952381,27.5,0.104999999999997,27.395,3427,2453,"24533427",2007,81,1,4,FALSE,"24533427",1.3208614552664,0.0628877521610033,-0.00159744544825968,0.0535842461341063,-0.0392207131532814,0.0721912581879004,0.036025822256762,41.3333333333333,42.8571428571429
926,3751,927,1,21.3999996185303,18.2999992370605,12,1,1100,4390,2,11.5,-0.0500000000000007,11.55,17.3723897911833,6,-0.145,6.145,2166,3460,"34602166",2007,83,1,4,TRUE,"43901100",-1.89760077655405,-0.00255755033338524,-0.0350279405855664,0,-0.0519597389307111,-0.00511510066677049,-0.0180961422404217,9.74477958236659,25
926,3752,927,1,23.2000007629395,17.8999996185303,12,1,1100,3460,2,11.5,-0.0500000000000007,11.55,17.3723897911833,6,-0.145,6.145,2166,3460,"34602166",2007,83,1,4,TRUE,"34601100",0.829784528747783,-0.00255755033338524,-0.0350279405855664,0,-0.0519597389307111,-0.00511510066677049,-0.0180961422404217,9.74477958236659,25
929,3760,929,0,24.2999992370605,17.3999996185303,12,1,2840,46,3,17.5,0.649999999999999,16.85,19.7676502296917,9,1.19,7.81,2840,46,"462840",2007,85,2,3,FALSE,"462840",3.08901430951391,0.0487492131600155,0.145285582470085,0.103064303397476,0.179863042955747,-0.00556587707744512,0.110708121984422,16.7053361312028,22.8299643281807
929,3761,929,0,24.7000007629395,17.7999992370605,12,1,2840,46,3,17.5,0.649999999999999,16.85,19.7676502296917,9,1.19,7.81,2840,46,"462840",2007,85,2,3,FALSE,"462840",2.56163167450027,0.0487492131600155,0.145285582470085,0.103064303397476,0.179863042955747,-0.00556587707744512,0.110708121984422,16.7053361312028,22.8299643281807
929,3762,929,0,22.5,16.3999996185303,12,1,2840,46,3,17.5,0.649999999999999,16.85,19.7676502296917,9,1.19,7.81,2840,46,"462840",2007,85,2,3,FALSE,"462840",3.60747768574366,0.0487492131600155,0.145285582470085,0.103064303397476,0.179863042955747,-0.00556587707744512,0.110708121984422,16.7053361312028,22.8299643281807
