ind	date_mesure	obs	wing	mass	tarsed	bill
17_PIRE	03/06/2013	CF	62	9,9	15,59	NA
17_PIRE	02/06/2014	GDM	61	9	15,56	7,13
170_PIRE	31/05/2015	PAM	62	9,1	16	NA
171_PIRE	11/06/2014	PAM	62	9,25	16,6	6,9
171_PIRE	04/06/2015	MS	66	9,4	16,53	6,75
172_PIRE	11/06/2014	PAM	59	8,8	15,9	6,6
172_PIRE	23/04/2015	GDM	NA	11,2	NA	NA
172_PIRE	24/04/2015	GDM	NA	11,3	NA	NA
172_PIRE	27/05/2015	SCB	61	9	NA	6,54
172_PIRE	21/04/2016	RMG	60	10,4	16,02	6,26
173_PIRE	11/06/2014	PAM	62	9,25	16,58	7,18
173_PIRE	30/05/2015	MS	64,5	9,7	16,55	7,11
174_PIRE	17/06/2014	PAM	55	9,3	15,6	6,7
174_PIRE	23/04/2015	GDM	60	9,9	15,71	6,33
174_PIRE	01/06/2015	PAM	59	9,1	15,7	NA
174_PIRE	19/04/2016	RMG	58,5	9,3	15,59	6,7
174_PIRE	07/06/2016	AC	59	8,9	15,68	6,63
175_PIRE	29/05/2015	ST	61	9,4	16,95	6,37
176_PIRE	30/05/2015	ST	59,5	9,7	16,03	6,57
177_PIRE	29/05/2015	MS	67	10,3	NA	NA
178_PIRE	03/06/2015	MS	62,5	9,2	15,66	7,13
179_PIRE	04/06/2015	MS	60	8,8	15,69	7,08
18_PIRE	06/06/2011	PP	62	9,1	15,95	6,59
18_PIRE	27/04/2011	CD	61	10,2	16,11	NA
18_PIRE	05/04/2012	GDM	NA	9	16,01	7,06
18_PIRE	14/06/2012	PP	62	8,9	16,01	6,67
18_PIRE	17/04/2013	GDM	61	9,6	16,44	NA
18_PIRE	08/06/2013	MOB	60	9,75	15,94	NA
18_PIRE	18/04/2014	CD	NA	8,75	NA	NA
18_PIRE	13/06/2014	GDM	61	9,7	16,05	6,77
18_PIRE	01/06/2015	PAM	69	8,2	15,95	NA
180_PIRE	06/06/2015	MS	62	9	16,68	6,84
181_PIRE	06/06/2015	MS	61	10,2	15,92	6,7
182_PIRE	02/06/2015	AC	60	8,4	15,59	6,05
182_PIRE	18/04/2016	RMG	63	9	15,6	6,06
182_PIRE	03/06/2016	AC	64,5	8,9	15,51	6,16
183_PIRE	02/06/2015	AC	60	8,7	15,81	6,5
184_PIRE	04/06/2015	AC	58,5	8,6	15,47	6,55
184_PIRE	09/06/2016	RMG	60	8,8	15,52	6,84
185_PIRE	07/06/2015	AC	61	9,6	15,95	7,4
185_PIRE	07/06/2015	BD	62,5	NA	16,01	7,39
185_PIRE	08/06/2015	BD	NA	NA	NA	NA
185_PIRE	09/06/2015	CF	NA	NA	NA	NA
185_PIRE	06/06/2016	AC	62,5	9,2	15,82	7,13
186_MURD	07/05/2010	CG	65	10,6	16,68	6,53
186_MURD	02/05/2011	MP	67	10	16,42	6,65
186_MURD	23/03/2011	PP	67	9,7	16,42	5,84
186_MURD	06/05/2012	GDM	68	9,75	16,85	7,57
186_MURD	21/03/2013	AC	67	9,5	16,56	6,01
186_MURD	09/05/2013	MOB	67	10	16,09	NA
187_MURD	03/05/2010	MP	61	9,4	15,95	6,44
187_MURD	09/05/2011	AC	62	10	15,92	6,94
187_MURD	16/05/2012	GDM	64	9,6	16,24	7,27
187_MURD	09/05/2013	MOB	63	10,5	15,84	NA
187_MURD	03/05/2014	CF	64,5	9,8	16,32	6,5
187_MURD	10/05/2015	CF	64	10,1	16,1	6,44
188_MURD	23/03/2011	NA	NA	NA	NA	NA
188_MURD	02/05/2012	CF	61	9,5	15,68	6,77
188_MURD	20/03/2013	AC	60	9,5	15,57	6,48
188_MURD	05/05/2013	PAM	60	9,25	15,38	NA
189_MURD	21/03/2013	AC	61	10	16,7	6,33
19_PIRE	09/06/2011	PP	60	8,5	15,56	6,29
19_PIRE	27/04/2011	CD	60	9,5	15,84	NA
19_PIRE	03/06/2013	CF	59,5	8,7	15,76	NA
190_MURD	04/05/2013	PAM	60	9,2	15,74	NA
190_MURD	28/03/2014	AC	61,5	11,8	16,48	6,27
191_MURD	18/03/2012	AC	61,5	9,6	16,42	6,58
191_MURD	31/05/2012	CF	61	9,6	16,57	7,03
191_MURD	21/03/2013	AC	62	9,6	16,46	6,34
191_MURD	09/05/2013	MOB	61	NA	16,04	NA
191_MURD	23/03/2014	AC	NA	9,6	16,34	6,2
191_MURD	02/05/2014	CGE	62	10,4	16,43	6,3
192_MURD	21/03/2012	PP	62	9,3	16,51	5,84
192_MURD	21/05/2012	CF	62	9,5	16,61	6,7
192_MURD	07/05/2013	VJ	61	9,9	16,55	NA
193_MURD	09/05/2010	AC	63,5	11,1	17,91	7,01
193_MURD	08/05/2011	MP	65	11,25	16,78	6,83
193_MURD	20/05/2013	CF	66	11	NA	NA
194_MURD	14/05/2010	CG	60	10,5	16,62	7,86
194_MURD	06/05/2011	MP	61,5	10,75	16,78	6,92
194_MURD	19/05/2012	PAM	NA	10,2	16,83	7,59
194_MURD	21/03/2013	AC	63	10	16,85	6,43
194_MURD	11/05/2013	MOB	63	10,25	16,67	NA
195_MURD	18/03/2012	AC	60	9,4	16,36	6,25
195_MURD	10/05/2012	AC	61	9,4	16,42	6,77
195_MURD	21/03/2013	AC	60	8,8	16,14	5,97
195_MURD	10/05/2013	MOB	59,5	9,25	16,05	NA
195_MURD	25/03/2014	AC	62	9,5	16,28	6,13
195_MURD	14/05/2014	MOB	61	9,25	16,36	6,6
195_MURD	15/05/2014	NA	NA	NA	NA	NA
196_MURD	18/03/2012	AC	60,5	9,5	16,28	6,74
196_MURD	15/05/2012	GDM	59	10,15	16,4	7,77
196_MURD	12/05/2013	GDM	61,5	9,6	16,6	NA
196_MURD	24/03/2014	AC	63	10,1	16,3	6,47
196_MURD	03/05/2014	CF	63	9,8	16,6	7,1
196_MURD	06/05/2015	RMG	63,5	9,9	16,17	6,7
197_MURD	09/05/2012	AC	62,5	9,8	16,99	6,61
197_MURD	06/05/2013	GDM	65	10,1	17,2	NA
197_MURD	27/04/2014	CF	66,5	10,2	17,05	6,65
197_MURD	29/03/2015	PP	67	10,2	16,96	6,1
197_MURD	07/05/2015	RMG	67	10,4	16,77	6,5
198_MURD	16/05/2012	GDM	60	9,5	16,28	7,39
198_MURD	20/03/2013	AC	60,5	9,4	15,92	5,76
198_MURD	06/05/2013	PAM	60,5	9,4	15,8	NA
198_MURD	30/04/2014	CF	62,5	9,6	16,12	6,3
198_MURD	25/03/2014	GDM	64	11,5	16,24	5,44
199_MURD	21/03/2011	AC	62,5	9,6	16,87	6,17
199_MURD	08/05/2011	EM	62,5	10	16,86	6,34
199_MURD	21/03/2012	PP	65	9,5	16,96	5,75
199_MURD	09/05/2012	AC	64	9,7	16,91	6,33
199_MURD	19/03/2013	AC	64,5	9,9	16,8	5,73
199_MURD	08/05/2013	VJ	64	9,5	16,2	NA
199_MURD	03/05/2014	CF	65	10	16,95	6,18
2_PIRE	15/06/2012	PP	63	9,2	16,68	6,37
2_PIRE	24/04/2013	GDM	65	9,4	16,73	NA
2_PIRE	05/06/2013	VJ	63	9,75	16,75	NA
20_PIRE	07/06/2011	PP	60	9,3	15,31	5,99
20_PIRE	30/04/2011	SAC	61	10,5	NA	NA
20_PIRE	16/06/2012	PP	62	8,6	15,4	6,43
20_PIRE	02/06/2013	VJ	62	9,5	NA	NA
20_PIRE	11/06/2014	PAM	58,5	8,25	14,8	6,5
20_PIRE	24/04/2015	RMG	NA	NA	NA	NA
20_PIRE	01/06/2015	CF	61	8,7	14,86	6,71
200_MURD	21/03/2011	PP	60	9,7	16,54	6,07
200_MURD	03/05/2011	EM	57	10	16,71	6,38
200_MURD	21/03/2012	NA	NA	NA	NA	NA
200_MURD	05/05/2012	CF	NA	9,9	16,5	6,8
200_MURD	09/05/2013	VJ	63	10	16,25	NA
200_MURD	26/03/2015	AC	61	9,7	16,61	6,22
200_MURD	10/05/2015	CF	61	9,5	16,66	6,86
200_MURD	04/05/2016	CF	59,5	10	16,6	6,7
201_MURD	23/03/2011	AC	61	9	15,59	6,33
201_MURD	17/03/2012	AC	NA	8,9	15,61	6,18
201_MURD	08/05/2012	AC	61,5	9,3	15,51	6,4
201_MURD	20/03/2013	AC	62	9,1	15,46	6,82
201_MURD	11/05/2013	GDM	61	9	15,4	NA
201_MURD	09/05/2014	CF	62	9,1	15,91	6,27
202_MURD	26/05/2010	MP	60	9,6	16,43	6,44
202_MURD	27/05/2011	MP	61,5	9,5	16,45	6,45
202_MURD	22/03/2012	AC	60	9	16,56	6,26
202_MURD	10/05/2012	CF	61,5	9,8	16,55	6,8
202_MURD	23/03/2013	AC	61	9,3	16,62	6,23
202_MURD	10/05/2013	PAM	59	9,5	16,52	NA
203_MURD	21/03/2011	AC	61	9,4	16,97	6,64
203_MURD	08/05/2011	EM	61	9	17	7,29
203_MURD	21/03/2012	AC	60	9,2	17	6,6
203_MURD	14/05/2012	CF	61	9,2	17,2	6,9
203_MURD	19/03/2013	AC	61	9,7	17,08	6,14
203_MURD	09/05/2013	VJ	63	9,5	16,21	NA
203_MURD	25/03/2014	AC	62	11	17,04	6,44
203_MURD	03/05/2014	CF	61,5	9,8	17,03	6,8
203_MURD	26/03/2015	SP	62	9,5	17,06	6,21
203_MURD	08/05/2015	CF	61	9,4	17,1	6,5
203_MURD	04/05/2016	RMG	60,5	9,5	17	6,68
204_MURD	23/03/2011	NA	NA	NA	NA	NA
204_MURD	06/05/2011	MP	62	10,5	16,68	6,31
204_MURD	08/05/2012	AC	63	10,3	16,8	6,73
204_MURD	21/03/2013	AC	63,5	9,8	16,61	6,14
204_MURD	11/05/2013	GDM	64	10	17,07	NA
205_MURD	06/05/2013	MOB	65	NA	16,06	NA
206_MURD	07/05/2010	MP	65	9,5	16,24	6,7
206_MURD	25/03/2011	AC	66	9,4	16,39	6,59
206_MURD	07/05/2011	MP	65	10	16,53	6,66
206_MURD	21/05/2012	CF	66	9,8	16,57	7,21
206_MURD	04/05/2013	GDM	65,5	9,75	16,6	NA
206_MURD	26/03/2014	NA	NA	NA	NA	NA
206_MURD	08/05/2014	CF	65,5	9,7	16,5	6,67
206_MURD	12/05/2015	CF	66	9,8	16,31	6,67
206_MURD	04/05/2016	RMG	65	9,9	16,55	6,72
207_MURD	29/03/2015	PP	67,5	10,4	16,36	6,35
208_MURD	25/03/2011	AC	64	9,3	16,47	6,42
208_MURD	02/05/2011	MP	64	9,5	16,46	6,32
208_MURD	09/05/2012	CF	64	9,9	16,71	6,48
208_MURD	21/03/2013	PP	66	9,8	16,44	5,92
208_MURD	10/05/2013	VJ	65	10,5	16,18	NA
209_MURD	25/03/2011	AC	62,5	8,9	16,66	6,12
209_MURD	04/05/2011	MP	62	9,25	16,7	6,24
209_MURD	24/03/2014	AC	62	9,06	16,61	5,99
209_MURD	07/05/2014	CF	62,5	9,7	16,7	6,15
21_PIRE	08/06/2008	TP	62	10,1	16,23	6,53
21_PIRE	02/06/2010	PP	63	8,9	16,26	6,31
210_MURD	28/03/2014	AC	66	10	16,48	6,29
210_MURD	04/05/2014	CF	66	9,7	NA	6,5
211_MURD	08/05/2012	CF	62	10,2	16,54	6,91
211_MURD	21/03/2013	AC	63,5	10,1	16,47	6,52
211_MURD	10/05/2013	VJ	63	10,5	16,81	NA
211_MURD	03/05/2014	CF	64	10,1	16,6	6,63
211_MURD	06/05/2015	CF	64	10,3	16,29	6,57
211_MURD	04/05/2016	JRD	62,5	10,6	16,28	6,71
212_MURD	18/03/2012	AC	57,55	9,2	16,29	6,27
212_MURD	08/05/2012	CF	58,5	9,4	16,37	6,83
212_MURD	21/03/2013	AC	59,5	9,2	16,39	6,1
212_MURD	11/05/2013	VJ	59	10	16,26	NA
212_MURD	08/05/2014	CF	60	9,8	16,46	6,57
213_MURD	18/03/2012	AC	63,15	9,9	16,81	5,98
213_MURD	06/05/2012	GDM	63	9,65	16,96	7,59
213_MURD	21/03/2013	AC	65	10,1	16,91	5,96
213_MURD	06/05/2013	PAM	64	9,75	16,68	NA
214_MURD	18/03/2012	AC	63	9,3	16,41	6,44
214_MURD	09/05/2012	CF	62,5	9,7	16,28	6,62
214_MURD	09/05/2013	VJ	63	10,5	17,4	NA
214_MURD	28/04/2014	CF	63	10,3	16,3	6,75
214_MURD	28/03/2014	AC	62,5	12	16,42	6,16
214_MURD	08/05/2015	CF	62	9,9	16,3	6,86
215_MURD	21/03/2012	AC	59	9,1	16,16	6,06
215_MURD	12/05/2012	AC	60	9,4	16,32	6,6
215_MURD	19/03/2013	AC	61	9,6	16,27	6,02
215_MURD	07/05/2013	VJ	60,5	9,8	16,66	NA
215_MURD	25/03/2014	GDM	64	10	16,48	6,21
215_MURD	05/05/2014	MOB	62	10	16,29	6,34
215_MURD	06/05/2014	NA	NA	NA	NA	NA
215_MURD	21/03/2016	AC	60,5	9,4	16,19	6,08
215_MURD	01/05/2016	CF	60,5	10,1	16,17	6,4
216_MURD	21/03/2012	AC	61	9,1	15,32	6
216_MURD	18/05/2012	PAM	60	7,9	14,87	6,7
216_MURD	03/05/2013	GDM	61	9,5	15,61	NA
216_MURD	12/06/2013	MOB	60,5	9,6	15,26	NA
216_MURD	26/03/2014	AC	62	11,4	15,3	5,99
216_MURD	08/05/2014	CF	62	9,4	15,25	6,62
216_MURD	11/05/2015	CF	62	9,4	15,25	6,88
217_MURD	20/03/2012	AC	65	9,7	16,99	5,96
217_MURD	18/05/2012	CF	65	9,5	17,04	6,52
217_MURD	10/05/2013	VJ	66	10	16,64	NA
218_MURD	22/03/2012	AC	62	9,2	16,3	6,36
218_MURD	23/03/2013	AC	63	10	16,43	6,44
219_MURD	22/03/2012	AC	63	9,3	16,27	6,08
