"id" "sex" "hatchisland" "hatchyear" "year" "month" "day" "island" "age" "tarsus" "wing" "billD" "billL" "mass" "totalbadge" "visiblebadge"
67 0 27 1998 2004 8 3 27 6 20.95 83 8.9 14.3 35.5 20.99333227 19.83607824
68 1 38 1997 2001 6 5 38 4 19.6 81.26 8.34 14.49 32.5 NA NA
68 1 38 1997 2001 7 19 38 4 19.6 NA NA NA 31 NA NA
68 1 38 1997 2002 6 17 38 5 19.38 80.86 8.36 14.59 34.4 NA NA
68 1 38 1997 2002 7 6 38 5 19.6 81 8.7 14.31 32.1 NA NA
68 1 38 1997 2000 6 8 38 3 19.5 80.86 8.66 14.69 32.7 NA NA
68 1 38 1997 1998 7 28 38 1 19.6 78 8.8 14.3 34.2 NA NA
68 1 38 1997 1999 7 13 38 2 19.6 79.86 8.34 14.59 31.8 NA NA
69 0 38 1997 1998 7 28 38 1 20.5 80 8.5 14.2 30.2 21.65802392 20.11765394
70 0 27 1998 1999 6 6 27 1 18.8 79.86 7.74 13.79 30.8 21.06822252 18.60698793
70 0 27 1998 1999 7 6 27 1 18.7 80 7.7 13.7 29.5 20.7670412 19.31890266
70 0 27 1998 1999 6 24 27 1 18.7 79 7.5 13.7 30.3 19.72232238 16.84250575
71 1 27 1998 1999 7 28 27 1 19.6 78.86 7.94 14.79 29.7 NA NA
71 1 27 1998 2000 6 4 27 2 19.68 81.83 7.89 13.13 32.9 NA NA
72 1 27 1998 1999 5 16 27 1 19.8 80.86 8.24 15.19 32.1 NA NA
72 1 27 1998 2000 7 28 27 2 19.8 80 8.5 15.1 30.2 NA NA
72 1 27 1998 1999 7 6 27 1 19.6 80 8.2 15 36.4 NA NA
73 0 27 1998 2001 7 30 27 3 20.1 83.26 8.44 14.59 32.2 21.42825238 17.21249546
74 0 27 1998 1999 7 28 27 1 20.2 80.86 8.34 14.09 36.1 20.7670412 18.3757993
74 0 27 1998 1999 5 16 27 1 20.1 82 8.3 13.8 32 21.8442212 14.70272084
75 1 27 1998 2000 7 28 27 2 20.3 77 8.2 14.5 34 NA NA
75 1 27 1998 2000 7 11 27 2 20.4 78 8.5 14 33.5 NA NA
76 0 27 1998 2000 5 15 27 2 18.3 82 8.7 13.8 32 21.53299793 17.90446872
78 0 27 1998 2001 7 31 27 3 20.2 82.26 8.64 13.59 31.6 21.40724177 16.92247027
78 0 27 1998 2001 6 9 27 3 20.68 82.83 8.39 14.33 31.7 19.9379036 16.31318485
78 0 27 1998 2002 7 14 27 4 20.27 82 8.2 14.3 27.4 19.63084308 17.21249546
78 0 27 1998 2000 6 15 27 2 20.2 80.86 7.76 14.39 30.3 21.36515855 16.31318485
79 1 27 1998 2000 8 6 27 2 20.38 79.83 8.09 14.43 32 NA NA
