dryad_id	sex	sex_cat	area	tarsus	wing.length	body.mass	wing.white
388	0	m	PEN	18.5	83	12.75	52.75000024
389	1	f	KOL	18.9800003	83	15.38000011	31.31999979
390	0	m	KOL	19.02500057	82	12.07499981	58.75000036
391	1	f	HOR	19.79999924	81	15	13.5
392	1	f	NIL	19	83	14	16.29999971
393	1	f	HOR	18.92000008	81.4	14.42499995	22.01999996
394	0	m	HOR	19.57999954	84.4	13.52000008	38.43999972
395	1	f	HOR	20.29999924	75	15.5	27.29999972
396	1	f	LOT	19.20000076	81	14.30000019	16.39999962
397	0	m	SKO	19.09999975	83	13.89999994	37.70000005
398	1	f	KOL	19.375	80.5	14.72500014	27.05000002
399	0	m	HOR	19.86666616	85.33333333	12.36666679	46.86666692
400	0	m	R_L	19.80000019	83	13.44999981	55.57499969
401	1	f	EKE	20.05000019	83	16.39999962	12.70000005
402	1	f	HOR	19.60000038	80	15.5	27.09999967
403	0	m	HOR	18.79999924	82	13	13.89999986
404	1	f	HOR	19.34999943	85	15.59999991	27.30000019
405	1	f	HOR	20	81	14.60000038	14.39999962
406	0	m	NIL	19.82499981	87	12.84999991	45.30000007
407	0	m	YVO	19.64000015	85.2	12.67999992	51.24000018
408	1	f	HOR	20.15000057	81	15.30000019	19.60000015
409	0	m	ISA	19.57500029	83.25	14.27499986	45.30000055
410	0	m	LOT	19.79999987	82.33333333	13.26666673	50.66666714
411	1	f	NIL	20.05000019	80.5	16.25	27.29999948
412	1	f	PEN	19.79999924	86	14.89999962	38.09999967
413	1	f	KOL	20.17499972	81.5	15.64999986	15.67500021
414	1	f	EKE	20.64999962	81	15.05000019	33.85000015
415	1	f	HOR	19.82000008	81.2	16.09999981	25.58000016
416	1	f	KOL	19.63333384	82.33333333	15.13333352	13.76666649
417	1	f	ALU	19.60000038	82	15.25	14.4000001
418	1	f	KOL	19.70000076	82	14.5	9.400000245
419	1	f	KOL	19.55000019	82	16.5	8.54999989
420	1	f	KOL	19.07499981	79	14.30000019	29.92500013
421	1	f	NIL	19.20000029	80.25	15.57500005	21.75000018
422	1	f	NIL	19.76666641	81.66666667	14.86666679	14.86666672
423	0	m	HOR	19.70000076	84	13.39999962	66
424	0	m	SKO	20.05000019	83.25	12.70000005	53.77500033
425	1	f	NIL	19.15000057	79	13.84999991	20.69999969
426	0	m	HOR	19.57499981	86.75	13.1500001	41.27499974
427	1	f	HOR	19.19999981	85	16.64999962	19.50000012
428	1	f	KOL	NA	80	NA	NA
429	1	f	HOR	19.10000038	82	14.5	21.89999962
430	1	f	HOR	21.80000019	82	16.30000019	15.39999974
431	0	m	EKE	19.39999962	82	13.10000038	34.40000033
432	1	f	SKO	19.5	84	16.60000038	20.09999991
433	0	m	ALU	19.96666717	85.33333333	12.73333359	48.96666718
434	0	m	HOR	19.78333314	84.83333333	12.95000013	54.78333307
435	0	m	EKE	18.35000038	82.5	12.32500005	33.37499988
436	0	m	HAL	18.60000038	82	13.19999981	14.69999981
437	1	f	EKE	20.70000076	84	16.5	10.89999974
438	1	f	EKE	20	78	16	14.20000029
439	1	f	HAL	19.60000038	81.5	14.75	20.5
440	0	m	EKE	19.56666692	81	13.39999994	38.86666656
441	0	m	HAL	17.10000038	82	13.30000019	11.09999979
442	1	f	HAL	18.74285698	79.71428571	14.5	19.78571436
443	0	m	WAT	19.60000038	83	12.60000038	62.10000038
444	1	f	RAP	20.09999975	79.33333333	16.30000051	23.60000038
445	1	f	HAL	19.15000057	80.5	14.7750001	17.75000006
446	0	m	HAL	19.73999977	84.8	12.57999992	58.74000025
447	1	f	HAL	19.43333371	81.66666667	14.79999987	23.93333348
448	0	m	KOL	20.39999962	83.33333333	12.53333346	26.20000013
449	1	f	KOL	20	82	14.5	18.00000048
450	0	m	HOR	20.15000025	80.33333333	12.89999994	38.44999997
451	0	m	KOL	19.54444461	83.77777778	13.08571434	44.79999979
452	1	f	HOR	18.79999924	82	15.19999981	9.999999881
453	1	f	KOL	19	82	14.19999981	5.599999905
454	1	f	HOR	18.89999962	81	14	7.999999881
455	0	m	HOR	19.43999977	85	13.92499995	47.35999985
456	0	m	KOL	19.10000038	82	12	25.20000005
457	1	f	WAT	20.70000076	82	16.5	14.89999986
458	1	f	WAT	20.60000038	81	15.19999981	8.099999904
459	0	m	HOR	19.2	84.75	12.84999995	53.02500036
460	1	f	HAL	19.89999962	77	14	25.70000029
461	0	m	NIL	19.45999985	85.6	13.18000011	55.06000014
462	0	m	KOL	20.20000029	84.75	13.70000005	49.69999993
463	0	m	WAT	19	86	13.30000019	55.40000057
