country,year,ring,age,sex,ltarsus,lwing,tail,brightness.belly,laying.date
RO,2013,R008093,0,1,11.08,127,110,NA,54
RO,2013,R008900,0,1,11,125,98,NA,70
RO,2013,R008501,0,2,10.61,120,85.5,NA,70
RO,2013,R008502,0,1,10.63,128,109,NA,54
RO,2013,R008503,0,1,10.91,123,108,NA,55
RO,2013,X052067,1,1,11.08,130,110,NA,29
RO,2013,R008504,0,2,10.93,123,81.5,NA,84
RO,2013,R008505,0,1,10.8,130,101,NA,84
RO,2013,R008506,0,1,11.09,121,112,NA,37
RO,2013,R008507,0,1,11.29,125,107.5,NA,69
RO,2013,R008508,0,2,11.08,119,83,NA,69
RO,2013,R008478,1,2,10.4,125,92.3,NA,72
RO,2013,R008533,0,1,11.15,128,93.5,NA,65
RO,2013,R008540,0,1,10.47,129,111,NA,64
RO,2013,R008182,0,1,11.32,123,110,NA,67
RO,2013,R008541,0,1,10.81,129,113,NA,67
RO,2013,X054862,0,1,10.78,126,108.5,NA,74
RO,2013,R008562,0,2,10.75,121,81.5,NA,74
RO,2013,R008571,0,1,11.47,129,109,NA,72
RO,2013,R008577,0,2,11.18,127,92,NA,73
RO,2013,R008578,0,2,10,121,89,NA,73
RO,2013,R008598,0,2,10.79,122.5,91,NA,76
RO,2013,R008599,0,1,11.36,127,110,NA,76
RO,2013,R008898,0,1,11.12,125,105.8,NA,92
RO,2013,R008230,0,2,11.51,130,93,NA,92
RO,2013,R008894,0,1,11.39,126,106,NA,80
RO,2013,R008235,0,2,11,126,89,NA,80
RO,2014,R008293,0,2,10.8,127,100,NA,26
RO,2014,R008834,1,2,11.08,121,101.5,NA,26
RO,2014,R008694,1,2,11.11,125,85,NA,29
RO,2014,R008813,1,2,11.17,123,93.3,NA,30
RO,2014,X053021,1,2,11.02,127,94.5,NA,30
RO,2014,R008630,1,2,11.55,125,92.5,NA,29
RO,2014,R008848,1,2,11.06,126,100.5,NA,31
RO,2014,R008034,1,2,11.51,123,96,NA,30
RO,2014,R008294,0,2,10.56,120,103,NA,31
RO,2014,X053033,1,2,11.35,125,92,NA,31
RO,2014,R008466,1,2,11.26,122,83,NA,31
RO,2014,R008334,1,1,10.91,125,112,NA,30
RO,2014,R008662,1,2,11.58,126,95.5,NA,34
RO,2014,R008192,1,2,11.45,125,99,NA,30
RO,2014,R008677,1,2,11.6,124,88.5,NA,32
RO,2014,R008295,0,2,11.03,127,84.5,NA,35
RO,2014,R008091,1,2,10.54,127,102,NA,36
RO,2014,X050525,1,2,11.56,122,83,NA,35
RO,2014,X052220,1,1,10.87,126,105,NA,26
RO,2014,R008300,0,2,11.54,124,100.5,NA,37
RO,2014,X053004,1,2,11.18,126,92.3,NA,38
RO,2014,R008501,1,2,10.72,121,92,NA,38
RO,2014,R008005,1,2,11.48,125,95.5,NA,38
RO,2014,R008845,1,1,10.78,125,115,NA,26
RO,2014,X053032,1,2,11.85,128,94,NA,40
RO,2014,R008414,1,2,11,124,95.3,NA,40
RO,2014,R008868,1,2,11.23,128,86.8,NA,41
RO,2014,R008631,1,2,11.4,125,101,NA,39
RO,2014,R008037,1,2,10.58,122,89.5,NA,39
RO,2014,R008333,1,1,10.69,129,121,NA,29
RO,2014,R008721,0,2,11.44,127,89,NA,40
RO,2014,R008722,0,2,11.03,123,87,NA,42
RO,2014,R008900,1,1,10.84,126,104,NA,30
RO,2014,R008743,0,1,11.4,130,110.5,NA,30
RO,2014,X052263,1,1,10.94,126,111.3,NA,29
RO,2014,R008505,1,1,10.89,131,106,NA,30
RO,2014,X052066,1,1,10.91,121,104,NA,31
RO,2014,X050572,1,2,11.18,123,87,NA,42
RO,2014,X053046,1,2,10.83,121,87,NA,44
RO,2014,R008769,0,2,11.45,121,93.5,NA,43
RO,2014,R008779,0,2,11.02,124.5,95.3,NA,45
RO,2014,X054859,1,1,10.82,123.5,107,NA,31
RO,2014,X052067,1,1,10.8,130,113.5,NA,31
RO,2014,R008469,1,1,11.02,122,104,NA,32
RO,2014,R008312,1,1,10.87,124,111.5,NA,34
RO,2014,R008235,1,2,10.71,126,94.5,NA,46
RO,2014,X052275,1,1,10.83,127,113,NA,35
RO,2014,R008794,0,2,11,119,85,NA,46
RO,2014,R008060,1,2,11.34,123,93,NA,48
RO,2014,R008049,1,2,10.95,123,88,NA,45
RO,2014,R008332,1,1,10.92,121,111,NA,36
RO,2014,X052055,1,1,10.95,123.5,114.5,NA,35
RO,2014,X053031,1,2,10.74,123,103.5,NA,48
RO,2014,R008928,0,2,11.07,125,83,NA,49
RO,2014,R008929,0,2,11.7,128,93,NA,51
RO,2014,R008194,1,1,10.97,121,103.5,NA,37
RO,2014,R008939,0,1,11.23,128,118,NA,38
RO,2014,R008683,1,1,11.28,122,108,NA,38
RO,2014,R008940,0,2,11.74,120,85,NA,52
RO,2014,R008949,0,1,11.57,127,105,NA,40
RO,2014,R008950,0,2,11.16,122,91.5,NA,51
RO,2014,R008951,0,2,10.43,119,79,NA,52
RO,2014,R008649,1,1,11.87,126,109,NA,40
RO,2014,X050539,1,1,11.21,130,108.5,NA,39
RO,2014,R008571,1,1,11.56,128,116,NA,39
RO,2014,R008972,0,2,11.15,124,89,NA,54
RO,2014,X052077,1,1,11.07,127,118,NA,42
RO,2014,R008978,0,1,10.56,128,107,NA,40
RO,2014,X052224,1,1,11.45,130,119,NA,41
RO,2014,R008054,1,1,11.02,124,107,NA,42
RO,2014,R008979,0,2,10.77,125,101.5,NA,55
RO,2014,R008980,0,2,11.1,126,90.5,NA,54
RO,2014,R008990,0,2,10.98,124,89,NA,55
RO,2014,R008991,0,1,11.44,128,109.3,NA,43
RO,2014,R008992,0,1,11.09,122,95,NA,44
RO,2014,R008993,0,2,10.35,125,93,NA,57
RO,2014,X052702,0,1,11.21,125,103,NA,45
RO,2014,X052708,0,2,11.62,120,84,NA,56
RO,2014,R008894,1,1,11.35,126,111,NA,46
RO,2014,X052712,0,1,10.92,125,105,NA,46
RO,2014,R008503,1,1,10.89,123,115.5,NA,45
RO,2014,X052749,0,1,10.46,125,101.5,NA,48
RO,2014,X052750,0,1,10.94,127,97,NA,68
RO,2014,X052751,0,2,10.99,126,87.5,NA,68
RO,2014,R008348,1,1,10.76,127,107.5,NA,49
RO,2014,R008502,1,1,10.88,128,114,NA,31
RO,2014,X052757,0,2,11.33,123,85.5,NA,31
RO,2014,X053024,0,1,11.59,126,97,NA,51
RO,2014,X052758,0,2,10.38,125,92,NA,62
RO,2014,X052759,0,2,11.35,126,92.5,NA,36
RO,2014,R008873,1,1,10.82,121,114.5,NA,51
RO,2014,X052765,0,2,11.4,125.5,81.5,NA,63
RO,2014,X052766,0,2,11.19,121,93.5,NA,64
RO,2014,X052778,0,1,11.01,123,93.8,NA,55
RO,2014,R008663,1,1,10.9,123,123.8,NA,54
RO,2014,X052783,0,2,10.69,125,92.5,NA,67
RO,2014,X052784,0,1,10.71,129,101,NA,55
RO,2014,R008061,1,1,11.4,124,104.5,NA,57
RO,2014,X052804,0,2,10.56,122,87,NA,70
RO,2014,X053055,0,1,11.08,125.5,106,NA,56
RO,2014,X053034,0,1,10.33,120,98.5,NA,69
RO,2014,X052805,0,2,11.19,123,86.3,NA,69
RO,2014,R008603,1,1,11.15,122,98,NA,31
RO,2014,R008507,1,1,11.65,125,112,NA,36
RO,2014,X052824,0,1,11.28,127,101,NA,62
RO,2014,X053037,0,1,10.98,124.5,108,NA,63
RO,2014,X052835,0,1,10.56,123,88.5,NA,64
RO,2014,X052836,0,1,10.96,127,105,NA,73
RO,2014,X052837,0,2,12.15,123,90,NA,73
RO,2014,X052853,0,1,10.66,124,85,NA,67
RO,2014,X052863,0,1,10.82,121,100.5,NA,70
RO,2014,X052901,0,2,11.85,125,96.5,NA,81
RO,2015,R008505,1,1,10.78,130,105,NA,36
RO,2015,X052969,0,2,11.58,122,93,NA,32
RO,2015,X052784,1,1,10.82,130,105,NA,33
RO,2015,R008034,1,2,11.51,123,97.5,NA,36
RO,2015,R008694,1,2,11.02,128,87,NA,33
RO,2015,X052970,0,1,10.71,125,100,NA,68
RO,2015,R008192,1,2,11.39,126,97,NA,35
RO,2015,R008334,1,1,10.94,125.5,114,NA,35
RO,2015,X052975,0,1,11.12,127,126.3,NA,33
RO,2015,X053004,1,2,11.22,125,91.5,NA,33
RO,2015,X052275,1,1,10.66,127,120,NA,32
RO,2015,X052835,1,1,10.55,121,96,NA,38
RO,2015,R008940,1,2,11.45,125,91.8,NA,38
RO,2015,X052901,1,2,11.8,125,98,NA,38
RO,2015,R008630,1,2,11.57,124,93,NA,37
RO,2015,R008929,1,2,11.77,128,96,NA,38
RO,2015,X052517,0,1,10.78,127,117,NA,38
RO,2015,R008848,1,2,11,125,103,NA,37
RO,2015,X052788,0,1,10.79,122,99.5,NA,39
RO,2015,R008005,1,2,11.5,125,99.5,NA,39
RO,2015,R008007,1,1,11.34,126,109.5,NA,39
RO,2015,R008868,1,2,11.14,121,87,NA,39
RO,2015,R008501,1,2,10.75,121,93,NA,38
RO,2015,R008900,1,1,11.03,125,105.5,NA,38
RO,2015,X053095,1,1,10.82,130,103,NA,39
RO,2015,X053037,1,1,10.66,125,103,NA,38
RO,2015,R008414,1,1,11.16,122,96,NA,38
RO,2015,X053024,1,1,11.66,125,103,NA,38
RO,2015,R008507,1,1,11.6,124,115,NA,39
RO,2015,R008722,1,2,11.07,122,90,NA,39
RO,2015,X052542,0,1,10.73,126,110.5,NA,41
RO,2015,R008662,1,2,11.64,125,94.5,NA,39
RO,2015,R008743,1,1,11.09,130,113,NA,37
RO,2015,R008978,1,1,10.54,127.5,109,NA,38
RO,2015,R008646,1,2,11.21,127,94.5,NA,38
RO,2015,R008991,1,1,11.23,129,113.5,NA,41
RO,2015,X052548,0,2,10.43,122,88.5,NA,41
RO,2015,X052066,1,1,10.82,121,110,NA,37
RO,2015,X052554,0,1,11.05,127,107,NA,42
RO,2015,R008980,1,2,10.91,125.5,92.3,NA,42
RO,2015,X052758,1,2,10.09,125,95.5,NA,41
RO,2015,X052263,1,1,11,126,97,NA,44
RO,2015,X052558,0,2,11.05,126,86.5,NA,44
RO,2015,R008061,1,1,11.37,125.5,106,NA,43
RO,2015,X052765,1,2,11.53,125,84.5,NA,43
RO,2015,X052568,0,2,11.5,122,83.5,NA,44
RO,2015,X052569,0,2,10.88,126,90.8,NA,44
RO,2015,R008939,1,1,10.99,130,124,NA,44
RO,2015,R008570,1,1,10.67,124,109,NA,44
RO,2015,X052579,0,2,11.07,120,88,NA,45
RO,2015,X052220,1,1,10.96,124,103.5,NA,45
RO,2015,X052750,1,1,10.98,128,102,NA,45
RO,2015,X052584,0,2,10.28,120,85.5,NA,45
RO,2015,X052590,0,1,11.14,125,109,NA,45
RO,2015,X052591,0,2,11.15,122,89,NA,45
RO,2015,x052597,0,2,10.93,126,87.5,NA,45
RO,2015,X052598,0,1,11.44,126,110.5,NA,45
RO,2015,R008928,1,2,11.09,124,87,NA,45
RO,2015,X053103,0,1,10.78,125,103,NA,45
RO,2015,X053109,0,1,10.64,127,114.5,NA,47
RO,2015,X053110,0,2,10.79,122,87,NA,47
RO,2015,X053115,0,2,11.4,121,78.5,NA,47
RO,2015,R008284,1,1,10.98,125,101,NA,47
RO,2015,X053132,0,2,11.27,120,81.5,NA,50
RO,2015,R008948,0,1,11.34,124,103,NA,50
RO,2015,X052783,1,2,10.61,124,99,NA,49
RO,2015,X052853,1,1,10.36,125,89.5,NA,49
RO,2015,R008503,1,1,10.99,123,118.5,NA,50
RO,2015,X053143,0,2,11.23,122,77,NA,50
RO,2015,X053149,0,2,10.24,124,82,NA,52
RO,2015,R008741,0,1,11.28,125,106.5,NA,52
RO,2015,X053154,0,1,10.68,127,114,NA,54
RO,2015,X053155,0,2,11.38,121,91.5,NA,54
RO,2015,X053160,0,2,11.23,119,90,NA,52
RO,2015,X053161,0,2,11.37,125,84,NA,55
RO,2015,X053168,0,2,10.52,120.5,84,NA,57
RO,2015,X053169,0,1,11.25,120,94,NA,57
RO,2015,X053173,0,2,10.37,125,95.5,NA,56
RO,2015,X053178,0,1,11.12,124,112.5,NA,56
RO,2015,X053179,0,2,11.18,122,89,NA,66
RO,2015,X053180,0,1,10.9,125,116,NA,66
RO,2015,X050539,1,1,11.25,128,110.3,NA,64
RO,2015,X053185,0,2,10.86,118,86,NA,64
RO,2015,X053186,0,1,10.72,118,86,NA,65
RO,2015,R008060,1,2,11.51,121,97.5,NA,65
RO,2015,X053196,0,2,10.55,123,86,NA,66
RO,2015,X052823,1,1,10.18,124,120,NA,66
RO,2015,X053201,0,2,10.82,118,82.5,NA,66
RO,2015,R008966,0,1,10.45,128,101.5,NA,66
RO,2015,X053206,0,2,11.03,121,85,NA,64
RO,2015,R008789,0,1,10.58,124,112,NA,64
RO,2015,X053212,0,2,11.31,121,86.5,NA,70
RO,2015,X053213,0,1,11.07,122,101,NA,70
RO,2015,X053218,0,2,10.97,119,81.5,NA,68
RO,2015,X053224,0,2,11.16,123,88.5,NA,74
RO,2015,R008993,1,2,10.28,125,97,NA,73
RO,2015,X053225,0,1,10.61,130,108.5,NA,73
RO,2015,X052863,1,1,10.68,121,110.5,NA,74
RO,2015,X053239,0,1,11.44,126,107,NA,82
RO,2015,X053240,0,2,11.65,121,87,NA,82
RO,2015,X052956,0,1,10.84,127,107.5,NA,84
RO,2015,X053246,0,2,11.11,128,88,NA,80
RO,2015,X053247,0,1,10.75,122,105,NA,80
RO,2015,X053248,0,1,11.23,125,102,NA,81
RO,2015,X053249,0,2,11.22,126,90,NA,81
RO,2015,X053250,0,2,11.16,120,87,NA,84
RO,2016,X053278,0,1,10.58,126,112,NA,32
RO,2016,X052969,1,2,11.62,124,97,NA,32
RO,2016,X052584,1,2,10.59,120,87.5,NA,32
RO,2016,R008507,1,1,11.64,127,117.5,NA,62
RO,2016,X053185,1,2,11.26,122,95.5,NA,32
RO,2016,X050539,1,1,11.35,130,101,NA,32
RO,2016,R008929,1,2,11.74,129,96,NA,62
RO,2016,X052978,0,1,10.76,121,102,NA,34
RO,2016,X052558,1,2,11.15,126,87,NA,34
RO,2016,X052597,1,2,11.1,127,88.5,NA,31
RO,2016,X052554,1,1,10.79,127,115,NA,31
RO,2016,X053154,1,1,10.75,129,117,NA,35
RO,2016,X053155,1,2,11.53,123,94,NA,35
RO,2016,X052275,1,1,10.53,127,120.5,NA,32
RO,2016,X053327,0,1,11.43,130,116,NA,34
RO,2016,R008694,1,2,11.3,127,88,NA,34
RO,2016,X053328,0,1,10.59,126,119.5,NA,34
RO,2016,X053161,1,2,11.29,126,86,NA,34
RO,2016,X053329,0,1,11.81,123,101,NA,34
RO,2016,R008848,1,2,10.88,126,102.5,NA,34
RO,2016,X052837,1,2,12.32,126,92,NA,67
RO,2016,X052970,1,1,10.78,126,103,NA,67
RO,2016,X052863,1,1,10.87,121,111,NA,37
RO,2016,X053179,1,2,10.97,122,90.5,NA,38
RO,2016,R008060,1,2,11.55,124,98,NA,37
RO,2016,X053353,0,2,10.85,124,92,NA,40
RO,2016,X053354,0,1,11.48,131,121.5,NA,40
RO,2016,X053361,0,2,11.08,121.5,83.8,NA,39
RO,2016,R008978,1,1,10.73,130,109,NA,39
