BANDNO,NESTNO,YEAR,SEX,PATERNITY,TARSUS,HEMATOCRIT,PHA,MASS
234022274,68,2004,MALE,WITHIN,18.6,.,0.040,10.5
234022282,69,2004,MALE,WITHIN,18.2,.,0.910,9.9
234022283,69,2004,FEMALE,WITHIN,18.1,.,0.473,10.4
234022284,69,2004,MALE,WITHIN,18.1,.,0.517,10.6
234022285,69,2004,FEMALE,WITHIN,18.9,.,0.577,10.5
234022286,69,2004,MALE,WITHIN,18.5,.,1.377,11.0
237035093,70,2004,FEMALE,.,19.4,40,0.720,10.4
237035094,70,2004,FEMALE,.,18.6,42,0.963,10.2
237035095,70,2004,MALE,.,19.8,38,0.903,11.3
237034099,71,2004,FEMALE,EXTRA,18.1,41,0.827,9.4
237034100,71,2004,FEMALE,EXTRA,18.9,42,0.740,9.9
237035509,72,2004,FEMALE,WITHIN,18.8,40,0.763,9.6
237035510,72,2004,FEMALE,WITHIN,18.0,33,0.657,8.5
237035511,72,2004,MALE,EXTRA,18.2,39,0.620,9.1
237035512,72,2004,FEMALE,WITHIN,18.5,32,0.817,9.2
237034873,73,2004,MALE,EXTRA,18.2,45,0.423,9.8
237034874,73,2004,FEMALE,WITHIN,17.4,47,0.583,10.0
237034875,73,2004,FEMALE,WITHIN,17.7,42,0.687,10.1
237034876,73,2004,MALE,WITHIN,18.3,49,0.833,10.5
237034933,74,2004,MALE,WITHIN,18.1,48,1.007,9.7
237034934,74,2004,MALE,EXTRA,18.8,53,0.427,9.8
237034935,74,2004,MALE,WITHIN,17.7,42,0.770,9.8
237034266,75,2004,FEMALE,WITHIN,.,.,1.560,9.7
237034267,75,2004,MALE,WITHIN,.,.,1.177,10.3
237034268,75,2004,MALE,WITHIN,.,.,1.147,9.8
237034269,75,2004,FEMALE,WITHIN,.,.,2.543,10.3
237034270,75,2004,MALE,WITHIN,.,.,1.467,9.3
237034271,75,2004,FEMALE,WITHIN,.,.,0.950,10.4
237034272,75,2004,FEMALE,WITHIN,.,.,0.737,9.4
237034492,76,2004,FEMALE,WITHIN,.,.,0.547,11.2
237034493,76,2004,FEMALE,WITHIN,.,.,0.663,10.9
237034494,76,2004,MALE,WITHIN,.,.,0.867,11.2
237034495,76,2004,MALE,WITHIN,.,.,0.790,10.8
237034496,76,2004,MALE,WITHIN,.,.,0.900,10.9
237034754,77,2004,FEMALE,WITHIN,19.4,.,0.767,10.2
237034755,77,2004,FEMALE,WITHIN,18.6,.,0.870,11.2
237034756,77,2004,MALE,WITHIN,19.0,.,0.340,10.8
237034757,77,2004,MALE,WITHIN,19.0,.,0.797,10.3
237034758,77,2004,FEMALE,WITHIN,18.4,.,0.610,10.3
237035401,78,2004,FEMALE,EXTRA,19.1,48,0.420,10.2
237035402,78,2004,FEMALE,WITHIN,19.1,48,0.577,9.7
237035403,78,2004,FEMALE,WITHIN,19.1,43,0.407,9.1
237035404,78,2004,FEMALE,WITHIN,19.0,42,0.767,10.5
237035405,78,2004,FEMALE,WITHIN,18.1,42,1.140,9.9
237035406,78,2004,FEMALE,WITHIN,18.2,43,1.020,9.4
237034448,79,2004,MALE,WITHIN,18.1,.,1.020,10.9
237034449,79,2004,FEMALE,WITHIN,15.7,.,0.430,8.0
237034450,79,2004,MALE,WITHIN,18.8,.,0.290,10.7
237034451,79,2004,FEMALE,WITHIN,18.0,.,1.257,11.2
237034563,80,2004,FEMALE,WITHIN,18.7,36,1.623,10.3
237034564,80,2004,MALE,WITHIN,19.4,37,1.167,10.0
237034565,80,2004,FEMALE,WITHIN,18.9,35,1.257,10.2
237034566,80,2004,MALE,WITHIN,17.5,41,1.083,8.7
237034567,80,2004,MALE,WITHIN,19.9,39,1.170,10.9
237034568,80,2004,FEMALE,WITHIN,18.0,48,0.863,9.4
237035430,81,2004,FEMALE,WITHIN,.,38,0.637,8.7
237035431,81,2004,MALE,WITHIN,.,41,0.527,7.8
237035432,81,2004,MALE,WITHIN,.,36,0.657,8.8
234022275,82,2004,MALE,EXTRA,.,.,0.270,9.7
234022276,82,2004,MALE,WITHIN,.,.,0.523,9.8
