NEST,CS,E1D,BD0,NY4,NY11,BANDNUM,RECRUIT,MASS11,TARSUS11,HCT11,BLEED_TIME,BLEED_TIME2,SAMPLE_TIME_SEC,PLASMA_VOL_uL,PLASMA_CORT_ngml,LOG_CORT_NGML,CHANGE_IN_CORT_ngml,LOG_CHANGE_ngml,EIA_PLATE,NFATE,TDAY,FEM_TREAT,MWS_INITIATED,MW_DAYS,SWAP_NEST,NESTLING_TREAT,BIOL_MOTHER,BIOL_MOTHER_MASS,BIOL_MOTHER_TARSUS,FBAND,FEM_MASS_DAY,FEM_MASS_HR,FEM_MASS,FEM_TARSUS,NOTES
R 24-1,8,132,153,7,7,197036573,0,10.1,19.7,37,0,1,85,13,0.322018666,0.121237587,0,1,5,success,167,CON,129,3,T 15-1,NAT,266056759,12.6,19.4,270046645,146,9,12.1,19.6,.
YG 4-1,7,138,156,6,6,197035891,1,10.4,18.6,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,1,YE 5-1,NAT,197035847,12,19.8,197035848,149,9,13.2,19.6,.
YG 4-1,7,138,156,6,6,197035895,0,9.9,18.1,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,1,YE 5-1,NAT,197035847,12,19.8,197035848,149,9,13.2,19.6,.
YG 4-1,7,138,156,6,6,197035894,0,9.9,18.7,46,30,3,.,7,6.330404609,0.865127947,5.398332382,1.18747369,1,success,171,EXP,137,1,YE 5-1,NAT,197035847,12,19.8,197035848,149,9,13.2,19.6,.
YG 4-1,7,138,156,6,6,197035893,0,10.1,18.1,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,1,YE 5-1,NAT,197035847,12,19.8,197035848,149,9,13.2,19.6,.
YG 4-1,7,138,156,6,6,197035892,0,10.6,18.7,55,15,2,.,13,8.532092172,0.979188233,8.532092172,1.267924452,1,success,171,EXP,137,1,YE 5-1,NAT,197035847,12,19.8,197035848,149,9,13.2,19.6,.
YG 4-1,7,138,156,6,6,197035890,0,10.2,18.9,48,0,1,180,8,0.932072228,0.286023358,0,1,1,success,171,EXP,137,1,YE 5-1,NAT,197035847,12,19.8,197035848,149,9,13.2,19.6,.
YG 4-1,7,138,156,6,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,1,YE 5-1,NAT,197035847,12,19.8,197035848,149,9,13.2,19.6,.
V  5-1,7,147,162,7,7,197036988,1,9.9,18.1,.,.,.,.,.,.,.,.,.,.,success,178,EXP,144,3,W  6-1,NAT,197035856,12,18.9,197035755,159,8,12.5,18.3,.
V  5-1,7,147,162,7,7,197036989,0,10.3,18.3,37,30,3,.,14,12.56534617,1.132430881,11.28226319,1.32801781,2,success,178,EXP,144,3,W  6-1,NAT,197035856,12,18.9,197035755,159,8,12.5,18.3,.
V  5-1,7,147,162,7,7,197036987,0,10.3,18.7,.,.,.,.,.,.,.,.,.,.,success,178,EXP,144,3,W  6-1,NAT,197035856,12,18.9,197035755,159,8,12.5,18.3,.
V  5-1,7,147,162,7,7,197036986,0,10.1,18.1,49,15,2,.,16,14.05798114,1.177766749,14.05798114,1.38125918,2,success,178,EXP,144,3,W  6-1,NAT,197035856,12,18.9,197035755,159,8,12.5,18.3,.
V  5-1,7,147,162,7,7,197036985,0,8.9,16.9,.,.,.,.,.,.,.,.,.,.,success,178,EXP,144,3,W  6-1,NAT,197035856,12,18.9,197035755,159,8,12.5,18.3,.
V  5-1,7,147,162,7,7,197036984,0,10.2,18,.,.,.,.,.,.,.,.,.,.,success,178,EXP,144,3,W  6-1,NAT,197035856,12,18.9,197035755,159,8,12.5,18.3,.
V  5-1,7,147,162,7,7,197036983,0,9.9,18.5,47.3,0,1,180,6,1.283082971,0.358521695,0,1,2,success,178,EXP,144,3,W  6-1,NAT,197035856,12,18.9,197035755,159,8,12.5,18.3,.
U 19-1,6,133,154,7,7,197036709,1,10.3,18.6,.,.,.,.,.,.,.,.,.,.,success,171,EXP,129,4,U 17-1,NAT,270047004,11.4,18.7,197036112,148,10,12.7,19,.
U 19-1,6,133,154,7,7,197036708,1,10.1,18.9,45,0,1,150,9,9.450693856,1.019145126,0,1,6,success,171,EXP,129,4,U 17-1,NAT,270047004,11.4,18.7,197036112,148,10,12.7,19,.
U 19-1,6,133,154,7,7,197036714,0,9.5,17.7,.,30,3,.,.,.,.,.,.,4,success,171,EXP,129,4,U 17-1,NAT,270047004,11.4,18.7,197036112,148,10,12.7,19,.
U 19-1,6,133,154,7,7,197036713,0,10.7,18.8,44,15,2,.,4,25.71440323,1.426745477,25.71440323,1.552843398,6,success,171,EXP,129,4,U 17-1,NAT,270047004,11.4,18.7,197036112,148,10,12.7,19,.
U 19-1,6,133,154,7,7,197036712,0,10.2,18.5,.,.,.,.,.,.,.,.,.,.,success,171,EXP,129,4,U 17-1,NAT,270047004,11.4,18.7,197036112,148,10,12.7,19,.
U 19-1,6,133,154,7,7,197036711,0,9.6,18.6,.,.,.,.,.,.,.,.,.,.,success,171,EXP,129,4,U 17-1,NAT,270047004,11.4,18.7,197036112,148,10,12.7,19,.
U 19-1,6,133,154,7,7,197036710,0,10.1,18.6,.,.,.,.,.,.,.,.,.,.,success,171,EXP,129,4,U 17-1,NAT,270047004,11.4,18.7,197036112,148,10,12.7,19,.
U 18-1,8,136,155,6,6,197036584,0,10.2,18.3,.,.,.,.,.,.,.,.,.,.,success,169,EXP,133,3,Y  2-1,NAT,275085693,11.6,18.3,197036111,148,10,12.8,18.9,.
U 18-1,8,136,155,6,6,197036583,0,9.6,17.2,46,15,2,.,11,8.875303911,0.99455047,8.875303911,1.275893953,1,success,169,EXP,133,3,Y  2-1,NAT,275085693,11.6,18.3,197036111,148,10,12.8,18.9,.
U 18-1,8,136,155,6,6,197036582,0,9.5,18.2,.,.,.,.,.,.,.,.,.,.,success,169,EXP,133,3,Y  2-1,NAT,275085693,11.6,18.3,197036111,148,10,12.8,18.9,.
U 18-1,8,136,155,6,6,197036581,0,9.3,18.3,.,.,.,.,.,.,.,.,.,.,success,169,EXP,133,3,Y  2-1,NAT,275085693,11.6,18.3,197036111,148,10,12.8,18.9,.
U 18-1,8,136,155,6,6,197036580,0,9.3,18.2,38,30,3,.,31,5.033576602,0.780574831,4.317438325,1.155865321,1,success,169,EXP,133,3,Y  2-1,NAT,275085693,11.6,18.3,197036111,148,10,12.8,18.9,.
U 18-1,8,136,155,6,6,197036579,0,9.8,18.1,36,0,1,70,32,0.716138277,0.234552278,0,1,1,success,169,EXP,133,3,Y  2-1,NAT,275085693,11.6,18.3,197036111,148,10,12.8,18.9,.
T 21-1,8,140,158,5,5,197036949,0,9.6,18.3,.,.,.,.,.,.,.,.,.,.,success,171,EXP,137,3,Q 32-1,NAT,197036116,13,18.4,270046919,152,11,13,18.9,.
