NestBox,FemaleNumber,YoungOrigin,MWStartDate,MWEndDate,MaternalEffect,E1D,BD0,BD2Mass,BD4Mass,BD4YgN,BD11Mass,BD11Tarsus,BD11Wing,NestlingNumber,RECRUIT,MaternalID,MadeToFledging,TimeInNest
L2-1,275085795,EXP,176,186,CON,180,199,2.5,4.4,6,10.6,18.7,34.5,197037382,0,197035917,214,15
L2-1,275085795,EXP,176,186,CON,180,199,2.4,4.8,6,10.2,19,36,197037381,0,197035917,214,15
L2-1,275085795,CON,179,186,CON,180,199,2.3,3.9,6,9.2,18.6,33.5,197037384,0,275085795,214,15
L2-1,275085795,CON,179,186,CON,180,199,2.5,4.5,6,9.3,18.5,35,197037380,0,275085795,214,15
L2-1,275085795,CON,179,186,CON,180,199,1.9,3.7,6,8.9,17.9,30,197037383,0,275085795,214,15
E15-1,197036900,EXP,179,187,EXP,182,200,1.9,3.9,6,9.5,18.1,30,197037245,0,197036900,215,15
E15-1,197036900,EXP,179,187,EXP,182,200,1.9,3.9,6,9.3,19.4,30.5,197037243,0,197036900,215,15
E15-1,197036900,EXP,179,187,EXP,182,200,2,4.1,6,10,18.5,30,197037246,0,197036900,215,15
E15-1,197036900,CON,179,187,EXP,182,199,2.2,4.5,6,10.1,19.1,31,197037242,0,270045359,215,16
E15-1,197036900,CON,179,187,EXP,182,199,2.1,4.6,6,10.3,19.2,32.5,197037244,0,270045359,215,16
E15-1,197036900,CON,179,187,EXP,182,199,2.1,4.3,6,9.8,19.5,31.5,197037247,0,270045359,215,16
A7-1,270045359,EXP,179,187,CON,182,200,1.5,3.4,6,9.9,18.7,30,197037237,0,197036900,213,13
A7-1,270045359,EXP,179,187,CON,182,200,1.8,3.7,6,9.8,18.2,31,197037235,0,197036900,213,13
A7-1,270045359,EXP,179,187,CON,182,200,1.7,4,6,9.5,18.6,29.5,197037236,0,197036900,213,13
A7-1,270045359,CON,179,187,CON,182,199,1.4,3.2,6,9.9,18.8,28.5,197037238,0,270045359,213,14
A7-1,270045359,CON,179,187,CON,182,199,1.9,4.3,6,10.5,18.7,32,197037234,0,270045359,213,14
A7-1,270045359,CON,179,187,CON,182,199,1.7,3.7,6,9.9,19.3,30.5,197037233,0,270045359,213,14
S9-2,270046728,EXP,180,187,EXP,181,200,1.5,2.8,5,9.6,18.3,28,197037670,1,270046728,216,16
S9-2,270046728,EXP,180,187,EXP,181,200,1.5,2.9,5,9,18.6,29.5,197037671,0,270046728,216,16
S9-2,270046728,CON,181,188,EXP,183,200,1.9,3.8,5,9.9,18.9,29.5,197037669,0,197035904,216,16
S9-2,270046728,CON,181,188,EXP,183,200,5.6,2.4,5,10.6,18.9,30,197037668,0,197035904,216,16
S9-2,270046728,CON,181,188,EXP,183,200,2.2,4.6,5,10.6,19,32.5,197037667,0,197035904,216,16
H23-1,197035904,EXP,180,187,CON,181,200,2.4,4.9,5,10.2,17.9,33,197037484,0,270046728,214,14
H23-1,197035904,EXP,180,187,CON,181,200,2.5,5.2,5,10,18.7,34,197037485,0,270046728,214,14
H23-1,197035904,EXP,180,187,CON,181,200,2.2,4.8,5,10.2,18.3,34,197037483,0,270046728,214,14
H23-1,197035904,CON,181,188,CON,183,200,2,.,5,.,.,.,.,.,197035904,.,.
H23-1,197035904,CON,181,188,CON,183,200,2.2,4.5,5,11.5,19.1,31,197037482,0,197035904,214,14
H23-1,197035904,CON,.,.,CON,183,200,2,3.9,5,9.9,17.7,29.5,197037481,0,197035906,214,14
N1-1,197035925,EXP,183,190,EXP,185,203,1.5,2.5,5,.,.,.,.,.,197035925,.,.
N1-1,197035925,EXP,183,190,EXP,185,203,2.2,4.2,5,.,.,.,.,.,197035925,.,.
N1-1,197035925,EXP,183,190,EXP,185,203,1.9,3.7,5,.,.,.,.,.,197035925,.,.
N1-1,197035925,CON,186,190,EXP,186,203,2.6,4.4,5,.,.,.,.,.,197035898,.,.
N1-1,197035925,CON,186,190,EXP,186,203,3,5.3,5,.,.,.,.,.,197035898,.,.
M9-1,197035898,EXP,183,190,CON,185,202,2.7,4.2,5,9,18,35,197037394,0,197035925,217,15
M9-1,197035898,EXP,183,190,CON,185,202,2.5,4.7,5,9.1,18.9,35,197037395,0,197035925,217,15
M9-1,197035898,CON,186,190,CON,186,202,3.7,6.2,5,10.5,19.6,38,197037396,0,197035898,217,15
M9-1,197035898,CON,186,190,CON,186,202,3.4,6,5,11.4,19.8,37.5,197037392,0,197035898,217,15
M9-1,197035898,CON,186,190,CON,186,202,3.5,6.1,5,10.5,19,36.5,197037393,0,197035898,217,15
U5-1,197035902,EXP,182,191,EXP,186,204,1.7,3.4,3,10.2,18.6,29.5,275085999,0,197035902,221,17
U5-1,197035902,EXP,182,191,EXP,186,204,.,.,3,.,.,.,.,.,197035902,.,.
U5-1,197035902,EXP,182,191,EXP,186,204,.,.,3,.,.,.,.,.,197035902,.,.
U5-1,197035902,CON,186,192,EXP,188,204,1.9,3.6,3,9.3,18,28,275085998,0,197036616,221,17
