habitat,fledg,sex,date,hour,age,wing,mass,TD,obs,tail,id
urb,3,1,08/05/15,09:05,2,78,17.1,19.98,SP,68,2340
urb,5,1,12/05/16,11:08,2,77,17,20.35,SP,69,2340
urb,3,1,22/04/14,10:55,2,77,16.6,20.12,AC,64,2361
urb,4,1,24/04/15,11:10,2,77.5,16.1,19.9,SP,65,2361
urb,3,2,22/04/14,11:06,2,72,15.9,19.05,AC,61,2374
urb,7,1,06/05/16,12:14,1,76,17,19.96,AG,65.5,2381
urb,5,2,17/05/16,10:27,1,69,15,18.67,AG,59,2385
urb,0,1,04/05/16,08:40,2,78,18.2,20.28,VD,68,2387
rur,9,1,20/05/13,09:20,2,,18.5,20.38,AC,,2396
rur,9,1,09/07/13,11:01,2,78,18.5,20.1,AG,70,2396
rur,7,1,13/05/15,11:50,2,79,17.9,20.35,SP,72,2396
rur,9,2,20/05/13,09:30,2,74,17.1,19.76,AC,61.5,2411
urb,4,1,07/05/14,08:45,2,75,17.2,20.66,AC,63,2414
urb,6,2,28/04/14,13:35,2,72,14,18.85,AC,62,2420
urb,8,2,14/05/15,08:40,2,73.5,14,18.96,SP,62,2420
urb,4,2,04/05/16,12:00,2,70,14.2,18.85,SP,60,2420
urb,4,2,08/05/14,09:15,1,72,14.4,19.4,AC,58,2435
urb,9,2,14/05/15,08:30,2,71,14.6,19.4,SP,60.5,2435
urb,3,2,05/05/16,14:05,2,71,15.9,19.48,VD,60,2435
urb,7,2,24/04/14,09:15,2,72.5,16,20.12,AC,61,2449
urb,0,2,08/05/15,11:45,2,72,16.1,20,SP,59,2449
urb,7,2,15/05/14,11:28,1,73.5,16.5,20,SC,56,2456
urb,5,1,07/05/14,12:12,1,77,18.9,21.16,AC,65,2459
urb,4,1,07/05/15,16:15,2,80,19.5,21.13,AC,67,2459
urb,4,1,03/05/16,09:30,2,78,19.2,21.1,SP,75,2459
urb,3,2,17/04/14,09:58,2,74,16.5,19.4,AC,62.5,2477
urb,7,2,21/04/14,11:00,2,73.5,16.2,19.48,VD,66,2485
urb,7,1,21/04/14,11:34,2,73.5,17,20.15,VD,61,2494
urb,8,2,18/05/15,09:15,1,72,15,19.19,SP,59.5,2495
urb,6,2,22/04/14,09:47,1,72.5,17.1,20.09,AC,59,2504
