BirdID,BloodID,LayYear,Ageclass,MumHz,MumHomo,DadHz,DadHomo,ParentsHz,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,SpaceTQ
5265,3662,2008,FL,1.0408,0.9592,0.6245,1.3755,1.6653,16/08/2008,0,87,4576,OFL,13.9,19/03/2010,112,1.072762579,0.6939,1.3061,2008,8,2010,0,3,2,2,1,Yes,2,Females,24.2,2195.34,7.694092211,Low food availability,11.5,20145.88
1231,2704,1997,SA,1.1796,0.8204,1.3184,0.6816,2.498,18/08/1998,0,25,2387,SEEN2,15.5,29/01/1999,31,1.075793776,1.0408,0.9592,1998,8,1999,1,9,1,1,1,Yes,2,Females,23.8,5158.1,8.548323574,High food availability,20,5158.1
1231,2704,1997,SA,1.1796,0.8204,1.3184,0.6816,2.498,18/08/1998,0,25,2393,U,15.5,29/01/1999,98,1.075793776,1.0408,0.9592,1998,8,1999,1,9,1,1,1,Yes,2,Females,23.8,743.55,6.611436013,High food availability,20,15141.885
1163,2415,1996,SA,1.1102,0.8898,0.8327,1.1673,1.9429,05/07/1997,1,22,15,SEEN2,16.1,28/08/1997,1,1.092580518,1.249,0.751,1997,7,1997,1,9,0,0,0,No,1,Males,26.6,21371.3,9.969804179,High food availability,21,15983.72
1512,897,1999,SA,0.9714,1.0286,0.8327,1.1673,1.8041,04/08/2000,1,39,3088,ABX,16.5,21/02/2008,88,1.115734444,1.1102,0.8898,2000,8,2008,1,9,8,4+,1,Yes,9,Males,26.1,20136.96,9.910312211,,,11335.47
5147,3983,2007,SA,1.0408,0.9592,0.5551,1.4449,1.5959,18/07/2008,0,87,4518,ABX,14.2,10/09/2010,32,1.126365501,1.1796,0.8204,2008,7,2010,1,9,2,2,1,Yes,3,Females,24.5,11313.41,9.333744027,Low food availability,11.5,13640.68
1541,839,1999,FL,1.4572,0.5428,0.902,1.098,2.3592,22/11/1999,0,29,2566,FL,12.1,11/12/2005,55,1.132986637,1.0408,0.9592,1999,11,2005,0,3,6,4+,1,Yes,6,Females,24.5,62317.88,11.04000366,High food availability,15,12446.96
1030,2484,1996,SA,1.4572,0.5428,1.0408,0.9592,2.498,21/08/1997,1,22,47,H,16.6,28/08/1997,55,1.153497175,1.249,0.751,1997,8,1997,1,9,0,0,0,No,1,Males,25.2,94270.67,11.45392539,High food availability,21,12446.96
1047,2524,1996,SA,1.0408,0.9592,0.8327,1.1673,1.8735,11/07/1997,1,22,65,ABX,15.5,26/09/1999,81,1.159186621,1.0408,0.9592,1997,7,1999,1,9,2,2,1,Yes,3,Males,24.3,119205.54,11.68860451,High food availability,21,14279.07
4871,3224,2006,FL,1.0408,0.9592,1.4572,0.5428,2.498,30/08/2006,0,75,3814,OFL,14.5,10/09/2010,72,1.163506017,1.1796,0.8204,2006,8,2010,0,3,4,4+,1,Yes,4,Females,24.5,10498,9.258940042,Low food availability,13,18354.98
1555,850,1999,FL,0.7633,1.2367,0.902,1.098,1.6653,02/12/1999,0,29,2561,OFL,12.7,26/07/2001,42,1.173483639,0.902,1.098,1999,12,2001,0,3,2,2,1,Yes,2,Females,24,22754.15,10.03250283,High food availability,15,22051.43
1543,849,1999,SA,0.7633,1.2367,0.902,1.098,1.6653,02/12/1999,1,29,2561,U,14.9,18/09/2009,42,1.180663794,0.7633,1.2367,1999,12,2009,0,9,10,4+,1,Yes,10,Males,25.3,22754.15,10.03250283,High food availability,15,22051.43
4805,3133,2006,SA,1.0408,0.9592,0.7633,1.2367,1.8041,03/08/2006,1,75,3790,AB,16.3,03/03/2009,42,1.251800071,1.1102,0.8898,2006,8,2009,0,9,3,3,1,Yes,3,Males,26,23116.2,10.04828895,Low food availability,13,22051.43
3594,3092,2005,SA,0.9714,1.0286,1.0408,0.9592,2.0122,02/07/2006,0,75,3764,H,16,04/10/2014,5,1.268566561,0.9714,1.0286,2006,7,2014,1,9,8,4+,1,Yes,9,Females,26.4,39476.31,10.58345602,Low food availability,13,31606.99
5254,3651,2008,FL,0.8327,1.1673,0.902,1.098,1.7347,08/08/2008,1,87,4586,FL,15.8,30/09/2013,129,1.276007742,1.0408,0.9592,2008,8,2013,0,3,5,4+,1,Yes,5,Males,26.1,2712.65,7.905681296,Low food availability,11.5,16394.41
4886,3189,2006,FL,1.0408,0.9592,0.6245,1.3755,1.6653,16/08/2006,1,75,3825,OFL,17.2,16/09/2007,86,1.298882342,1.1102,0.8898,2006,8,2007,0,3,1,1,1,Yes,1,Males,26.3,2647.3,7.881295532,Low food availability,13,7239.03
5322,4290,2008,SA,1.0408,0.9592,0.8327,1.1673,1.8735,16/06/2009,1,92,4740,ABX,15.8,18/09/2009,60,1.314791928,1.1796,0.8204,2009,6,2009,1,9,0,0,0,No,1,Males,26.3,8676.17,9.068335466,High food availability,17,14001.03
3093,3172,2004,SA,0.7633,1.2367,0.6939,1.3061,1.4572,12/08/2006,1,75,3817,BrM,17.3,29/02/2012,76,1.328338939,0.9714,1.0286,2006,8,2012,2,9,6,4+,1,Yes,8,Males,26.8,12291.48,9.416661618,Low food availability,13,38650.745
1549,831,1999,FL,0.9714,1.0286,1.1102,0.8898,2.0816,21/11/1999,1,29,2568,FL,10.4,02/10/2002,63,1.345864048,1.1102,0.8898,1999,11,2002,0,3,3,3,1,Yes,3,Males,26.3,52311.05,10.86496291,High food availability,15,20268.53
3020,2804,2004,SA,1.0408,0.9592,0.9714,1.0286,2.0122,14/11/2005,1,54,6323,ABX,15,16/09/2007,20,1.397139134,0.9714,1.0286,2005,11,2007,1,9,2,2,1,Yes,3,Males,24.9,24056.845,10.08817485,Low food availability,14,26574.26
5319,4284,2008,FL,1.249,0.751,0.7633,1.2367,2.0123,23/06/2009,0,92,4785,OFL,13.5,04/10/2014,134,1.427323519,1.249,0.751,2009,6,2014,1,3,5,4+,1,Yes,6,Females,23.7,14862.5,9.606596541,High food availability,17,10799.82
1552,843,1999,FL,1.4572,0.5428,0.9714,1.0286,2.4286,01/12/1999,0,29,2567,FL,13.7,02/10/2002,60,1.523803599,1.4572,0.5428,1999,12,2002,0,3,3,3,1,Yes,3,Females,24.2,69654.27,11.15129928,High food availability,15,14001.03
1168,2529,1996,SA,1.0408,0.9592,0.6939,1.3061,1.7347,12/07/1997,1,22,102,ABX,15.5,26/07/2001,141,,1.0408,0.9592,1997,7,2001,1,9,4,4+,1,Yes,5,Males,25.3,35589,10.47979188,High food availability,21,84303.535
4936,3768,2006,SA,1.0408,0.9592,0.8327,1.1673,1.8735,22/07/2007,0,82,4233,ABX,13.8,02/10/2011,61,,1.1102,0.8898,2007,7,2011,1,9,4,4+,1,Yes,5,Females,23.8,3580.78,8.183335933,Low food availability,9,15694.275
5269,3666,2008,FL,0.8327,1.1673,1.1796,0.8204,2.0123,19/08/2008,1,87,4590,FL,15,10/09/2010,138,,1.249,0.751,2008,8,2010,0,3,2,2,1,Yes,2,Males,25.2,956.87,6.863667541,Low food availability,11.5,12623.83
5169,3568,2007,FL,1.1796,0.8204,1.249,0.751,2.4286,24/01/2008,1,85,4351,OFL,14.9,10/09/2010,53,,1.0408,0.9592,2008,1,2010,1,3,2,2,1,Yes,3,Males,26.3,12727.44,9.451515572,Low food availability,11.5,24210.09
4866,3118,2005,SA,0.7633,1.2367,1.1102,0.8898,1.8735,20/07/2006,1,75,3855,ABX,15.5,30/09/2013,135,,0.8327,1.1673,2006,7,2013,1,9,7,4+,1,Yes,8,Males,25.9,16481.79,9.710011414,Low food availability,13,11446.08
4855,3095,2006,FL,1.1796,0.8204,1.1102,0.8898,2.2898,02/07/2006,0,75,3766,OFL,17.5,29/01/2007,8,,1.249,0.751,2006,7,2007,0,3,1,1,1,Yes,1,Females,23.1,16147.05,9.689492649,Low food availability,13,19626.265
1432,714,1999,SA,0.902,1.098,0.9714,1.0286,1.8734,28/01/1999,0,26,2405,ABX,15.3,26/09/1999,5,,1.1796,0.8204,1999,1,1999,0,9,0,0,0,No,0,Females,24.3,31606.99,10.36113358,High food availability,15,31606.99
5327,4303,2009,FL,0.8327,1.1673,1.0408,0.9592,1.8735,02/07/2009,1,92,4698,H,15.9,10/09/2010,3,,1.0408,0.9592,2009,7,2010,0,3,1,1,1,Yes,1,Males,25.8,21205.79,9.962029537,High food availability,17,24501.73
5237,4063,2008,SA,1.1102,0.8898,0.9714,1.0286,2.0816,23/01/2009,1,90,4096,ABX,17,04/03/2014,48,,0.902,1.098,2009,1,2014,1,9,5,4+,1,Yes,6,Males,26.3,10643.27,9.272683047,High food availability,17,16692.72
1170,2621,1997,SA,1.1796,0.8204,1.3184,0.6816,2.498,12/02/1998,0,23,174,ABX,14.9,07/09/2008,135,,1.249,0.751,1998,2,2008,1,9,10,4+,1,Yes,11,Females,25.1,13510.92,9.511253526,High food availability,20,11446.08
1162,2404,1996,SA,0.8327,1.1673,1.1796,0.8204,2.0123,05/07/1997,1,22,36,ABX,15.5,28/03/1998,40,,0.8327,1.1673,1997,7,1998,1,9,1,1,1,Yes,2,Males,26.3,38884.63,10.56835434,High food availability,21,14591.88
1188,2560,1996,SA,1.1796,0.8204,1.1796,0.8204,2.3592,16/07/1997,1,22,56,ABX,15.4,16/08/2010,68,,1.0408,0.9592,1997,7,2010,1,9,13,4+,1,Yes,14,Males,25.4,101837.41,11.5311328,High food availability,21,15419.47
1583,894,2000,FL,0.9714,1.0286,0.8327,1.1673,1.8041,04/08/2000,1,39,3088,OFL,15.6,02/10/2002,88,,0.7633,1.2367,2000,8,2002,0,3,2,2,1,Yes,2,Males,26,20136.96,9.910312211,,,11335.47
