BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,BirdID,LayYear,CatchYear,SpaceTQ,Food,MeanAdultFood,AllYears?,PropCovered,SumFood,SumFood2
3089,3855,2004,A,03/09/2007,1,82,4254,BrM,17.3,04/10/2014,86,1.3184,0.6816,0.54949591,2007,9,2014,3,24,7,4+,1,Yes,10,Males,26.6,2579.74,7.855443898,3089,2004,2007,7239.03,9,13.5,YES,1,42.5,42.5
1744,4277,2001,A,16/06/2009,1,92,4740,BrM,15.2,10/09/2010,60,0.8327,1.1673,0.552458376,2009,6,2010,8,24,1,1,1,Yes,9,Males,25.3,8676.17,9.068335466,1744,2001,2009,14001.03,17,13.28571429,NO,0.875,71,71
1187,713,1996,A,28/01/1999,1,26,2406,BrM,16,10/09/2010,7,1.0408,0.9592,0.555129135,1999,1,2010,3,24,11,4+,1,Yes,14,Males,26.6,15887.15,9.673265885,1187,1996,1999,16502.03,15,18.66666667,YES,1,100,100
3491,4004,2005,A,16/01/2009,0,90,4149,H,14.9,04/10/2014,126,0.8327,1.1673,0.555363173,2009,1,2014,4,24,5,4+,1,Yes,9,Females,23.8,13690.47,9.524455249,3491,2005,2009,12410.1,17,12.625,YES,1,17,17
1771,83,2001,A,23/06/2003,0,30,448,BrF,14.6,02/09/2003,5,0.7633,1.2367,0.556725598,2003,6,2003,2,24,0,0,0,No,2,Females,24.4,9564.88,9.165853336,1771,2001,2003,31606.99,19.5,19.5,NO,0.5,19.5,19.5
5167,4086,2007,A,05/02/2009,1,90,4183,BrM,17.1,29/02/2012,481,0.9714,1.0286,0.557867511,2009,2,2012,2,24,3,3,1,Yes,5,Males,26.6,21080.5,9.956103722,5167,2007,2009,30284.715,17,14.25,YES,1,17,17
1494,448,1999,A,02/01/2005,1,35,2967,BrM,16.3,04/10/2014,140,1.3184,0.6816,0.561493238,2005,1,2014,6,24,9,4+,1,Yes,15,Males,23.9,6867.87,8.834609293,1494,1999,2005,10970.67,14,14.16666667,NO,0.5,40,40
2985,4187,2003,A,29/07/2008,0,87,4528,H,14.8,10/09/2010,47,0.9714,1.0286,0.563469975,2008,7,2010,5,24,2,2,1,Yes,7,Females,24.5,4100.84,8.31894711,2985,2003,2008,24063.4,11.5,11.25,YES,1,20.5,20.5
1429,642,1999,A,08/09/2005,0,37,737,BrF,14,02/09/2006,134,1.0408,0.9592,0.569015545,2005,9,2006,6,24,1,1,1,Yes,7,Females,23.1,8775.16,9.079680282,1429,1999,2005,10799.82,14,14.16666667,NO,0.5,47.5,28
4875,3987,2006,A,22/07/2008,0,87,4516,ABX,14.7,18/09/2009,28,1.0408,0.9592,0.576513934,2008,7,2009,2,24,1,1,1,Yes,3,Females,23.9,3196.56,8.069830511,4875,2006,2008,12253.02,11.5,10.25,YES,1,40,40
1739,3235,2002,A,30/08/2006,1,75,3798,BrM,16,07/09/2008,53,1.249,0.751,0.576924917,2006,8,2008,4,24,2,2,1,Yes,6,Males,25,22629.09,10.02699153,1739,2002,2006,24210.09,13,14.25,YES,1,33.5,33.5
3457,4167,2005,A,25/07/2008,1,87,4562,BrM,16.9,07/09/2008,90,0.6245,1.3755,0.582268305,2008,7,2008,3,24,0,0,0,No,3,Males,26.3,18379.35,9.818983031,3457,2005,2008,14840.38,11.5,11.16666667,YES,1,11.5,11.5
1831,3680,2003,A,17/06/2007,1,82,4229,BrM,17.2,21/02/2008,57,1.0408,0.9592,0.583736412,2007,6,2008,4,24,1,1,1,Yes,5,Males,25.6,8373.5,9.032827236,1831,2003,2007,19264.4,9,11.5,YES,1,23,23
1805,3779,2003,A,26/07/2007,0,82,4243,BrF,14,10/09/2010,72,1.0408,0.9592,0.740624165,2007,7,2010,4,24,3,3,1,Yes,7,Females,24.2,5124.47,8.541782384,1805,2003,2007,18354.98,9,12,YES,1,33.5,33.5
1151,2492,1996,A,04/07/1997,1,22,2303,BrM,15.9,26/09/1999,35,1.0408,0.9592,0.584868223,1997,7,1999,1,12,2,2,1,Yes,3,Males,26.2,56720.83,10.94589679,1151,1996,1997,23926.92,21,21,YES,1,21,21
951,2373,1995,A,29/06/1996,0,21,2251,ABX,13.7,02/10/2002,87,0.9714,1.0286,0.5867723,1996,6,2002,1,12,6,4+,1,Yes,7,Females,24.4,33815.27,10.42866775,951,1995,1996,13915.73,26,26,YES,1,26,26
4888,4306,2006,A,08/07/2009,1,92,4753,BrM,17.5,02/10/2011,77,0.902,1.098,0.590167164,2009,7,2011,3,24,2,2,1,Yes,5,Males,25.9,70807.8,11.16772444,4888,2006,2009,29921.32,17,10.25,YES,1,28.5,28.5
3574,4259,2005,A,20/08/2008,0,87,4589,BrF,13.8,04/10/2014,137,0.902,1.098,0.782088047,2008,8,2014,3,24,6,4+,1,Yes,9,Females,23.3,12597.94,9.441288588,3574,2005,2008,12597.94,11.5,11.16666667,YES,1,40,40
1491,3994,1999,A,23/07/2008,0,87,4558,BrF,15.2,10/09/2010,85,1.1102,0.8898,0.590844124,2008,7,2010,9,24,2,2,1,Yes,11,Females,24.3,5154.05,8.547538092,1491,1999,2008,6555.08,11.5,12.66666667,NO,0.666666667,31,11.5
507,3341,1993,A,23/01/2007,1,77,3900,BrM,15.9,07/09/2008,30,0.7633,1.2367,0.595878952,2007,1,2008,14,24,1,1,1,Yes,15,Males,26.1,4422.86,8.394541825,507,1993,2007,14620.63,9,16.27777778,NO,0.642857143,48.5,48.5
1778,3835,2002,A,29/08/2007,0,82,4198,BrF,17.9,16/09/2007,13,0.9714,1.0286,0.59735126,2007,8,2007,5,24,0,0,0,No,5,Females,24,22433.46,10.01830887,1778,2002,2007,23212.25,9,14.16666667,YES,1,23,23
4936,4300,2006,A,08/07/2009,0,92,4812,H,14.8,02/10/2011,477,1.1102,0.8898,0.597818383,2009,7,2011,3,24,2,2,1,Yes,5,Females,24.1,12199.14,9.409120736,4936,2006,2009,12317.13,17,12.5,YES,1,17,17
