bird_id,mass,tarsus,Sex,Age
Bird-1062,,,,
Bird-0408,22.88,21.1,Male,4+
Bird-1068,22.25,20.7,,>1
Bird-1069,20.51,20.8,,1+
Bird-1027,19.6,21.3,Male,Juv
Bird-0511,20.28,21,Female,2+
Bird-1036,19.5,21.4,,Juvenile
Bird-1069,19.56,21,,1+
Bird-0927,,21.6,Male,1+
Bird-1002,23.33,20.9,Male,juvenile
Bird-1073,18.12,21.7,Unknown,juvenile
Bird-1027,20.56,21.6,Male,Juv
Bird-0924,22.63,20.4,Male,1+
Bird-0777,22.91,21.5,Male,1
Bird-0803,19.95,21.4,Female,2
Bird-0474,20.81,20.9,Female,4+
Bird-0926,19.72,20.4,Male,2+
Bird-1075,21.07,20.3,Unknown,1+
Bird-1077,19.9,20.1,Unknown,1+
Bird-1077,,,Unknown,
Bird-0268,19.65,20.7,Female,5+
Bird-0409,21.23,20.3,Male,5+
Bird-0997,21.74,19.5,Male,2+
Bird-0470,21.5,20.7,Male,4+
Bird-1078,23.42,21,Male,1+
Bird-0728,19.29,20.3,Female,3+
Bird-0930,21.75,21.8,Male,2+
Bird-1080,20.29,21,Unknown,1+
Bird-1081,20.9,21.3,Male,1+
Bird-0729,20.82,20.6,Male,3+
Bird-1036,21.78,21.5,,1
Bird-1082,19.77,21,Unknown,1+
Bird-1037,21.31,20.4,,1
Bird-0322,21.98,21.9,Male,7+
Bird-1083,20.04,21.3,Unknown,1+
Bird-0408,21.09,20.5,Male,5+
Bird-0924,21.81,21.2,Male,2+
Bird-0105,22.86,21.5,Male,5
Bird-1084,17.57,20.1,Unknown,1+
Bird-0805,19.05,20.9,Male,2
Bird-1027,19.9,21.6,Male,1
Bird-0339,20.26,20.6,Male,7+
Bird-1042,20.33,21.6,Unknown,1
Bird-1078,22.12,21.5,Male,1+
Bird-0475,23.46,21.2,Male,4+
Bird-1083,20.14,21.4,Unknown,1+
Bird-1036,21.18,21.3,,1
Bird-1085,20.42,20.9,Male,1+
Bird-0477,20.3,20.1,Male,4+
Bird-0685,20.19,20.9,Male,3+
Bird-1086,21.05,21.3,Unknown,1+
Bird-0928,22.43,22.1,Male,2+
Bird-1080,20.2,21.1,Unknown,1+
Bird-1078,22.15,21.2,Male,1+
Bird-0923,20.01,21.5,Female,2+
Bird-0694,20.95,21.2,Female,3+
Bird-0338,21,22.2,Male,7+
Bird-0780,22.64,22,Male,2+
Bird-0700,20.4,20.8,Male,3+
Bird-0777,20.6,20.9,Male,2
Bird-0882,20.07,20.5,Female,2
Bird-0362,20.68,20.8,Male,7+
Bird-0409,21.28,21.1,Male,5+
Bird-0470,22.21,20.9,Male,4+
Bird-0339,22.08,21.1,Male,7+
Bird-1002,22.5,21.2,Male,1
Bird-0745,19.42,20.1,Female,2
Bird-0506,21.74,21.7,Male,4+
Bird-0936,22.06,20.3,Male,2+
Bird-0746,21.38,21.4,Male,2
Bird-1094,21.68,21.4,Male,1+
Bird-0803,18.55,,Female,2
Bird-1027,19.71,21.5,Male,1
Bird-0927,21.23,21.7,Male,2+
Bird-1131,22.44,21,Male,1+
Bird-0040,20.8,22,Male,6
Bird-1038,20.12,21.1,Male,1
Bird-1081,21.42,21.3,Male,1+
Bird-0339,19.79,20.6,Male,7+
Bird-1038,20.46,,Male,1
Bird-0717,22.51,21,Female,3+
Bird-0924,21.44,20.3,Male,2+
Bird-0475,22.39,21,Male,4+
