Age,bird_id,chick_id,mass,NestID,tarsus,Sex
9,-159,c84.4,19.33,84,21.5,Male
10,-159,c84.4,18.36,84,21.8,Male
3,-164,c86.1,5.23,86,10.5,Male
5,-164,c86.1,12.4,86,16.5,Male
3,-165,c86.2,6.13,86,11.5,Female
3,-166,c86.3,6.37,86,11.5,Female
5,-166,c86.3,13.31,86,17,Female
5,-165,c86.2,12.99,86,17,Female
1,-169,c81.1,2.52,81,7,Male
1,-170,c81.2,1.91,81,6,Female
1,-171,c81.3,2.19,81,6.5,Female
1,-172,c81.4,2.55,81,7.5,Female
5,-173,c94.1,10.9,94,15,Female
5,-174,c94.2,9.67,94,14,Male
5,-175,c94.3,11.11,94,14.5,Male
7,-164,c86.1,16.4,86,18.8,Male
8,-164,c86.1,15.69,86,19.5,Male
7,-165,c86.2,17.08,86,19.2,Female
8,-165,c86.2,16.45,86,19.5,Female
7,-166,c86.3,17.54,86,19.1,Female
