"nestlingID","nestID","year","age","hatchdate","hatchsize","fledgedate","fledgesize","mass","tarsus","ninprim","year2"
"1983-GCJS2 nestling 2","1983-GCJS2",1983,11,156,5,175,5,21.8,,,0.6
"1983-GCJS2 nestling 2","1983-GCJS2",1983,14,156,5,175,5,22.3,,,0.6
"1992-BGA5 nestling 2","1992-BGA5",1992,13,155,6,176,4,22.5,,,1.5
"2017-AGG5 (2) nestling 3","2017-AGG5 (2)",2017,13,164,5,186,4,21,14.7,49,4
"2009-NBC3 nestling 3","2009-NBC3",2009,12,176,3,195,3,23,15.3,,3.2
"1982-HU01 nestling 3","1982-HU01",1982,11,171,4,181,0,7.5,,,0.5
"1984-GCJS3 nestling 3","1984-GCJS3",1984,13,156,6,179,3,19.5,,,0.7
"1983-GCJS2 nestling 3","1983-GCJS2",1983,11,156,5,175,5,20.5,,,0.6
"1983-GCJS2 nestling 3","1983-GCJS2",1983,14,156,5,175,5,21.5,,,0.6
"1992-BGA5 nestling 3","1992-BGA5",1992,13,155,6,176,4,23,,,1.5
"2017-AGG5 (2) nestling 4","2017-AGG5 (2)",2017,13,164,5,186,4,20,14.1,45,4
"1982-HU01 nestling 4","1982-HU01",1982,11,171,4,181,0,9.5,,,0.5
"1984-GCJS3 nestling 4","1984-GCJS3",1984,13,156,6,179,3,21.8,,,0.7
"1983-GCJS2 nestling 4","1983-GCJS2",1983,11,156,5,175,5,21.6,,,0.6
"1983-GCJS2 nestling 4","1983-GCJS2",1983,14,156,5,175,5,23.5,,,0.6
"1992-BGA5 nestling 4","1992-BGA5",1992,13,155,6,176,4,21.5,,,1.5
"1984-GCJS3 nestling 5","1984-GCJS3",1984,12,156,6,179,3,21.3,,,0.7
"1984-GCJS3 nestling 5","1984-GCJS3",1984,16,156,6,179,3,17.3,,,0.7
"1983-GCJS2 nestling 5","1983-GCJS2",1983,11,156,5,175,5,21.4,,,0.6
"1983-GCJS2 nestling 5","1983-GCJS2",1983,14,156,5,175,5,22,,,0.6
"1992-BGA5 nestling 5","1992-BGA5",1992,13,155,6,176,4,20.5,,,1.5
"1984-GCJS3 nestling 6","1984-GCJS3",1984,12,156,6,179,3,20.2,,,0.7
"1984-GCJS3 nestling 6","1984-GCJS3",1984,16,156,6,179,3,18.2,,,0.7
"1992-BGA5 nestling 6","1992-BGA5",1992,13,155,6,176,4,22.5,,,1.5
"2003-SPA1 nestling 1","2003-SPA1",2003,15,154,5,174,5,26.3,12.61,32,2.6
"2003-SPA1 nestling 2","2003-SPA1",2003,15,154,5,174,5,16.2,11.87,30,2.6
"2003-SPA1 nestling 3","2003-SPA1",2003,15,154,5,174,5,23.1,12.97,38,2.6
"2003-SPA1 nestling 4","2003-SPA1",2003,15,154,5,174,5,22.2,12.4,35,2.6
"2003-SPA1 nestling 5","2003-SPA1",2003,15,154,5,174,5,23.1,12.42,36,2.6
"2017-NBB4 nestling 1","2017-NBB4",2017,10,156,4,174,4,19,14.5,38,4
"2017-NBB4 nestling 1","2017-NBB4",2017,12,156,4,174,4,19.75,14.6,48,4
"2016-SPC3 nestling 1","2016-SPC3",2016,12,148,4,166,4,23,13.3,64,3.9
"1983-GCIS2 nestling 1","1983-GCIS2",1983,10,154,6,175,6,19.9,,,0.6
"1983-GCIS2 nestling 1","1983-GCIS2",1983,13,154,6,175,6,19.2,,,0.6
"2017-NBB4 nestling 2","2017-NBB4",2017,10,156,4,174,4,12,13.7,35,4
"2017-NBB4 nestling 2","2017-NBB4",2017,12,156,4,174,4,19.25,14.4,47,4
"2016-SPC3 nestling 2","2016-SPC3",2016,12,148,4,166,4,20.75,13.7,62,3.9
"1983-GCIS2 nestling 2","1983-GCIS2",1983,10,154,6,175,6,21,,,0.6
"1983-GCIS2 nestling 2","1983-GCIS2",1983,13,154,6,175,6,21.2,,,0.6
"2017-NBB4 nestling 3","2017-NBB4",2017,10,156,4,174,4,18,13.4,35,4
"2017-NBB4 nestling 3","2017-NBB4",2017,12,156,4,174,4,19,14.5,46,4
"2016-SPC3 nestling 3","2016-SPC3",2016,12,148,4,166,4,19.75,14.7,58,3.9
"1983-GCIS2 nestling 3","1983-GCIS2",1983,10,154,6,175,6,19.3,,,0.6
"1983-GCIS2 nestling 3","1983-GCIS2",1983,13,154,6,175,6,20.3,,,0.6
"2017-NBB4 nestling 4","2017-NBB4",2017,10,156,4,174,4,18,14.1,38,4
"2017-NBB4 nestling 4","2017-NBB4",2017,12,156,4,174,4,22,14.7,50,4
"2016-SPC3 nestling 4","2016-SPC3",2016,12,148,4,166,4,24.5,14.2,64,3.9
"1983-GCIS2 nestling 4","1983-GCIS2",1983,10,154,6,175,6,19.8,,,0.6
"1983-GCIS2 nestling 4","1983-GCIS2",1983,13,154,6,175,6,20,,,0.6
"1983-GCIS2 nestling 5","1983-GCIS2",1983,10,154,6,175,6,22.2,,,0.6
"1983-GCIS2 nestling 5","1983-GCIS2",1983,13,154,6,175,6,22.6,,,0.6
"1983-GCIS2 nestling 6","1983-GCIS2",1983,10,154,6,175,6,21.1,,,0.6
"1983-GCIS2 nestling 6","1983-GCIS2",1983,13,154,6,175,6,21.8,,,0.6
"1983-GCDS2 nestling 1","1983-GCDS2",1983,11,159,5,178,5,18.5,,,0.6
"1983-GCDS2 nestling 1","1983-GCDS2",1983,14,159,5,178,5,21,,,0.6
"1983-GCDS2 nestling 2","1983-GCDS2",1983,11,159,5,178,5,18.5,,,0.6
"1983-GCDS2 nestling 2","1983-GCDS2",1983,14,159,5,178,5,21.4,,,0.6
"2003-BGF2 nestling 3","2003-BGF2",2003,15,168,5,,2,22.3,12.05,30,2.6
"1983-GCDS2 nestling 3","1983-GCDS2",1983,11,159,5,178,5,18.5,,,0.6
"1983-GCDS2 nestling 3","1983-GCDS2",1983,14,159,5,178,5,21.1,,,0.6
"1983-GCDS2 nestling 4","1983-GCDS2",1983,11,159,5,178,5,19.2,,,0.6
"1983-GCDS2 nestling 4","1983-GCDS2",1983,14,159,5,178,5,20.3,,,0.6
"1983-GCDS2 nestling 5","1983-GCDS2",1983,11,159,5,178,5,18.9,,,0.6
