NID,FS,ND,LD,PID,NS,SES,AGE,SE,RA,MO,BS,BSM,EC,ECM,BM,TA,FA,FE
P28,1,0,124,P28P5,0,2,,,,,,,,,,,,
P28,1,0,124,P28P5,0,3,,,,,,,,,,,,
P28,1,0,124,P28P5,0,4,,,,,,,,,,,,
P28,1,0,124,P28P5,0,5,,,,,,,,,,,,
P37,0,0,124,P37P1,1,1,1,0,1,0,4,5,1,1.67,19.1,,,
P37,0,0,124,P37P1,0,2,3,0,1,,5,5,0.67,1.67,37,,,
P37,0,0,124,P37P1,0,3,5,0,1,,5,5,1.67,1.67,42,,,
P37,0,0,124,P37P1,0,4,8,0,1,,5,5,0.33,1.67,79.9,23.4,21.6,
P37,0,0,124,P37P1,0,5,17,0,1,,3,5,,1.67,119,,,55
P37,0,0,124,P37P2,1,1,1,0,3,0,4,5,1,2,16.2,,,
P37,0,0,124,P37P2,0,2,3,0,3,,5,5,0.67,2,31.8,,,
P37,0,0,124,P37P2,0,3,5,0,3,,5,5,2,2,37,,,
P37,0,0,124,P37P2,0,4,8,0,3,,5,5,0.33,2,74.6,22.8,26.9,
P37,0,0,124,P37P2,0,5,17,0,3,,3,5,,2,97.1,,,50
P37,0,0,124,P37P3,1,1,1,0,2,0,4,5,,1.33,17.7,,,
P37,0,0,124,P37P3,0,2,3,0,2,,5,5,0.67,1.33,34.8,,,
P37,0,0,124,P37P3,0,3,5,0,2,,5,5,1.33,1.33,40.3,,,
P37,0,0,124,P37P3,0,4,8,0,2,,5,5,0.33,1.33,72.1,20.6,29.4,
P37,0,0,124,P37P3,0,5,17,0,2,,3,5,,1.33,107.2,,,51
P37,0,0,124,P37P4,1,1,1,0,4,1,4,5,,0.67,12.2,,,
P37,0,0,124,P37P4,0,2,3,0,4,,5,5,0.67,0.67,22.7,,,
P37,0,0,124,P37P4,0,3,5,0,4,,5,5,0,0.67,25.1,,,
P37,0,0,124,P37P4,0,4,8,0,4,,5,5,0.67,0.67,43.1,17.4,22.5,
P37,0,0,124,P37P4,0,5,,,,,,,,,,,,
P37,0,0,124,P37P5,0,1,,,,,,,,,,,,
P37,0,0,124,P37P5,1,2,1,1,5,1,5,5,1,1.67,15.3,,,
P37,0,0,124,P37P5,0,3,3,1,5,,5,5,0,1.67,17.6,,,
P37,0,0,124,P37P5,0,4,6,1,5,,5,5,1.67,1.67,24.6,16.2,16.1,
P37,0,0,124,P37P5,0,5,,,,,,,,,,,,
P42,1,0,124,P42P1,0,1,,,,,,2,,,,,,
P42,1,0,124,P42P1,0,2,,,,,,,,,,,,
P42,1,0,124,P42P1,0,3,,,,,,,,,,,,
P42,1,0,124,P42P1,0,4,,,,,,,,,,,,
P42,1,0,124,P42P1,0,5,,,,,,,,,,,,
P42,1,0,124,P42P2,1,1,1,0,1,0,2,2,,1,13.9,,,
P42,1,0,124,P42P2,0,2,4,0,1,,2,2,0.67,1,35.1,,,
P42,1,0,124,P42P2,0,3,6,0,1,,2,2,1,1,59.3,,,
P42,1,0,124,P42P2,0,4,8,0,1,,2,2,0.67,1,65.5,21.5,29.5,
P42,1,0,124,P42P2,0,5,15,0,1,,2,2,,1,140.2,,,46
P42,1,0,124,P42P3,1,1,1,0,2,0,2,2,,0.67,12,,,
P42,1,0,124,P42P3,0,2,4,0,2,,2,2,0,0.67,30.7,,,
P42,1,0,124,P42P3,0,3,6,0,2,,2,2,0.67,0.67,54.1,,,
P42,1,0,124,P42P3,0,4,8,0,2,,2,2,0.33,0.67,59.4,22.2,27,
P42,1,0,124,P42P3,0,5,15,0,2,,2,2,,0.67,156.5,,,46
P42,1,0,124,P42P4,0,1,,,,,,,,,,,,
P42,1,0,124,P42P4,0,2,,,,,,,,,,,,
P42,1,0,124,P42P4,0,3,,,,,,,,,,,,
P42,1,0,124,P42P4,0,4,,,,,,,,,,,,
P42,1,0,124,P42P4,0,5,,,,,,,,,,,,
P42,1,0,124,P42P5,0,1,,,,,,,,,,,,
P42,1,0,124,P42P5,0,2,,,,,,,,,,,,
