yr,area,ring,ageF,tars,tail,wing,patch,wingwhite,weight,mpatch,mwing,dam,sex
2,8,EA31794,ad,18.6,52.5,85,63,50,13.4,*,*,*,M
2,8,EA31794,ad,18.6,52.5,85,63,50,13.4,*,*,*,M
2,8,EA42594,ad,19.2,53,84.5,80,36,12.4,*,*,*,M
2,8,EA97964,ad,19.7,53,83.5,72,60,12.6,*,*,*,M
2,8,EA66184,ad,19,52.5,82.5,80,51,13.2,*,*,*,M
2,8,EA32094,ad,19.2,53,82,80,54,13,*,*,*,M
2,8,HA99984,juv,19.3,52,79.5,88,12,12.3,*,*,*,M
2,8,EA31894,juv,19.3,52,82,80,13,13.2,*,*,*,M
2,8,CA77692,ad,20.7,54,84,63,51,13,*,*,*,M
2,8,CA77492,ad,19.1,53.5,83,63,42,12.3,*,*,*,M
2,8,EA32294,ad,20,53,85,72,*,*,*,*,*,M
2,8,EA32394,ad,20.1,52,85.5,99,62,14.1,*,*,*,M
2,8,EA32194,ad,19.3,51,82.5,*,50,12.7,*,*,*,M
2,8,EA39894,juv,18,52,79.5,70,13,12.4,*,*,*,M
2,8,CA30492,ad,19,55,86,80,61,12.8,*,*,CA19392,M
2,8,EA80874,ad,19,51,83.5,99,61,12.8,*,*,*,M
2,8,CA28592,ad,19.5,51,83.5,80,51,12.4,*,*,CA77092,M
2,8,EA39794,juv,18.7,50,78.5,66,19,12.1,*,*,*,M
2,8,EA05464,ad,20,51.5,82.5,99,59,14,*,*,*,M
2,8,EA38594,ad,19.8,53,84,88,59,12.7,*,*,*,M
2,8,EA19964,ad,19.5,53,83,63,53,12.8,*,*,*,M
2,8,EA60874,juv,19,51,81.5,70,34,12.5,*,*,EA04364,M
2,8,EA38694,juv,19.1,52,81.5,54,28,12.3,*,*,*,M
2,8,EA39694,juv,19.4,53,82.5,64,22,11.9,*,*,*,M
2,8,EA39494,juv,20,53.5,82.5,81,14,12.5,*,*,*,M
2,8,EA85564,juv,20.1,52,82,99,25,12.7,*,*,*,M
2,8,EA16064,ad,19.5,51.5,83,80,47,*,*,*,*,M
2,8,CA28592,ad,19.5,50.5,83.5,64,49,12.7,*,*,CA77092,M
2,8,CA69604,ad,19.6,52,84,88,57,12,*,*,*,M
2,8,CA24392,ad,20.2,54,86.5,72,32,13.7,*,*,CA10992,M
2,8,EA80574,ad,19.4,52,81.5,80,44,12.1,*,*,*,M
2,8,EA30594,ad,19.4,52,84,70,39,13.5,*,*,*,M
2,8,CA76192,ad,19.6,54,86,81,44,12.6,*,*,*,M
2,8,CA27792,ad,19.4,52,85,49,54,12.1,*,*,CA06292,M
2,8,EA38994,ad,19.5,53,83.5,90,67,*,*,*,*,M
2,8,EA39594,ad,20,51.5,83,*,52,12.9,*,*,*,M
2,8,EA44564,juv,19.8,50.5,79,54,14,13,*,*,EA06064,M
2,8,EA32694,juv,19.6,53,85,72,*,13.9,*,*,*,M
2,8,EA15564,ad,19.4,53,85,63,62,12.9,*,*,*,M
2,8,CA47193,ad,19.8,55.5,85.5,90,59,13,*,*,CA05592,M
2,8,EA39094,ad,19.1,52,84,90,48,12,*,*,*,M
2,8,EA39194,ad,19.8,52,82.5,72,52,*,*,*,*,M
2,10,EA02564,ad,20.3,52.5,82.5,80,36,13,*,*,*,M
2,10,HA02184,ad,19.2,53,82,63,54,13.1,*,*,*,M
2,10,EA62764,ad,19.3,52,83.5,110,54,13.2,*,*,*,M
2,10,HA02484,juv,19.5,51.5,82,70,22,13,*,*,*,M
2,10,HA03084,ad,19.4,52,84,72,64,12.5,*,*,*,M
2,10,EA24264,juv,19.7,52,81,63,15,13.5,*,*,CA17792,M
2,10,HA03184,juv,19.5,51.5,82,72,32,12.6,*,*,*,M
2,10,HA02884,juv,19.6,50.5,82,80,34,12.3,*,*,*,M
2,10,EA30764,ad,19.2,52.5,82,81,56,12.3,*,*,*,M
2,10,HA02984,ad,19.6,52.5,84,64,61,13.9,*,*,*,M
2,10,EA03164,ad,19.2,53,85,70,48,13.1,*,*,*,M
2,10,HA03384,juv,20.3,53,81.5,70,20,13.4,*,*,*,M
2,10,EA50864,ad,19.2,51,81,88,51,11.9,*,*,*,M
2,10,HA02584,juv,19.5,52.5,82,88,7,*,*,*,*,M
2,10,BA37483,ad,19.9,52,82,90,50,14,*,*,BA33583,M
2,10,CA12392,ad,20.4,53,81.5,88,39,12.7,*,*,BA36983,M
2,10,BA34983,ad,20.2,51,82,80,51,13,*,*,*,M
2,10,BA72908,juv,20.1,53.5,84,*,17,*,*,*,*,M
2,10,EA11464,ad,20,52,82.5,90,46,12.5,*,*,*,M
2,10,EA90964,ad,19.5,52,83.5,88,57,13.3,*,*,*,M
2,10,CA40193,ad,19.6,52,83,70,48,11.5,*,*,CA00792,M
2,10,EA11964,ad,19.8,52.5,82.5,81,54,12,*,*,*,M
2,10,EA76064,ad,19.9,53,82,72,48,13.5,*,*,*,M
2,10,BA39483,ad,19.3,54,86,90,68,13.3,*,*,*,M
2,10,HA01984,juv,19.3,53,80,63,19,12.5,*,*,*,M
2,10,BA35183,ad,19.2,52,81,80,67,13.7,*,*,*,M
2,10,EA82774,ad,19.8,52,81,70,57,14,*,*,*,M
2,10,EA00564,ad,19.1,54,83.5,72,53,12.3,*,*,*,M
2,10,CA13392,ad,19.5,53,86,88,53,13.8,*,*,BA36883,M
2,10,CA01692,ad,20.3,53.5,85.5,100,49,13.5,*,*,*,M
2,10,EA54774,juv,20.2,52,81,54,11,12.7,*,*,EA51664,M
2,10,EA82874,ad,20,51,83.5,63,63,13.5,*,*,*,M
2,10,HA01884,ad,20,51,84,90,57,12.5,*,*,*,M
2,10,CA57192,ad,19,52,82.5,77,50,13.1,*,*,CA81392,M
2,10,CA58292,ad,19.7,52,82.5,88,57,14,*,*,*,M
2,10,EA31394,juv,18.8,52.5,79.5,*,14,12.4,*,*,*,M
2,10,CA11792,ad,19.8,*,82.5,81,57,13.2,*,*,CA02092,M
2,10,CA58392,ad,19.4,53,81.5,90,50,13.8,*,*,*,M
2,10,HA00984,ad,18.4,50,80,63,59,13.2,*,*,*,M
2,10,EA31594,ad,19.7,51,84,77,49,13.9,*,*,*,M
2,10,EA06864,juv,19.9,52.5,81.5,70,23,12.7,*,*,BA36483,M
2,10,HA01084,ad,20.2,54.5,84.5,99,56,12.9,*,*,*,M
2,10,CA42593,ad,19.2,54.5,86,72,47,12.3,*,*,BA31383,M
2,10,CA54592,ad,20.1,53,84,100,55,12.8,*,*,*,M
2,10,EA92664,juv,19.3,51,81.5,56,21,11.7,*,*,EA31064,M
2,10,HA00884,ad,19.9,51.5,83,81,65,13.5,*,*,*,M
2,10,CA32492,ad,20,53,86,110,45,13.8,*,*,BA35583,M
2,10,BA39383,ad,20.5,52,85,64,66,13.6,*,*,*,M
2,6,HA20684,juv,19.5,51,80.5,90,26,11.8,*,*,*,M
2,6,CA34392,ad,20.2,53.5,85,90,46,13.4,*,*,CA18492,M
2,6,HA20184,ad,19.6,52,82,63,61,12.5,*,*,*,M
2,6,HA20284,ad,19.4,52,84.5,100,53,12.2,*,*,*,M
2,6,HA21084,juv,20.3,53,80,90,17,12.2,*,*,*,M
2,6,EA29894,ad,19.7,52,82,96,50,13.3,*,*,*,M
2,6,EA34194,juv,19,53,83,45,13,13.2,*,*,*,M
2,6,EA34094,ad,19.7,52.5,83,72,54,13.5,*,*,*,M
2,6,EA30194,ad,19.8,54,83.5,63,54,13.3,*,*,*,M
2,6,HA83184,juv,18.5,51,80,63,16,12.1,*,*,*,M
2,6,CA63292,ad,19.5,51,82,48,53,13.3,*,*,CA05992,M
2,6,EA34694,ad,19.3,51,82.5,80,54,13.1,*,*,*,M
2,6,EA30494,ad,18.9,52.5,84,81,63,13.7,*,*,*,M
2,5,EA34994,ad,20.4,52.5,86,80,37,14,*,*,*,M
2,5,EA34894,ad,20.1,51,82.5,72,55,13.1,*,*,*,M
2,5,CA80192,ad,20.1,52,82,80,49,13.2,*,*,CA04192,M
2,5,CA68092,ad,19.7,53,83.5,84,47,13,*,*,CA03592,M
2,5,EA35794,ad,18.9,54,86.5,110,45,12.9,*,*,*,M
2,5,EA10464,ad,19,53.5,84,90,61,13.7,*,*,*,M
2,5,EA34794,ad,20.3,51.5,84,*,51,14.7,*,*,*,M
2,5,EA35094,juv,18.8,52,81,88,23,13.6,*,*,*,M
2,5,CA78992,ad,19.1,53,84,88,54,13.2,*,*,*,M
2,5,CA69492,ad,20.5,53,84.5,72,61,14.5,*,*,CA03392,M
2,5,HA82584,juv,20,52,82,63,30,13.2,*,*,*,M
2,5,CA78792,ad,19.6,54,84,*,45,12.7,*,*,*,M
2,5,EA35494,ad,19.5,51.5,82,88,43,*,*,*,*,M
2,5,EA35394,ad,19.2,52,83,108,44,13,*,*,*,M
2,5,EA35294,juv,19.5,53.5,83,99,18,12.5,*,*,*,M
2,9,EA29264,juv,20.1,51,81.5,88,*,13.6,*,*,CA60304,M
2,9,EA88874,ad,19.7,53,84.5,80,43,14.1,*,*,*,M
2,9,EA10864,ad,19,51,81.5,70,56,12.3,*,*,*,M
2,9,EA28964,juv,19.8,53,82.5,56,16,13.5,*,*,CA60304,M
2,9,EA92264,ad,19.9,50.5,82,72,54,*,*,*,*,M
2,9,EA32894,juv,18.8,51,80,96,23,12.8,*,*,*,M
2,9,CA38092,ad,19.1,51.5,84,81,40,12.3,*,*,CA54992,M
2,9,EA33294,juv,19.1,51.5,81,72,24,13.1,*,*,*,M
2,9,EA33394,ad,20.7,50.5,82,77,36,14,*,*,*,M
2,9,EA67574,juv,19.2,52,80,72,19,12.3,*,*,CA16992,M
2,9,HA49884,juv,20.3,53,82.5,72,16,14,*,*,*,M
2,9,EA87674,juv,19.1,51,80.5,81,22,12.3,*,*,EA00664,M
2,9,EA51864,juv,20.3,51.5,80.5,*,14,13.8,*,*,CA58592,M
2,9,CA60604,ad,20.2,52,83.5,99,57,13.5,*,*,*,M
2,9,EA33794,ad,19.6,52,82,63,56,12.4,*,*,*,M
2,9,EA33494,ad,19,52,83,80,48,13.1,*,*,*,M
2,9,HA20075,ad,19.5,56,83.5,90,54,13.7,*,*,*,M
2,9,BA33183,ad,19.8,53,83.5,110,57,13.3,*,*,BA32683,M
2,9,CA24792,ad,19.2,52.5,85,72,58,13.1,*,*,CA77092,M
2,9,HA91784,ad,20.1,54,84,90,51,*,*,*,*,M
