Ind_ID,Tarsus,Sex,InbreedingF,F_Gen,FBroodID
4456,18.4,1,0,1652,2386
4457,17.2,1,0,2222,2320
4458,17,1,0,1604,2198
4459,17.3,0,0,1652,2198
4460,18.1,1,0,1480,2139
4461,18,1,0,1652,2229
4462,17.6,1,0,1442,2352
4463,17.5,0,0,1613,2229
4464,17.7,0,0,1572,2253
4465,16.9,0,0,1572,2156
4466,17.1,1,0,2156,2156
4467,16.9,0,0,1604,2393
4468,18.2,1,0,1523,2352
4469,17.8,1,0,1442,2291
4470,16.8,1,0,1613,2139
4473,18.1,1,0,1442,2291
4474,16.5,0,0,2137,2131
4475,17.4,0,0,1432,2253
4476,17.1,1,0,2156,2229
4477,17.6,1,0,1572,2131
4478,18.1,0,0,1523,2243
4479,17.9,0,0,2111,2253
4480,17.4,1,0,1442,2393
4481,18.1,0,0,2156,2386
4482,17,0,0,2137,2352
4483,16.1,1,0,1427,2393
4484,17.2,1,0,1503,2291
4485,17,0,0,2156,2352
4486,16.6,0,0,1427,2131
4487,17.2,1,0,1523,2243
4488,16.7,0,0,1503,2341
4489,17.6,1,0,2111,2253
4490,17.1,0,0,1503,2253
4491,17.6,1,0,1503,2341
4492,18.2,1,0,2156,2341
4493,18,0,0,2111,2243
4494,17.5,0,0,2156,2341
4495,16.9,1,0,2111,2243
4496,17.9,0,0,2111,2243
4499,17,0,0,1432,2215
4502,17.1,0,0,1571,2150
4503,17.2,0,0,1571,2150
4504,16.9,0,0,1432,2215
4505,17.3,0,0,1571,2150
4506,17.9,1,0,1571,2150
4507,17.1,1,0,1571,2364
4510,18.4,1,0,2156,2324
4511,17.8,1,0,1571,2324
4517,17.6,0,0,1432,2330
4518,17.9,0,0,2156,2330
4519,16.9,0,0,2239,2364
4523,16.8,1,0,2253,2150
4525,17.1,0,0,2253,2364
4526,17,0,0,2253,2324
4527,17.3,1,0,2239,2330
4528,17.4,0,0,2156,2296
4531,17.4,0,0,2253,2358
4532,17.9,0,0,2156,2358
4533,17.1,1,0,2271,2296
4534,16.9,0,0,2239,2358
4535,18,1,0,2156,2330
4537,17.2,0,0,2271,2296
4538,17.3,1,0,2253,2358
4539,17.7,1,0,2271,2145
4541,17.4,1,0,1572,2145
5001,17,1,0,1506,723
5002,17.4,0,0.03125,4459,1192
5003,17.4,0,0,4455,918
5004,16.8,1,0,4228,1003
5005,17.4,1,0,4413,1068
5006,17.9,1,0,4339,694
5007,16.9,1,0,4442,875
5008,17.3,0,0,4485,875
5009,17.5,1,0,4493,918
5010,16.8,0,0,4525,918
5011,17.2,1,0,4479,976
5012,16.6,1,0,4358,992
5013,17.4,1,0,4467,992
5014,16.6,0,0,4467,1003
5015,17.8,0,0,4467,1032
5016,17.6,0,0,4467,1068
5017,16.8,1,0,4486,1237
5018,16.9,0,0,4225,1261
5019,17.7,1,0,1439,676
5020,17.1,0,0,4225,676
5021,16.7,0,0,2143,762
