T3 data all ages	duck ID	Inctemp	id   sex     age   laysequence	daysheld  t3	logt3		T4dataallages	ID	mass	tarsus	sasid  Trt   sex     age   laysequence	daysheld  T4 	logT4		T3 data at T0	Trt	ID	mass	tarsus	age	timeofbleed  hatchtime	hroldatT0  timetohatch  incperiod   T3	logT3	bodycondition	   T4dataDay0	Trt	ID	mass	tarsus	age	timeofbleed   hatchtime	 hroldatT0  timetohatch	incperiod   T4	logT4	bodycondition
			T1.1.3	L	40	F	0	3	1	6.51	0.813580989			N7.1.4	26.68	19.49	37	L	M	0	4	3	43.4	1.63748973			L	T1.1.3	27.9	19.18	0	10:35	8:00	2.58	46.3	36	6.51	0.813580989	0.112302983				L	N7.1.4	26.68	19.49	0	11:22	9:00	2.37	74.75	37	43.4	1.63748973	-1.490147429
			T2.2.4	L	41	M	0	4	1	2.15	0.33243846			O2.1.6	26.3	17.52	38	L	F	0	6	3	56.86	1.754806855			L	T2.2.4	27.38	21.28	0	12:41	13:00	1.68	75.50	40	2.15	0.33243846	-2.711814767				L	O2.1.6	26.3	17.52	0	10:57	10:00	0.95	38.00	39	56.86	1.754806855	0.519733862
			T3.1.3	L	42	F	0	3	2	4	0.602059991			O3.1.1	27.74	18.5	39	L	F	0	1	2	43.75	1.640978057			L	T3.1.3	26.19	19.225	0	12:21	12:00	0.35	19	36	4	0.602059991	-1.647070969				L	O3.1.1	27.74	18.5	0	11:18	8:00	2.3	41.25	39	43.75	1.640978057	0.770858905
			T7.1.4	L	44	M	0	4	3	5.025	0.701136066			T1.1.3	27.9	19.18	40	L	F	0	3	1	101.77	2.007619775			L	T7.1.4	24.84	18.46	0	18:20	16:00	2.3	104.00	41	5.025	0.701136066	-2.157713789				L	T1.1.3	27.9	19.18	0	10:35	8:00	2.58	46.3	36	101.77	2.007619775	0.105925261
			W3.1.4	L	46	M	0	4	1	13.89	1.142702246			T2.2.4	27.38	21.28	41	L	M	0	4	1	25.73	1.410439786			L	W3.1.4	25.96	18.605	0	12:20	12:00	0.3	19	36	13.89	1.142702246	-1.196807633				L	T2.2.4	27.38	21.28	0	12:41	13:00	1.68	75.50	40	25.73	1.410439786	-2.961663933
			W3.1.6	L	47	M	0	6	3	16.79	1.225050696			T3.1.3	26.19	19.225	42	L	F	0	3	2	231.16	2.363912686			L	W3b.1.6	25.86	19.41	0	10:49	9:00	1.82	37.00	39	16.79	1.225050696	-2.180052771				L	T3.1.3	26.19	19.225	0	12:21	12:00	0.35	19	36	231.16	2.363912686	-1.658665936
			Y7.1.10	L	49	F	0	10	3	10.59	1.02489596			T5.1.6	33.29	20.24	43	L	M	0	6	1	35.8	1.553883027			L	Y7.1.10	28.76	20.46	0	11:11	9:00	2.18	42.75	37	10.59	1.02489596	-0.432111646				L	T5.1.6	33.29	20.24	0	10:12	9:00	2.2	45.50	36	35.8	1.553883027	4.209999287
			Y7.1.9	L	50	F	0	9	3	12.4	1.093421685			T7.1.4	24.84	18.46	44	L	M	0	4	3	6.19	0.791690649			L	Y7.1.9	31.19	19.59	0	14:46	14:30	0.267	42.50	37	12.4	1.093421685	2.952451422				L	T7.1.4	24.84	18.46	0	18:20	16:00	2.3	104.00	41	6.19	0.791690649	-2.080615587
			Z1.1.9	L	51	F	0	9	2	5.33	0.726727209			W3.1.4	25.96	18.605	46	L	M	0	4	1	152.18	2.18235758			L	Z1.1.9	20.76	17.85	0	10:31	7:15	3.25	72.00	37	5.33	0.726727209	-5.568422442				L	W3.1.4	25.96	18.605	0	12:20	12:00	0.3	19	36	152.18	2.18235758	-1.136520555
			D6.1.6	H	1	M	4	6	3	1.71	0.23299611			W3.1.6	25.86	19.41	47	L	M	0	6	3	107.56	2.031650794																					L	W3b.1.6	25.86	19.41	0	10:49	9:00	1.82	37.00	39	107.56	2.031650794	-2.213096412
			D8.1.6	H	2	M	4	6	2	4.02	0.604226053			W4.1.3	28.27	19.2	48	L	M	0	3	3	51.52	1.711975854																					L	W4.1.3	28.27	19.2	0	20:45	17:30	3.25	34.75	36	51.52	1.711975854	0.451662507
			H1.1.4	H	3	M	4	4	4	3.755	0.574609941			Y7.1.10	28.76	20.46	49	L	F	0	10	3	15.63	1.193958978																					L	Y7.1.10	28.76	20.46	0	11:11	9:00	2.18	42.75	37	15.63	1.193958978	-0.586891009
			N11.1.3	H	4	M	4	3	3	3.055	0.485011215			Y7.1.9	31.19	19.59	50	L	F	0	9	3	168.5	2.226599905																					L	Y7.1.9	31.19	19.59	0	14:46	14:30	0.267	42.50	37	168.5	2.226599905	2.8985388
			N8.1.10	H	5	M	4	10	3	1.74	0.240549248			Z1.1.9	20.76	17.85	51	L	F	0	9	2	38.84	1.589279221																					L	Z1.1.9	20.76	17.85	0	10:31	7:15	3.25	72.00	37	38.84	1.589279221	-5.420601583
